S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2024 SEP 29 05:33:00,63.8708,27.7047,311.2998,13.9822,77.0228,1.9149e-14,77.0228
TGO,2024 SEP 29 05:27:00,64.1511,22.9759,428.0279,13.5697,76.0504,0.16016,75.9581

MRO,2024 SEP 29 14:51:00,54.0026,-106.4099,304.186,14.0931,69.0394,4.6555e-14,69.0394
TGO,2024 SEP 29 15:21:00,52.4539,-110.6837,423.0429,14.295,68.8049,0.12004,68.6926

MRO,2024 SEP 29 16:42:00,50.3094,-132.9036,301.6511,14.1275,66.1494,5.8474e-14,66.1494
TGO,2024 SEP 29 17:21:00,46.4457,-136.483,419.8071,14.5217,65.5273,0.63899,66.1244

MRO,2024 SEP 30 11:24:00,49.6458,-45.7389,301.5362,14.1394,65.5173,6.5492e-14,65.5173
TGO,2024 SEP 29 11:27:00,47.3364,-50.1213,421.7255,14.5364,66.3404,0.2586,66.4642

MRO,2024 SEP 30 11:27:00,59.107,-47.7709,307.3206,14.0528,72.964,4.3377e-14,72.964
TGO,2024 SEP 30 10:57:00,60.6675,-46.9031,429.5486,13.6239,72.8005,0.16031,72.6894

MRO,2024 SEP 30 13:18:00,55.2776,-74.2728,305.0893,14.0864,69.8803,1.6295e-14,69.8803
TGO,2024 SEP 30 12:57:00,55.1413,-70.8862,426.064,13.9717,69.2481,0.14124,69.1272

MRO,2024 SEP 30 17:03:00,57.3587,-129.3665,305.2033,14.0636,71.4885,2.4013e-14,71.4885
TGO,2024 SEP 30 16:51:00,59.9175,-132.7156,426.951,13.6456,72.1445,0.15965,72.0302

MRO,2024 SEP 30 18:54:00,53.5868,-155.7476,304.4781,14.1053,68.5173,4.6118e-14,68.5173
TGO,2024 SEP 30 18:51:00,54.1451,-156.9029,424.8399,13.9797,68.389,0.07422,68.4627

MRO,2024 SEP 30 20:45:00,49.695,177.7434,303.1124,14.1389,65.4762,4.0733e-14,65.4762
TGO,2024 SEP 30 20:51:00,48.321,177.4559,421.2008,14.2169,64.8138,0.40469,65.125

MRO,2024 SEP 30 22:36:00,45.7478,151.1334,300.4462,14.1653,62.426,7.2806e-14,62.426
TGO,2024 SEP 30 22:51:00,42.5144,151.1469,417.1359,14.4097,61.5634,0.10434,61.46

MRO,2024 OCT 01 02:21:00,47.4822,96.1521,299.219,14.15,63.6972,5.4028e-14,63.6972
TGO,2024 OCT 01 02:45:00,47.871,91.3576,420.3316,14.2197,64.4219,2.2557,62.7093

MRO,2024 OCT 01 04:12:00,43.8147,69.4674,296.6837,14.1717,60.8784,4.8549e-14,60.8784
TGO,2024 OCT 01 04:45:00,41.7762,64.7396,415.4593,14.3917,60.8326,0.10368,60.7299

MRO,2024 OCT 01 04:15:00,53.2954,67.6926,302.9634,14.1019,68.18,3.1845e-14,68.18
TGO,2024 OCT 02 04:15:00,55.5315,70.233,424.9796,13.6308,67.8614,0.1659,67.7281

MRO,2024 OCT 01 06:03:00,40.1725,42.806,295.6565,14.1947,58.1622,6.5182e-14,58.1622
TGO,2024 OCT 01 06:45:00,35.5834,37.8752,410.7991,14.5475,57.6013,0.072538,57.529

MRO,2024 OCT 01 22:57:00,52.9213,154.8869,305.3044,14.1158,67.7833,9.4404e-14,67.7833
TGO,2024 OCT 01 22:21:00,56.1085,156.452,425.7905,13.6364,68.4477,0.16493,68.3167

MRO,2024 OCT 02 00:48:00,48.9773,128.3149,301.8507,14.145,64.6957,3.4403e-14,64.6957
TGO,2024 OCT 02 00:21:00,50.4687,131.251,422.3443,13.9028,64.6509,0.14831,64.5173

MRO,2024 OCT 02 02:39:00,45.1333,101.6514,297.8441,14.1683,61.7251,3.8824e-14,61.7251
TGO,2024 OCT 02 02:21:00,44.6641,105.2035,418.5967,14.1131,61.0028,0.12833,60.8799

MRO,2024 OCT 02 04:27:00,31.9196,76.3773,287.9153,14.2353,52.1012,2.3801e-14,52.1012
TGO,2024 OCT 02 04:24:00,29.8544,80.6543,407.8192,14.4717,52.8462,3.7517,56.185

MRO,2024 OCT 02 06:18:00,28.2779,49.613,286.3679,14.2517,49.6437,5.627e-14,49.6437
TGO,2024 OCT 02 06:24:00,23.6452,53.6758,402.6872,14.6197,50.4642,0.033854,50.4671

MRO,2024 OCT 02 06:24:00,47.2841,46.6788,300.4908,14.1533,63.3276,2.3372e-14,63.3276
TGO,2024 OCT 02 06:15:00,49.5716,45.0955,420.2345,13.9017,63.8331,0.14823,63.6986

MRO,2024 OCT 02 08:15:00,43.4627,20.1134,298.6338,14.1831,60.45,2.8448e-14,60.45
TGO,2024 OCT 02 08:15:00,43.4579,18.4995,416.6085,14.0753,59.7439,2.7129,61.9321

MRO,2024 OCT 03 12:18:00,42.4415,-29.2499,297.2386,14.1939,59.4969,2.4841e-14,59.4969
TGO,2024 OCT 03 11:45:00,45.6564,-27.1046,420.5476,13.8014,59.7255,0.47373,59.4233

MRO,2024 OCT 03 14:09:00,38.5169,-55.9956,294.4242,14.2114,56.5743,3.1806e-14,56.5743
TGO,2024 OCT 03 13:45:00,39.8284,-53.5552,416.8006,13.9847,55.9797,1.6607,54.7062

MRO,2024 OCT 03 15:57:00,25.1874,-81.4543,284.1273,14.2661,47.4525,5.1506e-14,47.4525
TGO,2024 OCT 03 15:48:00,25.0443,-78.5875,406.1685,14.3114,47.8204,0.043846,47.7998

MRO,2024 OCT 03 17:48:00,21.4573,-108.2598,281.1415,14.2797,45.1716,2.7909e-14,45.1716
TGO,2024 OCT 03 17:48:00,18.9458,-105.3839,401.3447,14.4714,45.8559,7.2427,39.378

MRO,2024 OCT 03 19:45:00,36.7596,-137.6479,292.973,14.2186,55.2538,2.3801e-14,55.2538
