Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	14	Ingress	2019 APR 20 15:20:25	2019 APR 20 15:23:14	2019 APR 20 15:23:50	205.00	-124.87	-127.00	-127.44	64.94	62.23	61.61	18.75	3	-	-	-		
N/A	1	14	Egress	2019 APR 20 16:04:24	2019 APR 20 16:05:01	2019 APR 20 16:08:07	223.00	60.26	58.65	52.52	-77.82	-77.24	-74.43	7.81	3	-	-	-		
N/A	2	14	Ingress	2019 APR 20 17:18:16	2019 APR 20 17:21:05	2019 APR 20 17:21:41	205.00	-153.57	-155.72	-156.16	64.84	62.09	61.46	18.75	1	-	-	-	&daysideMatch:NILI FOSSAE; 	
NOMAD	2	14	Egress	2019 APR 20 18:02:14	2019 APR 20 18:02:51	2019 APR 20 18:05:58	224.00	31.84	30.19	23.91	-77.89	-77.29	-74.43	7.82	1	136 with 1xDark	Science: orders #136, #136, #136, #136, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7	&daysideMatch:NILI FOSSAE; 	
ACS	3	14	Ingress	2019 APR 20 19:16:07	2019 APR 20 19:18:56	2019 APR 20 19:19:32	205.00	177.70	175.54	175.10	64.69	61.91	61.26	18.75	14	-	-	-		
N/A	3	14	Egress	2019 APR 20 20:00:04	2019 APR 20 20:00:42	2019 APR 20 20:03:48	224.00	3.27	1.55	-4.76	-77.89	-77.28	-74.39	7.82	14	-	-	-		
N/A	4	14	Ingress	2019 APR 20 21:14:01	2019 APR 20 21:16:50	2019 APR 20 21:17:26	205.00	148.92	146.77	146.32	64.48	61.65	61.00	18.74	1	-	-	-		
NOMAD	4	14	Egress	2019 APR 20 21:57:55	2019 APR 20 21:58:33	2019 APR 20 22:01:38	223.00	-25.22	-26.98	-33.36	-77.93	-77.31	-74.40	7.83	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	5	14	Ingress	2019 APR 20 23:11:55	2019 APR 20 23:14:45	2019 APR 20 23:15:21	206.00	120.16	117.99	117.55	64.31	61.42	60.76	18.74	17	-	-	-	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
N/A	5	14	Egress	2019 APR 20 23:55:49	2019 APR 20 23:56:27	2019 APR 20 23:59:33	224.00	-53.66	-55.46	-62.00	-77.99	-77.36	-74.40	7.85	17	-	-	-	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
N/A	6	14	Ingress	2019 APR 21 01:09:52	2019 APR 21 01:12:42	2019 APR 21 01:13:18	206.00	91.40	89.23	88.78	64.15	61.23	60.56	18.73	1	-	-	-		
NOMAD	6	14	Egress	2019 APR 21 01:53:43	2019 APR 21 01:54:21	2019 APR 21 01:57:27	224.00	-82.08	-83.93	-90.60	-78.06	-77.42	-74.41	7.86	1	CH4 01	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	7	14	Ingress	2019 APR 21 03:07:46	2019 APR 21 03:10:37	2019 APR 21 03:11:13	207.00	62.69	60.49	60.04	64.06	61.07	60.39	18.73	14	-	-	-		
N/A	7	14	Egress	2019 APR 21 03:51:36	2019 APR 21 03:52:14	2019 APR 21 03:55:21	225.00	-110.47	-112.36	-119.21	-78.13	-77.49	-74.43	7.88	14	-	-	-		
N/A	8	14	Ingress	2019 APR 21 05:05:38	2019 APR 21 05:08:29	2019 APR 21 05:09:05	207.00	33.99	31.77	31.32	63.96	60.93	60.24	18.73	1	-	-	-		
NOMAD	8	14	Egress	2019 APR 21 05:49:27	2019 APR 21 05:50:05	2019 APR 21 05:53:13	226.00	-138.82	-140.76	-147.79	-78.21	-77.56	-74.45	7.90	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	9	14	Ingress	2019 APR 21 07:03:26	2019 APR 21 07:06:18	2019 APR 21 07:06:54	208.00	5.28	3.05	2.60	63.84	60.76	60.06	18.72	14	-	-	-		
N/A	9	14	Egress	2019 APR 21 07:47:14	2019 APR 21 07:47:52	2019 APR 21 07:51:00	226.00	-167.23	-169.21	-176.37	-78.27	-77.61	-74.47	7.91	14	-	-	-		
N/A	10	14	Ingress	2019 APR 21 09:01:19	2019 APR 21 09:04:11	2019 APR 21 09:04:47	208.00	-23.48	-25.72	-26.17	63.63	60.51	59.80	18.72	1	-	-	-		
NOMAD	10	14	Egress	2019 APR 21 09:45:05	2019 APR 21 09:45:43	2019 APR 21 09:48:50	225.00	164.21	162.20	154.98	-78.28	-77.61	-74.45	7.92	1	AER 01	Science: orders #119, #133, #143, #154, #169, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	11	14	Ingress	2019 APR 21 10:59:16	2019 APR 21 11:02:08	2019 APR 21 11:02:44	208.00	-52.27	-54.51	-54.96	63.41	60.25	59.53	18.71	14	-	-	-		
N/A	11	14	Egress	2019 APR 21 11:43:01	2019 APR 21 11:43:39	2019 APR 21 11:46:47	226.00	135.67	133.62	126.28	-78.30	-77.63	-74.40	7.93	14	-	-	-		
N/A	12	14	Ingress	2019 APR 21 12:57:12	2019 APR 21 13:00:04	2019 APR 21 13:00:40	208.00	-81.04	-83.28	-83.73	63.24	60.03	59.31	18.71	1	-	-	-	&daysideMatch:CURIOSITY; &daysideMatch:INSIGHT; 	
NOMAD	12	14	Egress	2019 APR 21 13:40:56	2019 APR 21 13:41:34	2019 APR 21 13:44:43	227.00	107.28	105.18	97.65	-78.37	-77.69	-74.41	7.95	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7	&daysideMatch:CURIOSITY; &daysideMatch:INSIGHT; 	
N/A	13	14	Ingress	2019 APR 21 14:55:06	2019 APR 21 14:57:59	2019 APR 21 14:58:35	209.00	-109.76	-112.03	-112.48	63.12	59.85	59.12	18.70	14	-	-	-		
N/A	13	14	Egress	2019 APR 21 15:38:49	2019 APR 21 15:39:27	2019 APR 21 15:42:36	227.00	79.02	76.85	69.13	-78.48	-77.79	-74.48	7.97	14	-	-	-		
N/A	14	14	Ingress	2019 APR 21 16:52:58	2019 APR 21 16:55:52	2019 APR 21 16:56:28	210.00	-138.46	-140.75	-141.20	63.03	59.71	58.96	18.70	17	-	-	-	&daysideMatch:NILI FOSSAE; 	
ACS	14	14	Egress	2019 APR 21 17:36:39	2019 APR 21 17:37:17	2019 APR 21 17:40:27	228.00	50.70	48.48	40.56	-78.56	-77.87	-74.50	7.99	17	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	15	14	Ingress	2019 APR 21 18:50:49	2019 APR 21 18:53:43	2019 APR 21 18:54:19	210.00	-167.18	-169.47	-169.93	62.90	59.53	58.78	18.70	14	-	-	-		
N/A	15	14	Egress	2019 APR 21 19:34:29	2019 APR 21 19:35:07	2019 APR 21 19:38:18	229.00	22.19	19.92	11.87	-78.58	-77.88	-74.46	8.00	14	-	-	-		
N/A	16	14	Ingress	2019 APR 21 20:48:42	2019 APR 21 20:51:36	2019 APR 21 20:52:12	210.00	164.06	161.77	161.31	62.70	59.29	58.53	18.69	3	-	-	-		
N/A	16	14	Egress	2019 APR 21 21:32:20	2019 APR 21 21:32:58	2019 APR 21 21:36:08	228.00	-6.34	-8.63	-16.75	-78.60	-77.89	-74.45	8.01	3	-	-	-		
