UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2017 MAR 05 19:02:30,-119.0,-43.0,16:49:55,56.6,123.5,68.4,27275.2
2017 MAR 05 19:02:40,-117.3,-43.0,16:56:51,55.3,123.4,69.7,27267.2
2017 MAR 05 19:02:50,-115.6,-43.0,17:03:32,54.0,123.3,70.9,27259.3
2017 MAR 05 19:03:00,-114.1,-43.0,17:10:00,52.8,123.2,72.1,27251.3
2017 MAR 05 19:03:10,-112.5,-43.0,17:16:16,51.6,123.1,73.2,27243.4
2017 MAR 05 19:03:20,-111.0,-43.0,17:22:21,50.4,123.0,74.3,27235.4
2017 MAR 05 19:03:30,-109.6,-42.9,17:28:16,49.3,122.9,75.4,27227.5
2017 MAR 05 19:03:40,-108.2,-42.9,17:34:02,48.2,122.8,76.4,27219.5
2017 MAR 05 19:03:50,-106.8,-42.8,17:39:40,47.1,122.7,77.5,27211.5
2017 MAR 05 19:04:00,-105.5,-42.7,17:45:09,46.1,122.6,78.5,27203.5
2017 MAR 05 19:04:10,-104.2,-42.6,17:50:31,45.1,122.5,79.5,27195.6
2017 MAR 05 19:04:20,-103.1,-42.6,17:54:56,44.2,122.4,80.3,27187.6
2017 MAR 05 19:04:30,-102.5,-42.6,17:57:45,43.7,122.4,80.8,27179.6
2017 MAR 05 19:04:40,-102.1,-42.6,17:59:15,43.5,122.3,81.0,27171.6
2017 MAR 05 19:04:50,-102.1,-42.7,17:59:41,43.4,122.3,81.1,27163.6
2017 MAR 05 19:05:00,-102.2,-42.8,17:59:15,43.6,122.3,81.0,27155.6
2017 MAR 05 19:05:10,-102.5,-43.0,17:58:09,43.8,122.4,80.8,27147.6
2017 MAR 05 19:05:20,-103.0,-43.1,17:56:37,44.2,122.4,80.5,27139.6
2017 MAR 05 19:05:30,-103.5,-43.3,17:54:50,44.6,122.4,80.1,27131.5
2017 MAR 05 19:05:40,-103.9,-43.5,17:53:02,45.0,122.4,79.8,27123.5
2017 MAR 05 19:05:50,-104.4,-43.7,17:51:26,45.3,122.5,79.5,27115.5
2017 MAR 05 19:06:00,-104.7,-43.8,17:50:16,45.6,122.5,79.3,27107.5
2017 MAR 05 19:06:10,-104.9,-43.9,17:49:47,45.7,122.5,79.2,27099.4
2017 MAR 05 19:06:20,-104.9,-44.0,17:49:43,45.8,122.5,79.1,27091.4
2017 MAR 05 19:06:30,-105.0,-44.1,17:49:39,45.8,122.5,79.1,27083.3
2017 MAR 05 19:06:40,-105.1,-44.2,17:49:35,45.9,122.5,79.1,27075.3
2017 MAR 05 19:06:50,-105.1,-44.3,17:49:30,46.0,122.5,79.1,27067.2
2017 MAR 05 19:07:00,-105.2,-44.5,17:49:26,46.0,122.5,79.0,27059.2
2017 MAR 05 19:07:10,-105.2,-44.6,17:49:21,46.1,122.5,79.0,27051.1
2017 MAR 05 19:07:20,-105.3,-44.7,17:49:17,46.1,122.5,79.0,27043.1
2017 MAR 05 19:07:30,-105.3,-44.8,17:49:12,46.2,122.5,78.9,27035.0
2017 MAR 05 19:07:40,-105.4,-44.9,17:49:08,46.3,122.5,78.9,27026.9
2017 MAR 05 19:07:50,-105.5,-45.0,17:49:03,46.3,122.5,78.9,27018.8
2017 MAR 05 19:08:00,-105.5,-45.1,17:48:58,46.4,122.5,78.9,27010.7
2017 MAR 05 19:08:10,-105.6,-45.2,17:48:53,46.4,122.5,78.8,27002.7
2017 MAR 05 19:08:20,-105.6,-45.3,17:48:51,46.5,122.5,78.8,26994.6
2017 MAR 05 19:08:30,-105.7,-45.4,17:48:54,46.5,122.5,78.8,26986.5
2017 MAR 05 19:08:40,-105.7,-45.5,17:49:03,46.5,122.5,78.8,26978.4
2017 MAR 05 19:08:50,-105.7,-45.6,17:49:17,46.5,122.5,78.9,26970.3
2017 MAR 05 19:09:00,-105.6,-45.6,17:49:37,46.5,122.5,78.9,26962.1
2017 MAR 05 19:09:10,-105.5,-45.7,17:50:02,46.4,122.5,79.0,26954.0
