Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	42	Nightside	2021 JUN 12 14:44:33	2021 JUN 12 15:13:52	2021 JUN 12 15:43:11	3517.82	-122.97	-100.70	42.68	44.66	-40.81	-44.56	142.16	21.46	14	-	-	-		
1	42	Dayside	2021 JUN 12 15:43:11	2021 JUN 12 16:12:50	2021 JUN 12 16:42:29	3558.58	42.68	65.45	-151.84	-44.56	42.05	44.46	37.94	9.49	14	-		COP row -1: 		
2	42	Nightside	2021 JUN 12 16:42:29	2021 JUN 12 17:11:49	2021 JUN 12 17:41:09	3519.87	-151.84	-129.50	13.79	44.46	-41.02	-44.33	142.02	21.45	1	-	-	-		
2	42	Dayside	2021 JUN 12 17:41:09	2021 JUN 12 18:10:49	2021 JUN 12 18:40:29	3559.76	13.79	36.65	179.26	-44.33	42.23	44.21	38.06	9.49	1	-		COP row -1: 		
3	42	Nightside	2021 JUN 12 18:40:29	2021 JUN 12 19:09:50	2021 JUN 12 19:39:10	3521.45	179.26	-158.34	-15.11	44.21	-41.26	-44.10	141.86	21.44	3	-	-	-		
3	42	Dayside	2021 JUN 12 19:39:10	2021 JUN 12 20:08:50	2021 JUN 12 20:38:30	3559.92	-15.11	7.78	150.36	-44.10	42.42	43.98	38.22	9.48	3	Surface 3SUBD #3	Science: orders #189, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:MERIDIANI SULPHATES; &mroOverlap; 	
4	42	Nightside	2021 JUN 12 20:38:30	2021 JUN 12 21:07:51	2021 JUN 12 21:37:11	3520.95	150.36	172.78	-43.98	43.98	-41.49	-43.89	141.68	21.43	1	-	-	-		
4	42	Dayside	2021 JUN 12 21:37:11	2021 JUN 12 22:06:51	2021 JUN 12 22:36:31	3560.22	-43.98	-21.13	121.50	-43.89	42.62	43.79	38.42	9.46	1	-		COP row -1: 	&daysideMatch:ACIDALIA MUD VOLCANOES NE; 	
5	42	Nightside	2021 JUN 12 22:36:31	2021 JUN 12 23:05:51	2021 JUN 12 23:35:10	3518.74	121.50	143.87	-72.83	43.79	-41.69	-43.71	141.48	21.42	14	-	-	-		
5	42	Dayside	2021 JUN 12 23:35:10	2021 JUN 13 00:04:50	2021 JUN 13 00:34:30	3560.05	-72.83	-50.05	92.67	-43.71	42.83	43.63	38.64	9.45	14	-		COP row -1: 		
6	42	Nightside	2021 JUN 13 00:34:30	2021 JUN 13 01:03:49	2021 JUN 13 01:33:07	3516.85	92.67	114.96	-101.66	43.63	-41.86	-43.54	141.28	21.41	1	-	-	-		
6	42	Dayside	2021 JUN 13 01:33:07	2021 JUN 13 02:02:46	2021 JUN 13 02:32:26	3558.97	-101.66	-78.94	63.85	-43.54	43.02	43.47	38.84	9.44	1	Ice H2O 2SUBD #1	Science: orders #193, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&ingressMatch:NILI FOSSAE FORSTERITE; &ingressMatch:NILI FOSSAE FAULT; &ingressMatch:PERSEVERANCE; &mroOverlap; 	
7	42	Nightside	2021 JUN 13 02:32:26	2021 JUN 13 03:01:44	2021 JUN 13 03:31:02	3516.44	63.85	86.09	-130.48	43.47	-42.06	-43.37	141.10	21.39	1	-	-	-		
7	42	Dayside	2021 JUN 13 03:31:02	2021 JUN 13 04:00:42	2021 JUN 13 04:30:21	3559.08	-130.48	-107.78	34.99	-43.37	43.19	43.25	38.98	9.43	1	-		COP row -1: 	&daysideMatch:OLYMPICA FOSSAE-JOVIS THOLUS; 	
8	42	Nightside	2021 JUN 13 04:30:21	2021 JUN 13 04:59:40	2021 JUN 13 05:28:59	3518.02	34.99	57.29	-159.36	43.25	-42.30	-43.14	140.95	21.39	14	-	-	-		
8	42	Dayside	2021 JUN 13 05:28:59	2021 JUN 13 05:58:40	2021 JUN 13 06:28:21	3561.61	-159.36	-136.58	6.09	-43.14	43.40	42.99	39.12	9.42	14	-		COP row -1: 		
9	42	Nightside	2021 JUN 13 06:28:21	2021 JUN 13 06:57:41	2021 JUN 13 07:27:00	3519.06	6.09	28.48	171.73	42.99	-42.51	-42.87	140.82	21.38	1	-	-	-		
9	42	Dayside	2021 JUN 13 07:27:00	2021 JUN 13 07:56:41	2021 JUN 13 08:26:23	3562.44	171.73	-165.40	-22.81	-42.87	43.65	42.76	39.28	9.41	1	-		COP row -1: 		
10	42	Nightside	2021 JUN 13 08:26:23	2021 JUN 13 08:55:42	2021 JUN 13 09:25:02	3519.75	-22.81	-0.40	142.83	42.76	-42.70	-42.64	140.65	21.37	14	-	-	-		
10	42	Dayside	2021 JUN 13 09:25:02	2021 JUN 13 09:54:43	2021 JUN 13 10:24:24	3561.27	142.83	165.73	-51.67	-42.64	43.88	42.56	39.46	9.40	14	-		COP row -1: 		
11	42	Nightside	2021 JUN 13 10:24:24	2021 JUN 13 10:53:44	2021 JUN 13 11:23:04	3520.22	-51.67	-29.31	113.98	42.56	-42.90	-42.46	140.45	21.36	1	-	-	-		
11	42	Dayside	2021 JUN 13 11:23:04	2021 JUN 13 11:52:43	2021 JUN 13 12:22:23	3558.90	113.98	136.83	-80.51	-42.46	44.08	42.38	39.65	9.39	1	Nominal 4SUBD #2	Science: orders #168, #134, #121, #189, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
12	42	Nightside	2021 JUN 13 12:22:23	2021 JUN 13 12:51:42	2021 JUN 13 13:21:02	3519.39	-80.51	-58.23	85.16	42.38	-43.10	-42.30	140.25	21.34	14	-	-	-		
12	42	Dayside	2021 JUN 13 13:21:02	2021 JUN 13 13:50:41	2021 JUN 13 14:20:20	3557.59	85.16	107.92	-109.34	-42.30	44.27	42.20	39.85	9.38	14	-		COP row -1: 		
13	42	Nightside	2021 JUN 13 14:20:20	2021 JUN 13 14:49:38	2021 JUN 13 15:18:57	3517.33	-109.34	-87.11	56.33	42.20	-43.30	-42.12	140.06	21.33	1	-	-	-		
13	42	Dayside	2021 JUN 13 15:18:57	2021 JUN 13 15:48:37	2021 JUN 13 16:18:16	3558.87	56.33	79.07	-138.18	-42.12	44.48	42.01	40.03	9.37	1	-		COP row -1: 	&daysideMatch:NILI FOSSAE; 	
