TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2020 NOV 28 18:36:00,2,2
2020 NOV 28 20:33:00,3,3
2020 NOV 28 22:30:00,4,4
2020 NOV 29 00:33:00,5,5
2020 NOV 29 00:30:00,5,5
2020 NOV 29 02:27:00,6,6
2020 NOV 29 04:24:00,7,7
2020 NOV 29 06:27:00,8,8
2020 NOV 30 06:03:00,20,20
2020 NOV 30 08:00:00,21,21
2020 NOV 30 11:57:00,23,23
2020 NOV 30 13:54:00,24,24
2020 NOV 30 15:51:00,25,25
2020 DEC 01 17:27:00,38,38
2020 DEC 01 19:24:00,39,39
2020 DEC 02 01:18:00,42,42
2020 DEC 02 05:18:00,44,44
2020 DEC 03 04:51:00,56,56
2020 DEC 03 10:45:00,59,59
2020 DEC 03 16:42:00,62,62
2020 DEC 06 07:36:00,94,94
2020 DEC 06 13:30:00,97,97
2020 DEC 08 06:48:00,118,118
2020 DEC 08 12:42:00,121,121
2020 DEC 11 03:36:00,153,153
2020 DEC 11 09:30:00,156,156
2020 DEC 11 15:24:00,159,159
2020 DEC 15 15:42:00,208,208
2020 DEC 22 10:51:00,291,291
2020 DEC 25 15:30:00,330,330
2020 DEC 25 21:24:00,333,333
