S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2025 MAY 12 11:48:00,73.6534,-60.1744,313.6341,14.7664,53.5401,7.9514e-15,53.5401
TGO,2025 MAY 12 11:24:00,74.8265,-55.4239,434.4205,14.6939,54.111,0.11972,54.1438

MRO,2025 MAY 17 05:51:00,72.5561,75.2551,312.6954,14.8067,52.8476,2.2321e-14,52.8476
TGO,2025 MAY 17 05:24:00,72.9915,78.9536,432.9215,14.6153,52.5125,0.10426,52.5321

MRO,2025 MAY 17 11:27:00,70.9119,-5.3964,313.6912,14.8806,52.0787,1.9232e-14,52.0787
TGO,2025 MAY 17 11:18:00,72.405,-4.7761,431.7123,14.7761,52.6421,0.094245,52.6652

MRO,2025 MAY 19 00:51:00,71.7405,168.1315,315.2003,14.8525,52.4598,1.778e-14,52.4598
TGO,2025 MAY 19 00:39:00,70.9596,171.0759,433.0361,14.8542,51.9803,0.36441,51.6634

MRO,2025 MAY 19 06:27:00,69.8607,86.9623,311.2914,14.8922,51.455,1.6111e-14,51.455
TGO,2025 MAY 19 06:33:00,70.6276,85.3933,432.3728,14.885,51.8899,0.82721,51.0651

MRO,2025 MAY 21 01:27:00,69.457,179.6079,314.1145,14.9228,51.314,2.3155e-14,51.314
TGO,2025 MAY 21 01:48:00,68.1585,175.0864,432.1927,14.9619,50.7316,0.050478,50.748

MRO,2025 MAY 21 22:00:00,66.124,-119.5138,310.9183,14.9836,49.6908,2.2769e-14,49.6908
TGO,2025 MAY 21 21:27:00,68.455,-115.1961,431.2718,14.7361,49.909,0.68259,50.5887

MRO,2025 MAY 22 03:36:00,64.2686,159.4563,312.9101,15.0325,48.9632,1.0668e-14,48.9632
TGO,2025 MAY 22 03:21:00,67.7386,160.2147,431.6294,14.8397,49.9219,1.2828,48.6505

MRO,2025 MAY 22 07:21:00,66.0296,104.1389,311.5082,14.9947,49.6906,1.1046e-14,49.6906
TGO,2025 MAY 22 07:18:00,65.0306,106.7526,430.085,15.1203,49.828,0.025137,49.848

MRO,2025 MAY 22 12:57:00,64.5688,22.8113,312.3964,15.0236,49.0654,4.3406e-14,49.0654
TGO,2025 MAY 22 13:12:00,64.1867,21.4423,428.2053,15.1756,49.7198,0.02369,49.7427

