THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
15, H2O 2SUBD 01, 167
19, HDO H2O 2SUBD 01, 169
21, HDO CO 3SUBD 01, 167
25, AER H2Oi 3SUBD 01, 169
35, CH4 3SUBD 01, 168
38, CO 2SUBD 02, 167
40, Nominal 6SUBD 01, 168
49, CO 2SUBD 02, 167
53, HDO H2O 2SUBD 01, 169
69, H2O 2SUBD 01, 167
73, HDO H2O 2SUBD 01, 169
75, HDO CO 3SUBD 01, 167
80, AER H2Oi 3SUBD 01, 169
88, CH4 3SUBD 01, 168
90, CO 2SUBD 02, 167
103, Nominal 6SUBD 01, 168
108, CO 2SUBD 02, 167
113, HDO H2O 2SUBD 01, 169
119, H2O 2SUBD 01, 167
121, HDO H2O 2SUBD 01, 169
123, HDO CO 3SUBD 01, 167
125, AER H2Oi 3SUBD 01, 169
131, CH4 3SUBD 01, 168
133, CO 2SUBD 02, 167
135, Nominal 6SUBD 01, 168
140, CO 2SUBD 02, 167
143, HDO H2O 2SUBD 01, 169
147, H2O 2SUBD 01, 167
150, HDO H2O 2SUBD 01, 169
151, HDO CO 3SUBD 01, 167
153, AER H2Oi 3SUBD 01, 169
161, CH4 3SUBD 01, 168
165, CO 2SUBD 02, 167
167, Nominal 6SUBD 01, 168
172, CO 2SUBD 02, 167
176, HDO H2O 2SUBD 01, 169
180, H2O 2SUBD 01, 167
184, HDO H2O 2SUBD 01, 169
186, HDO CO 3SUBD 01, 167
188, AER H2Oi 3SUBD 01, 169
196, CH4 3SUBD 01, 168
200, CO 2SUBD 02, 167
201, Nominal 6SUBD 01, 168
212, CO 2SUBD 02, 167
216, HDO H2O 2SUBD 01, 169
220, H2O 2SUBD 01, 167
224, HDO H2O 2SUBD 01, 169
226, HDO CO 3SUBD 01, 167
228, AER H2Oi 3SUBD 01, 169
236, CH4 3SUBD 01, 168
240, CO 2SUBD 02, 167
242, Nominal 6SUBD 01, 168
248, CO 2SUBD 02, 167
250, HDO H2O 2SUBD 01, 169
254, H2O 2SUBD 01, 167
258, HDO H2O 2SUBD 01, 169
262, HDO CO 3SUBD 01, 167
264, AER H2Oi 3SUBD 01, 169
272, CH4 3SUBD 01, 168
274, CO 2SUBD 02, 167
278, Nominal 6SUBD 01, 168
282, CO 2SUBD 02, 167
286, HDO H2O 2SUBD 01, 169
290, H2O 2SUBD 01, 167
294, HDO H2O 2SUBD 01, 169
296, HDO CO 3SUBD 01, 167
298, AER H2Oi 3SUBD 01, 169
306, CH4 3SUBD 01, 168
310, CO 2SUBD 02, 167
312, Nominal 6SUBD 01, 168
320, CO 2SUBD 02, 167
322, HDO H2O 2SUBD 01, 169
328, H2O 2SUBD 01, 167
330, HDO H2O 2SUBD 01, 169
332, HDO CO 3SUBD 01, 167
333, AER H2Oi 3SUBD 01, 169
339, CH4 3SUBD 01, 168
341, CO 2SUBD 02, 167
