THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
2, H2O CO 3SUBD #3 136, 167
7, CO 2SUBD 02, 167
11, H2O 3SUBD #1, 167
29, H2O 2SUBD 01, 167
47, H2O 3SUBD #1 136, 167
51, H2O CO 2SUBD #3, 169
67, H2O CO 2SUBD #1, 168
72, H2O CO 3SUBD #3 136, 167
76, CO H2O 3SUBD #3, 167
80, H2O CO 3SUBD #2, 168
111, H2O CO 3SUBD #2, 168
117, H2O 3SUBD #1, 167
134, H2O 3SUBD #1, 167
139, H2O CO 3SUBD #2, 168
145, H2O CO 3SUBD #2, 168
151, CO H2O 3SUBD #3, 167
155, H2O CO 3SUBD #2, 168
192, H2O CO 3SUBD #2, 168
238, CO H2O 3SUBD #4, 169
263, H2O CO 3SUBD #3 136, 167
292, H2O CO 2SUBD #2, 169
319, H2O 3SUBD #1 136, 167
