MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2024 JUL 06 07:45:00,-76.3919,-86.3512,248.7736,15.4175,58.2191,5.5533e-14,58.2191,2024 JUL 06 08:30:00,-75.5362,-90.72,381.8589,15.8558,59.1828,0.32743,59.5028
2024 JUL 07 06:12:00,-74.7426,-55.5212,250.6764,15.3136,57.0825,2.0116e-14,57.0825,2024 JUL 07 06:06:00,-75.9328,-60.1418,380.5316,14.9083,56.5849,0.79017,56.364
2024 JUL 08 19:36:00,-74.5724,118.502,251.4222,15.3003,57.0865,1.1577e-14,57.0865,2024 JUL 08 19:27:00,-75.6663,119.9904,381.084,15.2536,57.5539,0.51967,57.5195
2024 JUL 09 01:12:00,-76.0773,37.6911,251.4948,15.3611,58.1271,1.1901e-14,58.1271,2024 JUL 09 01:21:00,-75.4625,34.8715,380.474,15.3189,57.6609,1.1414,58.6908
2024 JUL 10 14:36:00,-75.9167,-148.5613,251.203,15.3297,58.0942,1.0058e-14,58.0942,2024 JUL 10 14:42:00,-74.903,-145.7432,379.2369,15.6147,58.4744,0.38861,58.5396
2024 JUL 10 20:12:00,-78.2113,131.9745,250.754,15.48,59.7895,2.6082e-14,59.7895,2024 JUL 10 20:36:00,-74.4194,131.2563,381.2056,15.8214,58.9972,0.39894,59.0694
2024 JUL 12 09:36:00,-78.1968,-53.9883,249.9473,15.4683,59.9093,2.3854e-15,59.9093,2024 JUL 12 09:57:00,-73.3888,-51.7413,381.5398,15.9586,59.2441,0.41209,59.3196
2024 JUL 15 10:33:00,-73.161,-43.0209,251.0352,15.1722,56.5255,1.0668e-14,56.5255,2024 JUL 15 10:39:00,-74.2183,-47.6194,380.8873,14.9631,56.4682,0.37352,56.5043
2024 JUL 16 23:57:00,-72.7469,130.7519,250.4623,15.1436,56.3587,1.4312e-14,56.3587,2024 JUL 17 00:00:00,-72.9717,129.9785,380.8007,15.1408,56.4787,0.39006,56.5161
2024 JUL 18 13:21:00,-72.1107,-55.4913,250.3896,15.1144,56.0617,1.5003e-14,56.0617,2024 JUL 18 13:21:00,-71.65,-54.0321,381.9742,15.2119,56.168,0.40379,56.2031
2024 JUL 20 02:45:00,-71.0224,118.0953,250.9424,15.0742,55.4587,4.2937e-14,55.4587,2024 JUL 20 02:42:00,-70.063,121.3417,380.5418,15.2419,55.6061,0.41823,55.6371
2024 JUL 20 08:21:00,-72.3928,36.8874,250.8876,15.1089,56.4165,2.736e-14,56.4165,2024 JUL 20 08:36:00,-69.6086,36.2621,379.1211,15.3103,55.6919,0.42445,55.725
2024 JUL 21 06:48:00,-69.9133,68.1952,249.1666,15.0383,54.8081,1.5982e-14,54.8081,2024 JUL 21 06:12:00,-71.8335,71.3837,379.9269,14.6672,54.6249,1.7428,52.9347
2024 JUL 22 01:30:00,-69.7177,154.7764,250.139,15.0042,54.6477,2.3801e-14,54.6477,2024 JUL 22 01:54:00,-68.551,151.9225,380.9281,15.2031,54.8601,39.2136,65.4355
2024 JUL 22 20:12:00,-69.0682,-118.1486,249.829,15.0033,54.3578,7.9514e-15,54.3578,2024 JUL 22 19:33:00,-70.1366,-113.3036,379.3531,14.6939,53.7772,0.57749,53.3096
2024 JUL 23 05:33:00,-69.0781,105.3437,250.867,14.9997,54.3971,3.2318e-14,54.3971,2024 JUL 23 05:24:00,-66.6856,109.8742,379.7733,15.1558,53.7807,0.62729,53.3145
2024 JUL 26 15:51:00,-61.9482,-18.2839,252.3617,14.8319,49.8727,4.0011e-14,49.8727,2024 JUL 26 15:57:00,-64.2312,-21.2695,380.5757,14.7303,50.6668,0.68692,50.05
2024 JUL 28 05:15:00,-60.6962,155.4169,250.711,14.8011,49.1821,2.4013e-14,49.1821,2024 JUL 28 05:18:00,-62.2581,151.6498,380.0094,14.5986,48.96,1.0623,47.9024
2024 JUL 28 09:00:00,-58.6774,100.4987,251.3175,14.7886,48.0041,6.02e-14,48.0041,2024 JUL 28 09:15:00,-59.4281,97.3459,379.2242,14.8217,48.6263,2.9325,45.6976
2024 JUL 28 12:45:00,-56.2553,45.3201,251.1157,14.7586,46.5233,3.4256e-14,46.5233,2024 JUL 29 12:45:00,-61.1435,49.929,378.5161,14.4172,47.443,0.45117,47.4021
2024 JUL 29 13:03:00,-57.1357,50.7377,251.0289,14.7631,47.1487,6.0514e-14,47.1487,2024 JUL 29 12:45:00,-61.1435,49.929,378.5161,14.4172,47.443,0.45117,47.4021
2024 JUL 29 16:48:00,-55.2249,-4.3992,253.5386,14.7361,45.967,6.2655e-14,45.967,2024 JUL 29 16:42:00,-57.7208,-5.0365,380.0582,14.5961,46.3916,1.7379,47.9623
2024 JUL 29 22:24:00,-56.9952,-85.772,250.3598,14.76,47.1004,1.0059e-13,47.1004,2024 JUL 29 22:36:00,-57.3299,-90.5173,379.1716,14.6381,46.4702,3.0551,43.4319
2024 JUL 31 00:36:00,-51.5943,-108.9771,251.1752,14.705,44.0634,5.2165e-14,44.0634,2024 JUL 31 00:09:00,-56.5892,-106.6571,378.8087,14.4219,44.7609,0.48179,44.7173
2024 JUL 31 04:21:00,-49.358,-164.114,252.3598,14.6781,42.7975,2.2546e-14,42.7975,2024 JUL 31 04:06:00,-52.861,-162.5983,380.557,14.5358,43.4118,4.4614,47.7197
2024 JUL 31 06:12:00,-53.2934,169.3065,251.5344,14.7061,44.9433,3.6019e-14,44.9433,2024 JUL 31 06:03:00,-55.6116,167.2533,380.5768,14.4233,44.205,0.48816,43.9642
2024 JUL 31 09:57:00,-51.3366,114.4434,251.8801,14.6972,43.9219,6.4637e-14,43.9219,2024 JUL 31 10:00:00,-52.6579,111.9359,379.428,14.5786,43.6587,3.0142,40.6732
