NOM_02, OCCEG, 284, 334
NOM_02, OCCIN, 30, 44, 339
NOM_03, OCCEG, 8, 18, 32, 38, 51, 58, 76, 93, 107, 122, 124, 134, 168, 176, 194, 205, 217, 246, 248, 263, 267, 272, 274, 283, 297, 299, 310, 311, 321, 325, 332, 342
NOM_03, OCCIN, 10, 20, 36, 49, 55, 81, 85, 104, 133, 146, 181, 199, 213, 216, 226, 229, 237, 239, 241, 243, 261, 263, 266, 274, 275, 289, 292, 299, 303, 308, 327, 332
CO_001, OCCEG, 161, 180
CO_001, OCCIN, 73, 260, 323
CO_002, OCCEG, 10, 34, 36, 80, 89, 153, 290, 304, 323
CO_002, OCCIN, 40, 58, 61, 71, 83, 99, 125, 197, 341, 342
CO2_01, OCCEG, 68, 78, 105, 120, 196, 203, 255, 308
CO2_01, OCCIN, 51, 96, 119, 148, 154, 175, 187, 269, 280, 304, 316
CO2_02, OCCEG, 12, 14, 22, 74, 112, 136, 138, 143, 165, 178, 190, 192, 223, 225, 234, 269, 280, 286, 292, 306, 327, 330
CO2_02, OCCIN, 12, 18, 27, 52, 113, 117, 144, 158, 189, 283, 306, 318, 334
HCL_01, OCCEG, 20, 25, 46, 49, 95, 151, 163, 207, 320
HCL_01, OCCIN, 15, 22, 23, 34, 101, 171, 267, 272, 286, 296, 320, 321, 330
FUL_01, OCCEG, 23, 59, 61, 232, 244, 260, 313, 315
FUL_01, OCCIN, 8, 14, 25, 59, 131, 169, 290, 301, 310, 335
