Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
NOMAD	388	Grazing	2018 MAY 08 02:55:58	2018 MAY 08 03:28:40	-	1962.0	-78.0	-31.3	17.9	
ACS	389	Grazing	2018 MAY 08 04:54:00	2018 MAY 08 05:26:26	-	1946.0	-106.6	-30.8	17.9	
N/A	390	Grazing	2018 MAY 08 06:52:03	2018 MAY 08 07:24:15	-	1932.0	-135.3	-30.3	17.9	
NOMAD	391	Grazing	2018 MAY 08 08:50:11	2018 MAY 08 09:22:04	-	1913.0	-163.9	-29.2	17.9	
NOMAD	392	Grazing	2018 MAY 08 10:48:22	2018 MAY 08 11:19:53	-	1891.0	167.4	-28.3	17.9	
N/A	393	Grazing	2018 MAY 08 12:46:31	2018 MAY 08 13:17:43	-	1872.0	138.7	-27.5	17.9	
N/A	394	Grazing	2018 MAY 08 14:44:38	2018 MAY 08 15:15:36	-	1858.0	110.0	-27.2	17.9	
ACS	395	Grazing	2018 MAY 08 16:42:43	2018 MAY 08 17:13:25	-	1842.0	81.4	-26.8	17.9	
N/A	396	Grazing	2018 MAY 08 18:40:46	2018 MAY 08 19:11:07	-	1821.0	52.7	-26.2	17.9	
NOMAD	397	Grazing	2018 MAY 08 20:38:54	2018 MAY 08 21:08:51	-	1797.0	24.0	-25.1	17.9	
N/A	398	Grazing	2018 MAY 08 22:37:10	2018 MAY 08 23:06:46	-	1776.0	-4.6	-24.2	17.9	
N/A	399	Grazing	2018 MAY 09 00:35:26	2018 MAY 09 01:04:38	-	1752.0	-33.3	-23.4	17.9	
N/A	400	Grazing	2018 MAY 09 02:33:38	2018 MAY 09 03:02:23	-	1725.0	-62.0	-22.5	17.9	
N/A	401	Grazing	2018 MAY 09 04:31:47	2018 MAY 09 05:00:05	-	1698.0	-90.7	-21.6	17.9	
N/A	402	Grazing	2018 MAY 09 06:29:54	2018 MAY 09 06:57:51	-	1677.0	-119.4	-21.0	17.9	
N/A	403	Grazing	2018 MAY 09 08:28:04	2018 MAY 09 08:55:39	-	1655.0	-148.0	-20.4	17.9	
N/A	404	Grazing	2018 MAY 09 10:26:20	2018 MAY 09 10:53:24	-	1624.0	-176.7	-18.9	17.9	
N/A	405	Grazing	2018 MAY 09 12:24:34	2018 MAY 09 12:51:11	-	1597.0	154.6	-18.1	17.9	
N/A	406	Grazing	2018 MAY 09 14:22:46	2018 MAY 09 14:49:02	-	1576.0	125.9	-17.7	17.9	
