Obs Index	Obs Type Index	Orbit No	Obs Type	IR Status	UVIS Status	TC Start Time	UVIS Start Time	UVIS End Time	IR Precooling Time	IR Start Time	 IR Transition Time	IR End Time	New TC Start Time	New UVIS Start Time	New UVIS End Time	New IR Precooling Time	New IR Start Time	New IR End Time	IR Duration	UVIS Duration	New IR duration	New UVIS Duration	TC20 FIXED	TC20 SCI1	TC20 SCI2	SCI1 description	SCI2 description	
486	204	204	Dayside_Nadir	LNO_M	UVIS_L	2018 MAY 08 11:33:03	2018 MAY 08 11:33:13	2018 MAY 08 12:35:59	2018 MAY 08 11:33:13	2018 MAY 08 11:43:13	-	2018 MAY 08 12:23:13	Same	Same	Same	2018 MAY 08 11:40:22	2018 MAY 08 11:50:22	2018 MAY 08 12:18:51	2400.0	3766.0	1709.0	3766.0	1	1934	1934	Science: orders #121, #171, #124, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	-	
487	205	205	Dayside_Nadir	OFF	UVIS_1	2018 MAY 08 13:31:05	2018 MAY 08 13:31:15	2018 MAY 08 14:34:01	-	-	-	-	Same	Same	Same	-	-	-	-	3766.0	-	3766.0	-	-	-	-	-	
488	205	205	Dayside_Nadir	OFF	UVIS_2	2018 MAY 08 13:31:05	2018 MAY 08 13:31:15	2018 MAY 08 14:34:01	-	-	-	-	Same	Same	Same	-	-	-	-	3766.0	-	3766.0	-	-	-	-	-	
489	205	205	Dayside_Nadir	OFF	UVIS_3	2018 MAY 08 13:31:05	2018 MAY 08 13:31:15	2018 MAY 08 14:34:01	-	-	-	-	Same	Same	Same	-	-	-	-	3766.0	-	3766.0	-	-	-	-	-	
490	206	206	Dayside_Nadir	LNO_L	UVIS_L	2018 MAY 08 15:19:05	2018 MAY 08 15:19:15	2018 MAY 08 16:31:59	2018 MAY 08 15:19:15	2018 MAY 08 15:29:15	-	2018 MAY 08 16:31:59	Same	Same	Same	Same	Same	Same	3764.0	4364.0	3764.0	4364.0	1	1107	1107	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
491	207	207	Dayside_Nadir	OFF	UVIS_1	2018 MAY 08 17:27:01	2018 MAY 08 17:27:11	2018 MAY 08 18:29:53	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
492	207	207	Dayside_Nadir	OFF	UVIS_2	2018 MAY 08 17:27:01	2018 MAY 08 17:27:11	2018 MAY 08 18:29:53	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
493	207	207	Dayside_Nadir	OFF	UVIS_3	2018 MAY 08 17:27:01	2018 MAY 08 17:27:11	2018 MAY 08 18:29:53	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
494	208	208	Dayside_Nadir	LNO_L	UVIS_L	2018 MAY 08 19:14:57	2018 MAY 08 19:15:07	2018 MAY 08 20:27:51	2018 MAY 08 19:15:07	2018 MAY 08 19:25:07	-	2018 MAY 08 20:27:51	Same	Same	Same	Same	Same	Same	3764.0	4364.0	3764.0	4364.0	1	1837	1837	Science: orders #168, #134, #136, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	-	
495	397	209	Grazing	SO_O	UVIS_O	2018 MAY 08 20:28:44	2018 MAY 08 20:38:54	2018 MAY 08 21:08:51	2018 MAY 08 20:28:54	2018 MAY 08 20:38:54	-	2018 MAY 08 21:08:51	Same	Same	Same	Same	Same	Same	1797.0	1797.0	1797.0	1797.0	1	1452	1452	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	-	
496	209	209	Dayside_Nadir	LNO_M	UVIS_L	2018 MAY 08 21:22:57	2018 MAY 08 21:23:07	2018 MAY 08 22:25:53	2018 MAY 08 21:23:07	2018 MAY 08 21:33:07	-	2018 MAY 08 22:13:07	Same	Same	Same	2018 MAY 08 21:29:29	2018 MAY 08 21:39:29	2018 MAY 08 22:09:32	2400.0	3766.0	1803.0	3766.0	1	1033	1033	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	-	
497	210	210	Dayside_Nadir	OFF	UVIS_1	2018 MAY 08 23:21:01	2018 MAY 08 23:21:11	2018 MAY 09 00:23:57	-	-	-	-	Same	Same	Same	-	-	-	-	3766.0	-	3766.0	-	-	-	-	-	
498	210	210	Dayside_Nadir	OFF	UVIS_2	2018 MAY 08 23:21:01	2018 MAY 08 23:21:11	2018 MAY 09 00:23:57	-	-	-	-	Same	Same	Same	-	-	-	-	3766.0	-	3766.0	-	-	-	-	-	
499	210	210	Dayside_Nadir	OFF	UVIS_3	2018 MAY 08 23:21:01	2018 MAY 08 23:21:11	2018 MAY 09 00:23:57	-	-	-	-	Same	Same	Same	-	-	-	-	3766.0	-	3766.0	-	-	-	-	-	
500	211	211	Dayside_Nadir	LNO_L	UVIS_L	2018 MAY 09 01:09:03	2018 MAY 09 01:09:13	2018 MAY 09 02:21:57	2018 MAY 09 01:09:13	2018 MAY 09 01:19:13	-	2018 MAY 09 02:21:57	Same	Same	Same	Same	Same	Same	3764.0	4364.0	3764.0	4364.0	1	140	140	Diffraction order stepping (fullscan): 30 orders from 110 to 140 in steps of 1 (1 order(s) per 15 second(s))	-	
501	212	212	Dayside_Nadir	OFF	UVIS_1	2018 MAY 09 03:17:05	2018 MAY 09 03:17:15	2018 MAY 09 04:19:57	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
502	212	212	Dayside_Nadir	OFF	UVIS_2	2018 MAY 09 03:17:05	2018 MAY 09 03:17:15	2018 MAY 09 04:19:57	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
503	212	212	Dayside_Nadir	OFF	UVIS_3	2018 MAY 09 03:17:05	2018 MAY 09 03:17:15	2018 MAY 09 04:19:57	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
504	213	213	Dayside_Nadir	LNO_L	UVIS_L	2018 MAY 09 05:05:03	2018 MAY 09 05:05:13	2018 MAY 09 06:17:53	2018 MAY 09 05:05:13	2018 MAY 09 05:15:13	-	2018 MAY 09 06:17:53	Same	Same	Same	Same	Same	Same	3760.0	4360.0	3760.0	4360.0	1	104	104	Diffraction order stepping (fullscan): 10 orders from 130 to 140 in steps of 1 (1 order(s) per 15 second(s))	-	
505	214	214	Dayside_Nadir	OFF	UVIS_1	2018 MAY 09 07:12:59	2018 MAY 09 07:13:09	2018 MAY 09 08:15:51	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
506	214	214	Dayside_Nadir	OFF	UVIS_2	2018 MAY 09 07:12:59	2018 MAY 09 07:13:09	2018 MAY 09 08:15:51	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
507	214	214	Dayside_Nadir	OFF	UVIS_3	2018 MAY 09 07:12:59	2018 MAY 09 07:13:09	2018 MAY 09 08:15:51	-	-	-	-	Same	Same	Same	-	-	-	-	3762.0	-	3762.0	-	-	-	-	-	
