MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2022 FEB 21 22:36:25,2022 FEB 21 22:41:25,28,28
2022 FEB 23 19:43:08,2022 FEB 23 19:47:35,51,51
2022 FEB 23 21:39:39,2022 FEB 23 21:43:37,52,52
2022 FEB 23 23:45:25,2022 FEB 23 23:50:25,53,53
2022 FEB 24 11:39:05,2022 FEB 24 11:44:05,59,59
2022 FEB 25 15:01:31,2022 FEB 25 15:06:31,73,73
2022 FEB 28 17:47:28,2022 FEB 28 17:52:28,111,111
2022 MAR 01 19:19:58,2022 MAR 01 19:24:58,124,124
2022 MAR 08 12:37:51,2022 MAR 08 12:42:51,206,206
2022 MAR 12 03:03:53,2022 MAR 12 03:08:53,250,250
2022 MAR 16 03:06:51,2022 MAR 16 03:11:51,299,299
2022 MAR 16 09:00:27,2022 MAR 16 09:05:27,302,302
