MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2022 FEB 20 07:15:35,2022 FEB 20 07:17:58,8,8
2022 FEB 21 22:36:25,2022 FEB 21 22:41:25,28,28
2022 FEB 23 19:42:35,2022 FEB 23 19:47:35,51,51
2022 FEB 23 21:38:37,2022 FEB 23 21:43:37,52,52
2022 FEB 23 23:45:25,2022 FEB 23 23:50:25,53,53
2022 FEB 24 11:39:05,2022 FEB 24 11:44:05,59,59
2022 FEB 25 15:01:31,2022 FEB 25 15:06:31,73,73
2022 FEB 25 20:54:08,2022 FEB 25 20:59:08,76,76
2022 FEB 26 06:48:28,2022 FEB 26 06:53:28,81,81
2022 FEB 28 17:47:28,2022 FEB 28 17:52:28,111,111
2022 MAR 01 01:38:09,2022 MAR 01 01:43:09,115,115
2022 MAR 01 19:19:58,2022 MAR 01 19:24:58,124,124
2022 MAR 01 21:22:53,2022 MAR 01 21:27:53,125,125
2022 MAR 03 14:35:05,2022 MAR 03 14:40:05,146,146
2022 MAR 03 20:35:29,2022 MAR 03 20:37:24,149,149
2022 MAR 04 00:21:44,2022 MAR 04 00:26:44,151,151
2022 MAR 04 08:13:14,2022 MAR 04 08:18:14,155,155
2022 MAR 04 18:07:18,2022 MAR 04 18:12:18,160,160
2022 MAR 05 07:47:40,2022 MAR 05 07:52:40,167,167
2022 MAR 07 22:49:06,2022 MAR 07 22:54:06,199,199
2022 MAR 08 04:28:30,2022 MAR 08 04:33:30,202,202
2022 MAR 08 12:37:51,2022 MAR 08 12:42:51,206,206
2022 MAR 08 20:23:30,2022 MAR 08 20:28:30,210,210
2022 MAR 12 03:03:53,2022 MAR 12 03:08:53,250,250
2022 MAR 13 08:37:46,2022 MAR 13 08:42:46,265,265
2022 MAR 16 03:06:51,2022 MAR 16 03:11:51,299,299
2022 MAR 16 09:00:27,2022 MAR 16 09:05:27,302,302
2022 MAR 16 20:48:46,2022 MAR 16 20:53:03,308,308
2022 MAR 17 14:51:37,2022 MAR 17 14:53:01,317,317
