Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	72	Nightside	2023 SEP 30 15:05:34	2023 SEP 30 15:34:49	2023 SEP 30 16:04:05	3510.64	17.87	65.44	-176.45	10.43	-72.28	-10.23	124.64	21.90	14	-	-	-		
1	72	Dayside	2023 SEP 30 16:04:05	2023 SEP 30 16:33:52	2023 SEP 30 17:03:39	3574.73	-176.45	-127.75	-11.02	-10.23	72.56	10.03	55.39	9.98	14	-		COP row -1: UVIS off	&daysideMatch:ACIDALIA MUD VOLCANOES NE; &mroOverlap; 	
2	72	Nightside	2023 SEP 30 17:03:39	2023 SEP 30 17:32:55	2023 SEP 30 18:02:10	3510.56	-11.02	37.53	154.66	10.03	-72.49	-9.82	124.60	21.96	1	-	-	-		
2	72	Dayside	2023 SEP 30 18:02:10	2023 SEP 30 18:31:57	2023 SEP 30 19:01:44	3574.39	154.66	-155.57	-39.90	-9.82	72.80	9.64	55.44	10.04	1	CH4 H2O 2SUBD 02	Science: orders #136, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: UVIS off	&daysideMatch:CERBERUS FOSSAE; 	
3	72	Nightside	2023 SEP 30 19:01:44	2023 SEP 30 19:31:00	2023 SEP 30 20:00:15	3510.54	-39.90	9.51	125.78	9.64	-72.73	-9.44	124.52	22.01	14	-	-	-		
3	72	Dayside	2023 SEP 30 20:00:15	2023 SEP 30 20:30:01	2023 SEP 30 20:59:47	3572.27	125.78	176.53	-68.77	-9.44	73.05	9.26	55.53	10.10	14	-		COP row -1: UVIS off		
4	72	Nightside	2023 SEP 30 20:59:47	2023 SEP 30 21:29:02	2023 SEP 30 21:58:17	3509.69	-68.77	-18.50	96.93	9.26	-72.99	-9.09	124.42	22.05	1	-	-	-		
4	72	Dayside	2023 SEP 30 21:58:17	2023 SEP 30 22:28:02	2023 SEP 30 22:57:47	3570.51	96.93	148.55	-97.62	-9.09	73.28	8.90	55.62	10.15	1	-		COP row -1: UVIS off		
5	72	Nightside	2023 SEP 30 22:57:47	2023 SEP 30 23:27:01	2023 SEP 30 23:56:15	3507.99	-97.62	-46.39	68.08	8.90	-73.23	-8.73	124.34	22.11	3	-	-	-		
5	72	Dayside	2023 SEP 30 23:56:15	2023 OCT 01 00:26:01	2023 OCT 01 00:55:47	3571.44	68.08	120.66	-126.47	-8.73	73.50	8.54	55.69	10.20	3	Ice H2O 2SUBD #1	Science: orders #193, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: UVIS off	&daysideMatch:NILI FOSSAE; 	
