Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	72	Ingress	2023 SEP 30 15:14:33	2023 SEP 30 15:20:29	2023 SEP 30 15:21:52	439.00	7.61	-0.48	-2.75	-11.25	-27.02	-30.94	17.28	14	-	-	-	&daysideMatch:ACIDALIA MUD VOLCANOES NE; &mroOverlap; 	
N/A	1	72	Egress	2023 SEP 30 15:47:49	2023 SEP 30 15:49:13	2023 SEP 30 15:55:15	446.00	-149.66	-153.44	-165.07	-50.48	-46.80	-31.35	7.54	14	-	-	-	&daysideMatch:ACIDALIA MUD VOLCANOES NE; &mroOverlap; 	
NOMAD	2	72	Ingress	2023 SEP 30 17:12:41	2023 SEP 30 17:18:37	2023 SEP 30 17:20:00	439.00	-21.32	-29.45	-31.74	-11.74	-27.51	-31.43	17.26	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:CERBERUS FOSSAE; 	
NOMAD	2	72	Egress	2023 SEP 30 17:45:54	2023 SEP 30 17:47:18	2023 SEP 30 17:53:21	447.00	-178.76	177.50	165.96	-50.13	-46.44	-30.92	7.52	1	6SUBD CO2 H2O #13	Science: orders #121, #132, #148, #156, #186, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:CERBERUS FOSSAE; 	
ACS	3	72	Ingress	2023 SEP 30 19:10:48	2023 SEP 30 19:16:45	2023 SEP 30 19:18:08	440.00	-50.26	-58.47	-60.78	-12.26	-28.09	-32.00	17.24	14	-	-	-		
N/A	3	72	Egress	2023 SEP 30 19:43:57	2023 SEP 30 19:45:21	2023 SEP 30 19:51:26	449.00	152.28	148.58	137.05	-49.92	-46.21	-30.58	7.51	14	-	-	-		
NOMAD	4	72	Ingress	2023 SEP 30 21:08:52	2023 SEP 30 21:14:50	2023 SEP 30 21:16:14	442.00	-79.17	-87.45	-89.81	-12.71	-28.60	-32.56	17.23	1	6SUBD Nominal #45	Science: orders #121, #136, #169, #129, #149, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	4	72	Egress	2023 SEP 30 21:41:57	2023 SEP 30 21:43:22	2023 SEP 30 21:49:28	451.00	123.39	119.66	108.17	-49.75	-45.99	-30.28	7.50	1	6SUBD CO #1	Science: orders #132, #183, #184, #185, #186, #187, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	5	72	Ingress	2023 SEP 30 23:06:51	2023 SEP 30 23:12:51	2023 SEP 30 23:14:15	444.00	-108.00	-116.37	-118.75	-13.04	-29.03	-32.99	17.21	3	-	-	-	&daysideMatch:NILI FOSSAE; 	
ACS	5	72	Egress	2023 SEP 30 23:39:54	2023 SEP 30 23:41:19	2023 SEP 30 23:47:27	453.00	94.44	90.74	79.26	-49.51	-45.74	-29.91	7.48	3	-	-	-	&daysideMatch:NILI FOSSAE; 	
NOMAD	6	72	Ingress	2023 OCT 01 01:04:50	2023 OCT 01 01:10:50	2023 OCT 01 01:12:14	444.00	-136.84	-145.24	-147.64	-13.39	-29.38	-33.34	17.20	1	6SUBD Nominal #1	Science: orders #121, #134, #149, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	6	72	Egress	2023 OCT 01 01:37:53	2023 OCT 01 01:39:18	2023 OCT 01 01:45:25	452.00	65.40	61.74	50.39	-49.18	-45.40	-29.60	7.46	1	-	-	-		
N/A	7	72	Ingress	2023 OCT 01 03:02:53	2023 OCT 01 03:08:54	2023 OCT 01 03:10:18	445.00	-165.74	-174.21	-176.62	-13.84	-29.86	-33.82	17.19	1	-	-	-	&daysideMatch:ELYSIUM CERBERUS PHLEGRA; 	
NOMAD	7	72	Egress	2023 OCT 01 03:35:54	2023 OCT 01 03:37:19	2023 OCT 01 03:43:26	452.00	36.45	32.83	21.55	-48.96	-45.17	-29.35	7.45	1	6SUBD CO2 #24	Science: orders #186, #190, #132, #148, #155, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:ELYSIUM CERBERUS PHLEGRA; 	
