NOM_02, OCCEG, 69, 287
NOM_02, OCCIN, 48, 168
NOM_03, OCCEG, 4, 12, 14, 24, 38, 39, 41, 45, 62, 183, 188, 192, 211, 216, 224, 225, 234, 236, 251, 256, 261, 265, 273, 289, 291, 293, 298
NOM_03, OCCIN, 4, 7, 14, 26, 27, 31, 36, 43, 62, 63, 69, 167, 173, 176, 180, 192, 195, 200, 207, 209, 211, 216, 217, 225, 231, 234, 237, 244, 251, 266, 275, 281
NOM_03, OCCME, 70, 72, 159, 164
CO_001, OCCEG, 229, 253
CO_001, OCCIN, 32, 182, 222, 296
CO_002, OCCEG, 10, 15, 21, 22, 36, 173, 176, 187, 197, 200, 244, 246, 268, 275, 281
CO_002, OCCIN, 8, 24, 41, 45, 56, 170, 187, 193, 199, 204, 224, 229, 236, 249, 302
CO2_01, OCCEG, 31, 32, 43, 48, 248, 249
CO2_01, OCCIN, 19, 38, 51, 175, 248
CO2_02, OCCEG, 3, 5, 7, 8, 17, 19, 46, 51, 63, 175, 185, 202, 227, 231, 241, 258, 266, 278, 296
CO2_02, OCCIN, 12, 46, 50, 185, 190, 202, 241, 246, 253, 255, 256, 258, 265, 270, 272, 280, 285, 294
HCL_01, OCCEG, 34, 56, 67, 190, 204, 222, 239, 263, 302
HCL_01, OCCIN, 22, 34, 39, 197, 212, 232, 239, 278
FUL_01, OCCEG, 50, 53, 60, 167, 199, 209, 212, 237, 260, 272, 285, 301
FUL_01, OCCIN, 10, 21, 183, 188, 206, 220, 261, 263, 268, 273, 287, 289, 293, 298
FUL_01, OCCME, 75, 162
