TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2025 JAN 21 16:39:00,38,38
2025 JAN 23 13:54:00,61,61
2025 JAN 24 17:24:00,75,75
2025 JAN 27 18:09:00,112,112
2025 JAN 27 20:09:00,113,113
2025 JAN 29 07:33:00,131,131
2025 JAN 29 09:33:00,132,132
2025 JAN 30 21:00:00,150,150
2025 JAN 30 23:00:00,151,151
2025 FEB 01 10:30:00,169,169
2025 FEB 01 10:27:00,169,169
2025 FEB 02 18:03:00,185,185
2025 FEB 02 18:00:00,185,185
2025 FEB 07 02:21:00,238,238
2025 FEB 07 10:18:00,242,242
2025 FEB 11 16:30:00,294,294
2025 FEB 12 09:15:00,303,303
2025 FEB 13 08:48:00,315,315
