Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	73	Nightside	2023 OCT 28 15:36:31	2023 OCT 28 16:05:55	2023 OCT 28 16:35:19	3528.27	-126.29	6.20	39.38	-66.69	-17.39	66.71	171.94	0.55	3	-	-	-		
1	73	Dayside	2023 OCT 28 16:35:19	2023 OCT 28 17:04:54	2023 OCT 28 17:34:29	3549.67	39.38	171.30	-155.10	66.71	18.82	-66.75	7.97	12.51	3	-		COP row -1: 		
2	73	Nightside	2023 OCT 28 17:34:29	2023 OCT 28 18:03:53	2023 OCT 28 18:33:18	3529.21	-155.10	-22.75	10.55	-66.75	-17.32	66.78	172.18	0.53	1	-	-	-		
2	73	Dayside	2023 OCT 28 18:33:18	2023 OCT 28 19:02:52	2023 OCT 28 19:32:27	3548.62	10.55	142.36	176.05	66.78	18.74	-66.83	7.74	12.50	1	-		COP row -1: 	&daysideMatch:AEOLIS MENSAE MFF; 	
3	73	Nightside	2023 OCT 28 19:32:27	2023 OCT 28 20:01:51	2023 OCT 28 20:31:16	3529.06	176.05	-51.68	-18.35	-66.83	-17.21	66.87	172.41	0.52	3	-	-	-		
3	73	Dayside	2023 OCT 28 20:31:16	2023 OCT 28 21:00:49	2023 OCT 28 21:30:23	3547.33	-18.35	113.44	147.18	66.87	18.70	-66.92	7.54	12.48	3	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:TIANWEN1; 	
4	73	Nightside	2023 OCT 28 21:30:23	2023 OCT 28 21:59:47	2023 OCT 28 22:29:11	3527.84	147.18	-80.58	-47.25	-66.92	-17.10	66.97	172.61	0.50	1	-	-	-		
4	73	Dayside	2023 OCT 28 22:29:11	2023 OCT 28 22:58:44	2023 OCT 28 23:28:17	3546.32	-47.25	84.55	118.31	66.97	18.64	-67.01	7.35	12.47	1	-		COP row -1: 		
5	73	Nightside	2023 OCT 28 23:28:17	2023 OCT 28 23:57:40	2023 OCT 29 00:27:04	3526.63	118.31	-109.46	-76.06	-67.01	-17.02	67.04	172.81	0.49	14	-	-	-		
5	73	Dayside	2023 OCT 29 00:27:04	2023 OCT 29 00:56:37	2023 OCT 29 01:26:09	3545.55	-76.06	55.67	89.53	67.04	18.53	-67.07	7.14	12.46	14	-		COP row -1: 		
6	73	Nightside	2023 OCT 29 01:26:09	2023 OCT 29 01:55:33	2023 OCT 29 02:24:58	3528.37	89.53	-138.37	-104.77	-67.07	-16.97	67.07	173.02	0.48	47	-	-	COP row -1: 		
6	73	Dayside	2023 OCT 29 02:24:58	2023 OCT 29 02:54:31	2023 OCT 29 03:24:04	3546.33	-104.77	26.74	60.82	67.07	18.44	-67.09	6.90	12.44	47	-		COP row -1: 	&trueNightLimb; 	
7	73	Nightside	2023 OCT 29 03:24:04	2023 OCT 29 03:53:29	2023 OCT 29 04:22:54	3530.10	60.82	-167.31	-133.52	-67.09	-16.88	67.11	173.27	0.46	1	-	-	-		
7	73	Dayside	2023 OCT 29 04:22:54	2023 OCT 29 04:52:28	2023 OCT 29 05:22:03	3548.43	-133.52	-2.22	32.06	67.11	18.38	-67.13	6.66	12.42	1	-		COP row -1: 	&daysideMatch:MERIDIANI SULPHATES; 	
8	73	Nightside	2023 OCT 29 05:22:03	2023 OCT 29 05:51:27	2023 OCT 29 06:20:52	3529.43	32.06	163.74	-162.33	-67.13	-16.79	67.17	173.51	0.44	1	-	-	-		
8	73	Dayside	2023 OCT 29 06:20:52	2023 OCT 29 06:50:27	2023 OCT 29 07:20:02	3549.89	-162.33	-31.15	3.22	67.17	18.30	-67.20	6.44	12.41	1	-		COP row -1: 		
9	73	Nightside	2023 OCT 29 07:20:02	2023 OCT 29 07:49:26	2023 OCT 29 08:18:50	3527.91	3.22	134.80	168.82	-67.20	-16.73	67.24	173.74	0.43	14	-	-	-		
9	73	Dayside	2023 OCT 29 08:18:50	2023 OCT 29 08:48:25	2023 OCT 29 09:17:59	3549.58	168.82	-60.07	-25.69	67.24	18.20	-67.30	6.22	12.39	14	-		COP row -1: 		
10	73	Nightside	2023 OCT 29 09:17:59	2023 OCT 29 09:47:23	2023 OCT 29 10:16:46	3526.56	-25.69	105.89	139.94	-67.30	-16.67	67.34	173.94	0.41	1	-	-	-		
10	73	Dayside	2023 OCT 29 10:16:46	2023 OCT 29 10:46:20	2023 OCT 29 11:15:54	3547.72	139.94	-88.97	-54.57	67.34	18.11	-67.39	6.02	12.38	1	-		COP row -1: 		
