Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	73	Ingress	2023 OCT 28 15:41:25	2023 OCT 28 15:44:24	2023 OCT 28 15:45:00	215.00	-131.83	-135.59	-136.43	-68.07	-69.03	-69.23	14.75	3	-	-	-		
N/A	1	73	Egress	2023 OCT 28 16:26:10	2023 OCT 28 16:26:44	2023 OCT 28 16:29:27	197.00	47.76	47.21	44.64	63.47	63.70	64.71	3.62	3	-	-	-		
NOMAD	2	73	Ingress	2023 OCT 28 17:39:24	2023 OCT 28 17:42:22	2023 OCT 28 17:42:58	214.00	-160.55	-164.21	-165.03	-68.09	-69.02	-69.21	14.75	1	Fullscan fast step4 all #1	Diffraction order stepping (fullscan): 11 orders from 124 to 168 in steps of 4 (6 order(s) per 1 second(s))	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&daysideMatch:AEOLIS MENSAE MFF; 	
N/A	2	73	Egress	2023 OCT 28 18:24:09	2023 OCT 28 18:24:43	2023 OCT 28 18:27:26	197.00	18.79	18.25	15.71	63.64	63.86	64.84	3.60	1	-	-	-	&daysideMatch:AEOLIS MENSAE MFF; 	
N/A	3	73	Ingress	2023 OCT 28 19:37:21	2023 OCT 28 19:40:19	2023 OCT 28 19:40:55	214.00	170.72	167.14	166.34	-68.12	-69.02	-69.21	14.76	3	-	-	-	&daysideMatch:TIANWEN1; 	
ACS	3	73	Egress	2023 OCT 28 20:22:06	2023 OCT 28 20:22:40	2023 OCT 28 20:25:22	196.00	-10.23	-10.76	-13.25	63.83	64.05	64.99	3.58	3	-	-	-	&daysideMatch:TIANWEN1; 	
NOMAD	4	73	Ingress	2023 OCT 28 21:35:15	2023 OCT 28 21:38:14	2023 OCT 28 21:38:50	215.00	141.97	138.46	137.68	-68.16	-69.03	-69.22	14.76	1	6SUBD CO2 H2O #12	Science: orders #121, #132, #148, #156, #189, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: UVIS off		
N/A	4	73	Egress	2023 OCT 28 22:20:02	2023 OCT 28 22:20:36	2023 OCT 28 22:23:18	196.00	-39.23	-39.76	-42.22	64.02	64.23	65.14	3.56	1	-	-	-		
N/A	5	73	Ingress	2023 OCT 28 23:33:08	2023 OCT 28 23:36:07	2023 OCT 28 23:36:43	215.00	113.21	109.76	109.00	-68.20	-69.05	-69.23	14.76	14	-	-	-		
ACS	5	73	Egress	2023 OCT 29 00:17:55	2023 OCT 29 00:18:29	2023 OCT 29 00:21:11	196.00	-68.18	-68.70	-71.12	64.18	64.38	65.26	3.55	14	-	-	-		
N/A	6	73	Ingress	2023 OCT 29 01:31:01	2023 OCT 29 01:34:00	2023 OCT 29 01:34:36	215.00	84.51	81.14	80.40	-68.22	-69.05	-69.23	14.76	47	-	-	-	&trueNightLimb; 	
N/A	6	73	Egress	2023 OCT 29 02:15:49	2023 OCT 29 02:16:23	2023 OCT 29 02:19:05	196.00	-97.06	-97.57	-99.95	64.31	64.50	65.35	3.53	47	-	-	-	&trueNightLimb; 	
NOMAD	7	73	Ingress	2023 OCT 29 03:28:57	2023 OCT 29 03:31:55	2023 OCT 29 03:32:31	214.00	55.90	52.65	51.93	-68.21	-69.01	-69.18	14.77	1	Fullscan fast step4 all #1	Diffraction order stepping (fullscan): 11 orders from 124 to 168 in steps of 4 (6 order(s) per 1 second(s))	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&daysideMatch:MERIDIANI SULPHATES; 	
N/A	7	73	Egress	2023 OCT 29 04:13:45	2023 OCT 29 04:14:19	2023 OCT 29 04:17:01	196.00	-125.97	-126.48	-128.81	64.44	64.63	65.44	3.52	1	-	-	-	&daysideMatch:MERIDIANI SULPHATES; 	
N/A	8	73	Ingress	2023 OCT 29 05:26:55	2023 OCT 29 05:29:53	2023 OCT 29 05:30:29	214.00	27.28	24.12	23.43	-68.20	-68.97	-69.14	14.79	1	-	-	-		
NOMAD	8	73	Egress	2023 OCT 29 06:11:43	2023 OCT 29 06:12:17	2023 OCT 29 06:14:58	195.00	-154.94	-155.43	-157.70	64.59	64.77	65.56	3.50	1	All Fullscan Fast #2	Diffraction order stepping (fullscan): 115 orders from 110 to 225 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: UVIS off		
