Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2021 MAR 20 15:15:47	2021 MAR 20 15:19:16	2021 MAR 20 15:19:59	252.00	94.83	78.33	72.94	-73.45	-78.26	-79.16	14.96	3	-	-	-		
N/A	1	Egress	2021 MAR 20 15:58:25	2021 MAR 20 15:59:05	2021 MAR 20 16:02:16	231.00	-75.38	-75.97	-78.99	48.93	50.14	55.52	5.32	3	-	-	-		
NOMAD	2	Ingress	2021 MAR 20 17:13:42	2021 MAR 20 17:17:10	2021 MAR 20 17:17:52	250.00	66.03	49.72	44.53	-73.47	-78.23	-79.10	14.96	1	6SUBD CO H2O #1	Science: orders #134, #169, #186, #187, #189, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	2	Egress	2021 MAR 20 17:56:21	2021 MAR 20 17:57:01	2021 MAR 20 18:00:11	230.00	-104.16	-104.76	-107.76	49.11	50.32	55.62	5.31	1	-	-	-		
N/A	3	Ingress	2021 MAR 20 19:11:38	2021 MAR 20 19:15:05	2021 MAR 20 19:15:47	249.00	37.41	21.48	16.42	-73.40	-78.11	-78.98	14.99	3	-	-	-	&daysideMatch:MAWRTH VALLIS; 	
ACS	3	Egress	2021 MAR 20 19:54:19	2021 MAR 20 19:54:59	2021 MAR 20 19:58:08	229.00	-132.97	-133.57	-136.56	49.34	50.53	55.76	5.30	3	-	-	-	&daysideMatch:MAWRTH VALLIS; 	
NOMAD	4	Ingress	2021 MAR 20 21:09:35	2021 MAR 20 21:13:02	2021 MAR 20 21:13:44	249.00	8.76	-6.91	-11.87	-73.34	-78.03	-78.90	15.01	1	6SUBD Nom CH4 #2	Science: orders #134, #136, #164, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	4	Egress	2021 MAR 20 21:52:20	2021 MAR 20 21:53:00	2021 MAR 20 21:56:08	228.00	-161.81	-162.41	-165.39	49.60	50.79	55.95	5.30	1	-	-	-		
N/A	5	Ingress	2021 MAR 20 23:07:35	2021 MAR 20 23:11:01	2021 MAR 20 23:11:43	248.00	-20.09	-35.59	-40.49	-73.38	-78.00	-78.86	15.02	14	-	-	-		
N/A	5	Egress	2021 MAR 20 23:50:21	2021 MAR 20 23:51:01	2021 MAR 20 23:54:09	228.00	169.34	168.74	165.74	49.90	51.08	56.20	5.29	14	-	-	-		
N/A	6	Ingress	2021 MAR 21 01:05:31	2021 MAR 21 01:08:56	2021 MAR 21 01:09:38	247.00	-48.96	-64.34	-69.20	-73.43	-77.99	-78.84	15.01	14	-	-	-	&mroOverlap; 	
ACS	6	Egress	2021 MAR 21 01:48:20	2021 MAR 21 01:49:00	2021 MAR 21 01:52:08	228.00	140.50	139.89	136.88	50.19	51.36	56.44	5.28	14	-	-	-	&mroOverlap; 	
NOMAD	7	Ingress	2021 MAR 21 03:03:23	2021 MAR 21 03:06:48	2021 MAR 21 03:07:30	247.00	-77.67	-92.90	-97.70	-73.41	-77.94	-78.79	15.02	1	6SUBD CH4 H2O #1	Science: orders #169, #132, #133, #134, #136, #137, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&daysideMatch:OLYMPUS MONS; 	
N/A	7	Egress	2021 MAR 21 03:46:14	2021 MAR 21 03:46:54	2021 MAR 21 03:50:01	227.00	111.70	111.09	108.08	50.43	51.59	56.60	5.27	1	-	-	-	&daysideMatch:OLYMPUS MONS; 	
N/A	8	Ingress	2021 MAR 21 05:01:14	2021 MAR 21 05:04:39	2021 MAR 21 05:05:21	247.00	-106.27	-121.23	-125.93	-73.34	-77.84	-78.70	15.05	1	-	-	-	&mroOverlap; 	
NOMAD	8	Egress	2021 MAR 21 05:44:08	2021 MAR 21 05:44:47	2021 MAR 21 05:47:54	226.00	82.92	82.33	79.32	50.59	51.71	56.69	5.27	1	6SUBD Nom CO #6	Science: orders #167, #186, #187, #188, #190, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&mroOverlap; 	
ACS	9	Ingress	2021 MAR 21 06:59:12	2021 MAR 21 07:02:36	2021 MAR 21 07:03:17	245.00	-135.07	-149.83	-154.34	-73.35	-77.80	-78.63	15.05	3	-	-	-	&mroOverlap; 	
N/A	9	Egress	2021 MAR 21 07:42:08	2021 MAR 21 07:42:47	2021 MAR 21 07:45:53	225.00	54.11	53.52	50.52	50.79	51.90	56.80	5.26	3	-	-	-	&mroOverlap; 	
N/A	10	Ingress	2021 MAR 21 08:57:11	2021 MAR 21 09:00:34	2021 MAR 21 09:01:15	244.00	-163.85	-178.38	177.17	-73.35	-77.74	-78.57	15.06	1	-	-	-	&daysideMatch:AEOLIS MENSAE MFF; 	
NOMAD	10	Egress	2021 MAR 21 09:40:08	2021 MAR 21 09:40:47	2021 MAR 21 09:43:53	225.00	25.28	24.68	21.68	51.03	52.13	56.99	5.25	1	HCL #4	Science: orders #121, #134, #129, #129, #129, #129, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&daysideMatch:AEOLIS MENSAE MFF; 	
ACS	11	Ingress	2021 MAR 21 10:55:07	2021 MAR 21 10:58:30	2021 MAR 21 10:59:11	244.00	167.44	153.08	148.71	-73.33	-77.69	-78.51	15.07	14	-	-	-		
N/A	11	Egress	2021 MAR 21 11:38:08	2021 MAR 21 11:38:47	2021 MAR 21 11:41:52	224.00	-3.57	-4.17	-7.16	51.31	52.40	57.19	5.24	14	-	-	-		
N/A	12	Ingress	2021 MAR 21 12:53:01	2021 MAR 21 12:56:24	2021 MAR 21 12:57:05	244.00	138.72	124.51	120.19	-73.31	-77.64	-78.45	15.08	1	-	-	-	&mroOverlap; 	
NOMAD	12	Egress	2021 MAR 21 13:36:05	2021 MAR 21 13:36:44	2021 MAR 21 13:39:48	223.00	-32.40	-33.00	-35.99	51.58	52.66	57.39	5.24	1	6SUBD CO2 #1	Science: orders #156, #116, #118, #140, #154, #158, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7	&mroOverlap; 	
ACS	13	Ingress	2021 MAR 21 14:50:54	2021 MAR 21 14:54:17	2021 MAR 21 14:54:58	244.00	109.97	95.87	91.60	-73.31	-77.60	-78.42	15.09	14	-	-	-		
