MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2026 AUG 01 19:00:00,63.133,174.2417,311.0475,13.955,79.4517,7.2984e-15,79.4517,2026 AUG 01 19:06:00,62.7732,175.9795,429.8865,14.1681,79.8771,0.12389,79.7944
2026 AUG 01 20:51:00,59.1422,148.0205,308.9202,14.0072,76.176,1.7421e-14,76.176,2026 AUG 01 21:03:00,60.3848,144.1748,427.1372,13.9456,77.0178,0.11799,76.95
2026 AUG 03 00:54:00,57.6412,98.6977,305.5974,14.0186,74.7014,5.8652e-14,74.7014,2026 AUG 03 00:33:00,58.7298,97.3435,425.945,13.5878,74.1075,0.16918,73.9838
2026 AUG 04 23:42:00,64.3376,134.2823,312.1873,13.9392,79.8012,3.2435e-14,79.8012,2026 AUG 04 23:45:00,64.3041,129.4427,428.6184,13.665,78.9739,0.47119,79.4443
2026 AUG 06 07:30:00,64.6444,29.8492,311.3247,13.9264,79.759,3.8824e-14,79.759,2026 AUG 06 07:12:00,65.3593,28.3129,430.4398,13.5322,79.3221,2.3005,81.5736
2026 AUG 08 06:18:00,71.6427,64.0008,311.8963,13.7522,85.0827,2.0116e-14,85.0827,2026 AUG 08 06:24:00,70.6265,66.2801,432.705,14.0014,84.746,1.3307,84.5258
2026 AUG 09 15:57:00,67.8892,-65.5016,312.4167,13.8692,81.7423,8.5639e-15,81.7423,2026 AUG 09 15:48:00,69.7772,-69.0084,431.4836,13.4894,82.5808,0.19119,82.6909
2026 AUG 11 01:39:00,73.5641,160.172,316.6722,13.7136,86.1396,1.5923e-14,86.1396,2026 AUG 10 01:39:00,72.3104,155.736,431.9918,14.0592,85.9533,2.6879,88.6376
2026 AUG 12 18:48:00,73.2251,-80.6605,313.7012,13.7089,85.4671,3.2784e-15,85.4671,2026 AUG 12 18:30:00,72.7852,-77.4842,432.4222,13.6289,84.9286,0.3559,85.2458
2026 AUG 15 01:03:00,74.8411,-153.4799,314.5161,13.6556,86.3494,2.0427e-14,86.3494,2026 AUG 15 01:33:00,74.8285,-153.4477,434.7459,14.1444,87.2263,0.5813,87.7879
2026 AUG 16 05:06:00,73.1181,158.2485,316.7525,13.7386,84.7021,4.4193e-14,84.7021,2026 AUG 16 05:03:00,74.0745,154.3519,432.2327,13.4303,85.055,0.17501,85.0389
2026 AUG 17 12:54:00,73.3962,53.4351,313.8537,13.7025,84.6025,3.8986e-14,84.6025,2026 AUG 17 12:30:00,74.6527,56.7019,433.327,13.5308,85.4574,0.17251,85.4484
2026 AUG 18 05:45:00,76.371,165.7243,316.8198,13.5886,86.9525,6.472e-15,86.9525,2026 AUG 18 06:12:00,75.4926,165.0177,432.5182,13.9794,86.7979,0.15879,86.8051
2026 AUG 19 09:48:00,75.0353,117.1451,314.9429,13.6517,85.5896,1.4769e-14,85.5896,2026 AUG 19 09:42:00,74.9608,113.2664,433.9683,13.2956,85.0127,0.18326,85.003
2026 AUG 20 17:36:00,75.7966,12.4472,316.4501,13.6233,85.9496,1.778e-15,85.9496,2026 AUG 20 17:09:00,75.2351,14.5588,434.298,13.3261,85.027,0.63345,85.4728
2026 AUG 21 16:03:00,76.3842,43.9584,315.858,13.5753,86.2125,1.9735e-14,86.2125,2026 AUG 21 16:45:00,75.8164,40.3042,433.9862,14.0131,86.4039,0.15934,86.4149
2026 AUG 24 03:54:00,75.3892,-109.1319,314.0779,13.6233,84.8466,1.2033e-14,84.8466,2026 AUG 24 03:42:00,75.7606,-109.971,435.7394,13.3725,84.8364,0.18265,84.8357
2026 AUG 27 04:51:00,75.8883,-94.3503,316.3955,13.6142,84.63,2.3937e-15,84.63,2026 AUG 26 04:51:00,75.5801,-97.6356,435.5318,14.0347,85.2772,0.15703,85.2867
2026 AUG 27 14:12:00,75.4224,129.8534,317.102,13.6617,84.1991,2.249e-15,84.1991,2026 AUG 27 14:15:00,75.7756,126.2918,434.7616,13.4731,84.2424,0.17858,84.2433
2026 AUG 28 22:00:00,76.1334,24.8251,316.0271,13.6125,84.4797,2.5851e-14,84.4797,2026 AUG 28 21:42:00,75.6224,28.0537,434.0344,13.5358,83.9078,0.17541,83.9083
