MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 JAN 23 17:16:40,2021 JAN 23 17:21:40,2,2
2021 JAN 24 09:08:56,2021 JAN 24 09:13:56,10,10
2021 JAN 24 16:54:31,2021 JAN 24 16:59:31,14,14
2021 JAN 24 18:51:38,2021 JAN 24 18:56:38,15,15
2021 JAN 25 00:48:44,2021 JAN 25 00:53:44,18,18
2021 JAN 25 20:26:39,2021 JAN 25 20:28:22,28,28
2021 JAN 26 12:13:34,2021 JAN 26 12:18:34,36,36
2021 JAN 26 16:04:23,2021 JAN 26 16:09:23,38,38
2021 JAN 26 20:01:20,2021 JAN 26 20:06:20,40,40
2021 JAN 27 13:48:55,2021 JAN 27 13:53:55,49,49
2021 JAN 27 23:40:38,2021 JAN 27 23:45:38,54,54
2021 JAN 28 03:29:51,2021 JAN 28 03:34:51,56,56
2021 JAN 28 17:08:17,2021 JAN 28 17:13:17,63,63
2021 JAN 29 10:59:37,2021 JAN 29 11:04:37,72,72
2021 JAN 29 13:07:16,2021 JAN 29 13:12:16,73,73
2021 JAN 29 16:49:48,2021 JAN 29 16:54:48,75,75
2021 JAN 30 02:45:08,2021 JAN 30 02:50:08,80,80
2021 JAN 30 08:34:00,2021 JAN 30 08:39:00,83,83
2021 JAN 31 16:06:14,2021 JAN 31 16:11:14,99,99
2021 JAN 31 18:02:15,2021 JAN 31 18:03:35,100,100
2021 FEB 02 01:30:17,2021 FEB 02 01:35:17,116,116
2021 FEB 02 11:16:43,2021 FEB 02 11:21:43,121,121
2021 FEB 02 13:13:05,2021 FEB 02 13:18:05,122,122
2021 FEB 02 19:21:36,2021 FEB 02 19:23:14,125,125
2021 FEB 03 01:11:03,2021 FEB 03 01:16:03,128,128
2021 FEB 05 08:15:34,2021 FEB 05 08:20:34,156,156
2021 FEB 05 12:10:23,2021 FEB 05 12:15:23,158,158
2021 FEB 05 21:57:23,2021 FEB 05 22:02:23,163,163
2021 FEB 06 05:50:15,2021 FEB 06 05:55:15,167,167
2021 FEB 06 09:46:46,2021 FEB 06 09:51:46,169,169
2021 FEB 07 09:24:00,2021 FEB 07 09:29:00,181,181
2021 FEB 07 17:06:09,2021 FEB 07 17:11:09,185,185
2021 FEB 07 21:02:40,2021 FEB 07 21:07:40,187,187
2021 FEB 08 16:32:07,2021 FEB 08 16:37:07,197,197
2021 FEB 09 14:19:55,2021 FEB 09 14:24:55,208,208
2021 FEB 09 18:12:43,2021 FEB 09 18:17:43,210,210
2021 FEB 10 04:00:23,2021 FEB 10 04:05:23,215,215
2021 FEB 10 21:45:51,2021 FEB 10 21:50:51,224,224
2021 FEB 11 05:37:13,2021 FEB 11 05:42:13,228,228
2021 FEB 11 09:30:46,2021 FEB 11 09:35:46,230,230
2021 FEB 11 21:19:49,2021 FEB 11 21:24:49,236,236
2021 FEB 12 11:06:08,2021 FEB 12 11:08:29,243,243
2021 FEB 12 20:53:26,2021 FEB 12 20:58:26,248,248
2021 FEB 12 22:53:10,2021 FEB 12 22:58:10,249,249
2021 FEB 13 10:46:28,2021 FEB 13 10:46:58,255,255
2021 FEB 14 00:39:10,2021 FEB 14 00:44:10,262,262
2021 FEB 14 02:31:52,2021 FEB 14 02:36:52,263,263
2021 FEB 14 04:21:53,2021 FEB 14 04:26:53,264,264
2021 FEB 14 06:22:27,2021 FEB 14 06:27:18,265,265
2021 FEB 14 08:21:45,2021 FEB 14 08:26:45,266,266
2021 FEB 14 18:11:19,2021 FEB 14 18:16:19,271,271
2021 FEB 15 21:35:43,2021 FEB 15 21:40:43,285,285
2021 FEB 17 12:59:04,2021 FEB 17 13:04:04,305,305
2021 FEB 17 14:54:40,2021 FEB 17 14:58:45,306,306
2021 FEB 17 16:50:20,2021 FEB 17 16:55:20,307,307
2021 FEB 17 18:59:43,2021 FEB 17 19:04:43,308,308
2021 FEB 17 20:56:45,2021 FEB 17 21:01:45,309,309
2021 FEB 17 22:43:17,2021 FEB 17 22:48:17,310,310
2021 FEB 18 00:42:40,2021 FEB 18 00:47:40,311,311
2021 FEB 18 12:43:51,2021 FEB 18 12:48:51,317,317
2021 FEB 18 22:17:30,2021 FEB 18 22:22:30,322,322
2021 FEB 19 00:17:36,2021 FEB 19 00:22:36,323,323
2021 FEB 19 06:33:24,2021 FEB 19 06:38:24,326,326
2021 FEB 19 22:00:35,2021 FEB 19 22:05:35,334,334
2021 FEB 20 05:52:18,2021 FEB 20 05:57:18,338,338
