Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2025 MAY 10 14:31:41,2025 MAY 10 16:29:39,7078,2025 MAY 10 14:29:42,2025 MAY 10 15:28:14,3512,2025 MAY 10 15:28:15,2025 MAY 10 16:27:39,3564,44.448,2025 MAY 10 15:57:48
1,1,2,2025 MAY 10 16:29:40,2025 MAY 10 18:27:36,7076,2025 MAY 10 16:27:40,2025 MAY 10 17:26:11,3511,2025 MAY 10 17:26:12,2025 MAY 10 18:25:36,3564,44.6039,2025 MAY 10 17:55:45
3,3,3,2025 MAY 10 18:27:37,2025 MAY 10 20:25:33,7076,2025 MAY 10 18:25:37,2025 MAY 10 19:24:07,3510,2025 MAY 10 19:24:08,2025 MAY 10 20:23:33,3565,44.7178,2025 MAY 10 19:53:41
1,1,4,2025 MAY 10 20:25:34,2025 MAY 10 22:23:33,7079,2025 MAY 10 20:23:34,2025 MAY 10 21:22:05,3511,2025 MAY 10 21:22:06,2025 MAY 10 22:21:33,3567,44.7772,2025 MAY 10 21:51:41
3,3,5,2025 MAY 10 22:23:34,2025 MAY 11 00:21:35,7081,2025 MAY 10 22:21:34,2025 MAY 10 23:20:07,3513,2025 MAY 10 23:20:08,2025 MAY 11 00:19:35,3567,44.8649,2025 MAY 10 23:49:44
3,3,6,2025 MAY 11 00:21:36,2025 MAY 11 02:19:38,7082,2025 MAY 11 00:19:36,2025 MAY 11 01:18:10,3514,2025 MAY 11 01:18:11,2025 MAY 11 02:17:38,3567,45,2025 MAY 11 01:47:46
1,1,7,2025 MAY 11 02:19:39,2025 MAY 11 04:17:38,7079,2025 MAY 11 02:17:39,2025 MAY 11 03:16:10,3511,2025 MAY 11 03:16:11,2025 MAY 11 04:15:38,3567,45.1646,2025 MAY 11 03:45:46
3,3,8,2025 MAY 11 04:17:39,2025 MAY 11 06:15:35,7076,2025 MAY 11 04:15:39,2025 MAY 11 05:14:08,3509,2025 MAY 11 05:14:09,2025 MAY 11 06:13:35,3566,45.3183,2025 MAY 11 05:43:44
1,1,9,2025 MAY 11 06:15:36,2025 MAY 11 08:13:31,7075,2025 MAY 11 06:13:36,2025 MAY 11 07:12:05,3509,2025 MAY 11 07:12:06,2025 MAY 11 08:11:31,3565,45.4195,2025 MAY 11 07:41:41
3,3,10,2025 MAY 11 08:13:32,2025 MAY 11 10:11:31,7079,2025 MAY 11 08:11:32,2025 MAY 11 09:10:03,3511,2025 MAY 11 09:10:04,2025 MAY 11 10:09:31,3567,45.4854,2025 MAY 11 09:39:40
1,1,11,2025 MAY 11 10:11:32,2025 MAY 11 12:09:34,7082,2025 MAY 11 10:09:32,2025 MAY 11 11:08:04,3512,2025 MAY 11 11:08:05,2025 MAY 11 12:07:34,3569,45.5747,2025 MAY 11 11:37:42
