TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 AUG 10 05:09:00,44,44
2022 AUG 11 18:30:00,63,63
2022 AUG 13 01:57:00,79,79
2022 AUG 13 05:54:00,81,81
2022 AUG 13 11:48:00,84,84
2022 AUG 14 09:24:00,95,95
2022 AUG 14 23:12:00,102,102
2022 AUG 16 06:39:00,118,118
2022 AUG 16 10:36:00,120,120
2022 AUG 17 18:03:00,136,136
2022 AUG 17 22:00:00,138,138
2022 AUG 18 01:54:00,140,140
2022 AUG 18 01:57:00,140,140
2022 AUG 18 05:51:00,142,142
2022 AUG 19 15:18:00,159,159
2022 AUG 19 17:15:00,160,160
2022 AUG 19 21:12:00,162,162
2022 AUG 20 22:48:00,175,175
2022 AUG 21 00:45:00,176,176
2022 AUG 21 02:45:00,177,177
2022 AUG 21 04:42:00,178,178
2022 AUG 21 08:39:00,180,180
2022 AUG 21 10:36:00,181,181
2022 AUG 21 12:36:00,182,182
2022 AUG 22 12:12:00,194,194
2022 AUG 22 18:09:00,197,197
2022 AUG 22 20:06:00,198,198
2022 AUG 22 20:09:00,198,198
2022 AUG 22 22:06:00,199,199
2022 AUG 23 00:03:00,200,200
2022 AUG 23 02:00:00,201,201
2022 AUG 24 01:36:00,213,213
2022 AUG 24 09:33:00,217,217
2022 AUG 24 11:30:00,218,218
2022 AUG 24 11:33:00,218,218
2022 AUG 24 13:27:00,219,219
2022 AUG 24 13:30:00,219,219
2022 AUG 24 15:24:00,220,220
2022 AUG 24 15:27:00,220,220
2022 AUG 24 17:24:00,221,221
2022 AUG 25 15:00:00,232,232
2022 AUG 26 00:57:00,237,237
2022 AUG 26 02:54:00,238,238
2022 AUG 26 04:51:00,239,239
2022 AUG 26 06:48:00,240,240
2022 AUG 27 16:18:00,257,257
2022 AUG 27 18:15:00,258,258
2022 AUG 27 20:12:00,259,259
2022 AUG 27 20:15:00,259,259
2022 AUG 27 22:12:00,260,260
2022 AUG 29 05:42:00,276,276
2022 AUG 29 07:39:00,277,277
2022 AUG 29 11:36:00,279,279
2022 AUG 30 23:00:00,297,297
2022 SEP 01 10:24:00,315,315
2022 SEP 01 14:21:00,317,317
2022 SEP 01 16:18:00,318,318
2022 SEP 03 03:42:00,336,336
