Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Arsia Mons                                           ,1,3,42,2023 MAY 17 00:17:53,2023 MAY 17 00:18:28,-7.8516,-122.2198,-6.0989,-121.9211,47.7999,46.312,47.877,46.3973,0.36477,0.39562,9.495,9.5244
Arsia Mons                                           ,2,1,154,2023 MAY 26 04:23:29,2023 MAY 26 04:24:04,-7.8516,-122.9939,-6.0989,-122.6927,70.6815,69.4662,70.5774,69.352,0.18625,0.20646,7.6828,7.7125
Arsia Mons                                           ,3,3,334,2023 JUN 09 23:11:25,2023 JUN 09 23:11:35,-7.3464,-123.4915,-7.8516,-123.4043,79.7923,80.1319,79.6832,80.0254,0.33131,0.3353,17.0064,17.015
Pavonis Mons                                         ,1,1,104,2023 MAY 22 02:11:52,2023 MAY 22 02:11:56,3.2012,-114.4922,3.4012,-114.4609,51.2044,51.0512,52.2225,52.0883,1.4492,1.4708,8.6681,8.6711
Ascraeus Mons                                        ,1,3,253,2023 JUN 03 07:02:34,2023 JUN 03 07:03:09,10.6477,-104.5118,12.4016,-104.1995,80.6026,79.5145,80.4067,79.312,0.40108,0.42009,6.3869,6.4175
Eastern Coprates                                     ,1,1,102,2023 MAY 21 22:10:11,2023 MAY 21 22:10:47,-14.3517,-59.5541,-12.5989,-59.2317,64.7893,63.4232,64.7347,63.357,0.11502,0.13337,8.4097,8.4408
Elysium Cerberus Phlegra                             ,1,1,82,2023 MAY 20 07:08:30,2023 MAY 20 07:09:07,34.1443,169.2176,35.904,169.7543,36.3938,36.2274,32.52,32.3705,3.8746,3.8661,9.6711,9.7169
Elysium Cerberus Phlegra                             ,2,3,194,2023 MAY 29 11:14:13,2023 MAY 29 11:14:41,34.5932,168.0141,35.9038,168.4074,55.0063,54.4655,54.823,54.2883,0.58189,0.58553,7.8314,7.865
Elysium Cerberus Phlegra                             ,3,1,336,2023 JUN 10 02:52:31,2023 JUN 10 02:52:39,35.9037,169.8748,35.4786,170,54.1954,54.3989,54.1459,54.3201,0.12908,0.1358,16.1508,16.1617
Olympica Fossae-Jovis Tholus                         ,1,1,241,2023 JUN 02 07:30:33,2023 JUN 02 07:31:09,19.1469,-115.6794,20.9022,-115.3253,72.8056,71.7742,72.5856,71.5512,0.48698,0.50253,6.7353,6.7686
Ceraunius Fossae                                     ,1,1,271,2023 JUN 04 19:12:12,2023 JUN 04 19:12:36,25.2698,-106.4888,24.1461,-106.2337,73.2293,73.8671,72.9488,73.6206,0.28351,0.2468,17.4536,17.4767
Ceraunius Fossae                                     ,2,1,278,2023 JUN 05 08:14:48,2023 JUN 05 08:15:24,24.1464,-105.2736,25.9026,-104.8813,77.6046,76.5269,77.3655,76.2854,0.53037,0.54342,6.2306,6.2664
Claritas Rise                                        ,1,3,66,2023 MAY 18 23:20:29,2023 MAY 18 23:21:01,-29.2016,-100.9877,-27.5986,-100.5961,70.6895,69.2745,70.7356,69.3135,0.050605,0.048066,8.7028,8.7375
South Thaumasia                                      ,1,1,78,2023 MAY 19 22:51:35,2023 MAY 19 22:51:38,-40.3539,-91.5534,-40.2047,-91.5,82.4792,82.3461,82.5426,82.4095,0.067817,0.067668,8.2244,8.2289
East Thaumasia                                       ,1,1,152,2023 MAY 26 00:19:38,2023 MAY 26 00:19:52,-31.8526,-70.1882,-31.1472,-70,87.8418,87.3105,87.8444,87.3118,0.029323,0.025694,7.2472,7.2636
Uysses Fossae                                        ,1,1,67,2023 MAY 19 01:31:28,2023 MAY 19 01:32:04,9.6473,-122.3355,11.4019,-122.0067,41.595,40.6316,39.4455,38.3138,2.4547,2.6063,9.4047,9.4364
Uysses Fossae                                        ,2,3,179,2023 MAY 28 05:37:03,2023 MAY 28 05:37:39,9.6477,-123.4088,11.4016,-123.0987,64.7832,63.7317,64.5937,63.5368,0.38973,0.40883,7.5717,7.6019
Uysses Fossae                                        ,3,1,309,2023 JUN 07 21:57:23,2023 JUN 07 21:57:59,11.4016,-123.2911,9.6477,-122.9815,73.2528,74.3331,73.0551,74.1418,0.22813,0.2325,17.0967,17.1269
Coprates Rise                                        ,1,1,102,2023 MAY 21 22:07:44,2023 MAY 21 22:08:15,-21.6397,-60.9896,-20.0988,-60.6709,70.5928,69.3508,70.5825,69.3318,0.048292,0.060741,8.2742,8.3039
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,1,3,14,2023 MAY 14 17:34:12,2023 MAY 14 17:34:50,43.8222,-20.6715,45.5856,-19.911,23.2468,24.5038,24.9736,26.1044,2.0313,1.9422,10.9919,11.0528
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,2,1,126,2023 MAY 23 21:39:48,2023 MAY 23 21:40:25,43.8226,-21.6383,45.5853,-20.8991,37.4393,37.39,40.435,40.3922,3.0021,3.0033,9.1678,9.2269
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,3,3,131,2023 MAY 24 07:58:16,2023 MAY 24 07:58:48,45.3135,-21.7802,43.8177,-21.2032,85.4505,87.1848,85.0847,86.2478,0.37055,0.93871,19.1919,19.2392
CH4_ROI_ACIDALIA MUD VOLCANOES NE                    ,4,1,238,2023 JUN 02 01:45:28,2023 JUN 02 01:46:04,43.9025,-21.7802,45.5857,-21.051,59.9162,59.1983,58.8836,58.1693,1.0372,1.0322,7.3969,7.455
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,1,1,39,2023 MAY 16 18:40:34,2023 MAY 16 18:41:11,40.0733,-25.4151,41.8348,-24.7657,24.5756,25.2428,26.1857,26.7901,1.6104,1.5512,10.4761,10.5294
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,2,3,151,2023 MAY 25 22:46:12,2023 MAY 25 22:46:49,40.0731,-25.6318,41.8349,-24.9732,47.1252,46.7658,44.6332,44.279,2.4941,2.4869,8.7019,8.7558
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,3,3,181,2023 MAY 28 10:15:20,2023 MAY 28 10:15:27,40.3885,-26.5928,40.0732,-26.4799,80.8953,81.1177,80.6151,80.837,0.28886,0.2891,18.5408,18.55
CH4_ROI_ACIDALIA MUD VOLCANOES BASSIN                ,4,3,263,2023 JUN 04 02:51:49,2023 JUN 04 02:52:27,40.0718,-26.1266,41.8358,-25.397,68.9653,68.3586,64.707,63.742,4.6051,4.9833,6.9061,6.9647
CH4_ROI_AEOLIS MENSAE - MFF                          ,1,1,95,2023 MAY 21 08:28:52,2023 MAY 21 08:29:00,-2.3036,144.7078,-1.899,144.7711,51.5691,51.2316,54.4416,54.1501,3.9341,3.9854,8.7025,8.7089
CH4_ROI_CERBERUS FOSSAE                              ,1,1,20,2023 MAY 15 05:09:46,2023 MAY 15 05:10:22,9.2876,157.2958,11.0417,157.6083,30.0547,28.8205,29.7799,28.542,0.38093,0.39849,10.1411,10.1714
CH4_ROI_CERBERUS FOSSAE                              ,2,1,132,2023 MAY 24 09:15:38,2023 MAY 24 09:15:57,10.1126,156.408,11.0415,156.5597,52.4301,51.7676,54.0361,53.4883,2.0614,2.181,8.3264,8.3414
CH4_ROI_UTOPIA                                       ,1,3,35,2023 MAY 16 10:46:07,2023 MAY 16 10:46:43,32.1153,87.6095,33.8734,88.0994,21.0374,21.2159,24.3782,24.463,3.3534,3.2475,10.3139,10.3564
CH4_ROI_UTOPIA                                       ,2,1,202,2023 MAY 30 03:33:43,2023 MAY 30 03:34:19,33.8734,87.8843,32.1152,88.3717,81.6018,82.7826,81.3313,82.5128,0.27543,0.27328,18.3797,18.4222
CH4_ROI_UTOPIA                                       ,3,1,314,2023 JUN 08 07:39:51,2023 JUN 08 07:39:53,32.2217,87.194,32.1144,87.2253,62.4463,62.488,59.9684,60.0227,2.7907,2.7778,16.5783,16.5808
CH4_ROI_ARGYRE                                       ,1,3,14,2023 MAY 14 17:06:02,2023 MAY 14 17:06:08,-38.9666,-39.2333,-38.6375,-39.1213,72.3829,72.059,72.4926,72.1682,0.11283,0.11256,9.2975,9.3067
CH4_ROI_VERNAL CRATER                                ,1,3,38,2023 MAY 16 16:30:34,2023 MAY 16 16:31:09,4.7879,-4.301,6.5415,-3.9987,37.088,35.7967,36.8464,35.5459,0.33298,0.35225,9.7747,9.8044
