Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2019 FEB 23 15:44:29	2019 FEB 23 16:47:23	2019 FEB 23 16:16:07	3774.0	-121.2	-65.1	44.6	71.4	-7.9	-71.3	11.4	
1	2019 FEB 23 17:42:20	2019 FEB 23 18:45:11	2019 FEB 23 18:13:57	3770.0	-149.8	-94.0	15.7	71.3	-7.9	-71.4	11.4	
2	2019 FEB 23 19:40:10	2019 FEB 23 20:43:01	2019 FEB 23 20:11:47	3770.0	-178.5	-122.9	-13.0	71.3	-8.0	-71.3	11.4	
3	2019 FEB 23 21:38:00	2019 FEB 23 22:40:55	2019 FEB 23 22:09:39	3774.0	152.6	-151.8	-41.6	71.3	-8.1	-71.2	11.4	
4	2019 FEB 23 23:35:54	2019 FEB 24 00:38:49	2019 FEB 24 00:07:33	3774.0	123.8	179.2	-70.5	71.2	-8.2	-71.2	11.4	
5	2019 FEB 24 01:33:49	2019 FEB 24 02:36:43	2019 FEB 24 02:05:27	3772.0	95.1	150.2	-99.2	71.1	-8.3	-71.1	11.3	
6	2019 FEB 24 03:31:43	2019 FEB 24 04:34:35	2019 FEB 24 04:03:21	3770.0	66.4	121.3	-127.9	71.1	-8.3	-71.1	11.3	
7	2019 FEB 24 05:29:35	2019 FEB 24 06:32:25	2019 FEB 24 06:01:11	3770.0	37.5	92.3	-156.7	71.2	-8.3	-71.1	11.3	
8	2019 FEB 24 07:27:24	2019 FEB 24 08:30:13	2019 FEB 24 07:58:59	3768.0	8.9	63.4	174.5	71.1	-8.4	-71.1	11.3	
9	2019 FEB 24 09:25:14	2019 FEB 24 10:28:05	2019 FEB 24 09:56:49	3770.0	-19.9	34.5	145.8	71.1	-8.5	-71.0	11.3	
10	2019 FEB 24 11:23:07	2019 FEB 24 12:25:59	2019 FEB 24 11:54:43	3772.0	-48.9	5.6	116.8	71.0	-8.5	-70.9	11.3	
