Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	248	Ingress	2019 MAR 05 18:30:15	2019 MAR 05 18:36:13	2019 MAR 05 18:34:52	358.0	102.1	-53.7	18.4	
N/A	249	Egress	2019 MAR 05 19:10:13	2019 MAR 05 19:15:50	2019 MAR 05 19:11:31	337.0	15.3	85.9	13.2	
NOMAD	250	Ingress	2019 MAR 05 20:28:10	2019 MAR 05 20:34:09	2019 MAR 05 20:32:49	359.0	73.3	-53.4	18.3	
NOMAD	251	Egress	2019 MAR 05 21:08:03	2019 MAR 05 21:13:42	2019 MAR 05 21:09:22	339.0	-10.7	85.9	13.4	
N/A	252	Ingress	2019 MAR 05 22:26:01	2019 MAR 05 22:32:03	2019 MAR 05 22:30:42	362.0	44.5	-53.3	18.3	
ACS	253	Egress	2019 MAR 05 23:05:50	2019 MAR 05 23:11:31	2019 MAR 05 23:07:09	341.0	-36.6	85.8	13.6	
N/A	254	Ingress	2019 MAR 06 00:23:52	2019 MAR 06 00:29:56	2019 MAR 06 00:28:34	364.0	15.8	-53.1	18.3	
N/A	255	Egress	2019 MAR 06 01:03:37	2019 MAR 06 01:09:19	2019 MAR 06 01:04:56	342.0	-63.4	85.8	13.7	
NOMAD	256	Ingress	2019 MAR 06 02:21:51	2019 MAR 06 02:27:55	2019 MAR 06 02:26:33	364.0	-13.0	-52.7	18.3	
NOMAD	257	Egress	2019 MAR 06 03:01:29	2019 MAR 06 03:07:13	2019 MAR 06 03:02:49	344.0	-91.2	85.8	13.8	
NOMAD	258	Ingress	2019 MAR 06 04:19:51	2019 MAR 06 04:25:56	2019 MAR 06 04:24:34	365.0	-41.8	-52.4	18.3	
NOMAD	259	Egress	2019 MAR 06 04:59:23	2019 MAR 06 05:05:08	2019 MAR 06 05:00:43	345.0	-118.6	85.7	13.9	
N/A	260	Ingress	2019 MAR 06 06:17:48	2019 MAR 06 06:23:55	2019 MAR 06 06:22:32	367.0	-70.5	-52.4	18.3	
ACS	261	Egress	2019 MAR 06 06:57:14	2019 MAR 06 07:03:01	2019 MAR 06 06:58:34	347.0	-144.4	85.6	14.1	
NOMAD	262	Ingress	2019 MAR 06 08:15:42	2019 MAR 06 08:21:51	2019 MAR 06 08:20:28	369.0	-99.3	-52.0	18.3	
NOMAD	263	Egress	2019 MAR 06 08:55:02	2019 MAR 06 09:00:51	2019 MAR 06 08:56:23	349.0	-169.8	85.5	14.3	
N/A	264	Ingress	2019 MAR 06 10:13:33	2019 MAR 06 10:19:45	2019 MAR 06 10:18:22	372.0	-128.0	-52.0	18.3	
ACS	265	Egress	2019 MAR 06 10:52:50	2019 MAR 06 10:58:41	2019 MAR 06 10:54:11	351.0	163.4	85.4	14.4	
N/A	266	Ingress	2019 MAR 06 12:11:26	2019 MAR 06 12:17:40	2019 MAR 06 12:16:16	374.0	-156.7	-51.9	18.3	
N/A	267	Egress	2019 MAR 06 12:50:38	2019 MAR 06 12:56:31	2019 MAR 06 12:51:59	353.0	135.9	85.4	14.5	
NOMAD	268	Ingress	2019 MAR 06 14:09:23	2019 MAR 06 14:15:37	2019 MAR 06 14:14:13	374.0	174.5	-51.4	18.3	
NOMAD	269	Egress	2019 MAR 06 14:48:27	2019 MAR 06 14:54:21	2019 MAR 06 14:49:49	354.0	108.9	85.3	14.6	
NOMAD	270	Ingress	2019 MAR 06 16:07:20	2019 MAR 06 16:13:36	2019 MAR 06 16:12:12	376.0	145.8	-51.4	18.3	
NOMAD	271	Egress	2019 MAR 06 16:46:18	2019 MAR 06 16:52:14	2019 MAR 06 16:47:41	356.0	81.9	85.2	14.7	
N/A	272	Ingress	2019 MAR 06 18:05:18	2019 MAR 06 18:11:36	2019 MAR 06 18:10:12	378.0	117.0	-51.1	18.3	
N/A	273	Egress	2019 MAR 06 18:44:10	2019 MAR 06 18:50:07	2019 MAR 06 18:45:33	357.0	54.9	85.1	14.8	
N/A	274	Ingress	2019 MAR 06 20:03:15	2019 MAR 06 20:09:35	2019 MAR 06 20:08:10	380.0	88.2	-50.8	18.3	
N/A	275	Egress	2019 MAR 06 20:42:02	2019 MAR 06 20:48:01	2019 MAR 06 20:43:24	359.0	27.6	85.0	14.9	
N/A	276	Ingress	2019 MAR 06 22:01:08	2019 MAR 06 22:07:31	2019 MAR 06 22:06:06	383.0	59.5	-50.8	18.3	
ACS	277	Egress	2019 MAR 06 22:39:50	2019 MAR 06 22:45:51	2019 MAR 06 22:41:13	361.0	0.8	84.9	15.0	
N/A	278	Ingress	2019 MAR 06 23:58:59	2019 MAR 07 00:05:24	2019 MAR 07 00:03:58	385.0	30.8	-50.6	18.3	
N/A	279	Egress	2019 MAR 07 00:37:35	2019 MAR 07 00:43:38	2019 MAR 07 00:38:58	363.0	-25.8	84.7	15.2	
N/A	280	Ingress	2019 MAR 07 01:56:54	2019 MAR 07 02:03:21	2019 MAR 07 02:01:55	387.0	1.9	-50.1	18.3	
N/A	281	Egress	2019 MAR 07 02:35:24	2019 MAR 07 02:41:28	2019 MAR 07 02:36:48	364.0	-53.5	84.6	15.2	
NOMAD	282	Ingress	2019 MAR 07 03:54:55	2019 MAR 07 04:01:22	2019 MAR 07 03:59:56	387.0	-26.8	-49.7	18.3	
NOMAD	283	Egress	2019 MAR 07 04:33:17	2019 MAR 07 04:39:24	2019 MAR 07 04:34:42	367.0	-81.3	84.6	15.3	
N/A	284	Ingress	2019 MAR 07 05:52:54	2019 MAR 07 05:59:24	2019 MAR 07 05:57:57	390.0	-55.6	-49.4	18.3	
ACS	285	Egress	2019 MAR 07 06:31:09	2019 MAR 07 06:37:18	2019 MAR 07 06:32:34	369.0	-108.5	84.4	15.4	
NOMAD	286	Ingress	2019 MAR 07 07:50:50	2019 MAR 07 07:57:23	2019 MAR 07 07:55:55	393.0	-84.3	-49.4	18.3	
NOMAD	287	Egress	2019 MAR 07 08:28:58	2019 MAR 07 08:35:10	2019 MAR 07 08:30:24	372.0	-135.2	84.2	15.5	
N/A	288	Ingress	2019 MAR 07 09:48:44	2019 MAR 07 09:55:19	2019 MAR 07 09:53:51	395.0	-113.0	-49.3	18.3	
ACS	289	Egress	2019 MAR 07 10:26:45	2019 MAR 07 10:32:59	2019 MAR 07 10:28:11	374.0	-162.1	84.0	15.6	
NOMAD	290	Ingress	2019 MAR 07 11:46:36	2019 MAR 07 11:53:14	2019 MAR 07 11:51:45	398.0	-141.7	-49.2	18.3	
NOMAD	291	Egress	2019 MAR 07 12:24:33	2019 MAR 07 12:30:49	2019 MAR 07 12:25:59	376.0	170.0	83.9	15.7	
N/A	292	Ingress	2019 MAR 07 13:44:32	2019 MAR 07 13:51:11	2019 MAR 07 13:49:42	399.0	-170.5	-48.7	18.3	
N/A	293	Egress	2019 MAR 07 14:22:22	2019 MAR 07 14:28:40	2019 MAR 07 14:23:49	378.0	142.0	83.8	15.7	
