MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2022 MAY 15 02:30:19,2022 MAY 15 02:35:19,6,6
2022 MAY 16 13:56:56,2022 MAY 16 14:01:56,24,24
2022 MAY 16 15:52:29,2022 MAY 16 15:57:29,25,25
2022 MAY 17 19:27:17,2022 MAY 17 19:32:17,39,39
2022 MAY 18 13:10:58,2022 MAY 18 13:15:58,48,48
2022 MAY 21 05:56:53,2022 MAY 21 06:01:53,81,81
2022 MAY 21 08:03:26,2022 MAY 21 08:08:26,82,82
2022 MAY 21 17:49:56,2022 MAY 21 17:54:56,87,87
2022 MAY 21 19:41:56,2022 MAY 21 19:46:56,88,88
2022 MAY 23 05:06:08,2022 MAY 23 05:10:28,105,105
2022 MAY 23 07:04:40,2022 MAY 23 07:09:40,106,106
2022 MAY 23 18:56:29,2022 MAY 23 19:01:29,112,112
2022 MAY 24 02:46:34,2022 MAY 24 02:51:34,116,116
2022 MAY 24 06:37:07,2022 MAY 24 06:42:07,118,118
2022 MAY 24 20:22:40,2022 MAY 24 20:27:40,125,125
2022 MAY 24 22:23:36,2022 MAY 24 22:28:36,126,126
2022 MAY 25 13:54:28,2022 MAY 25 13:59:28,134,134
2022 MAY 26 05:55:08,2022 MAY 26 06:00:08,142,142
2022 MAY 26 07:45:05,2022 MAY 26 07:50:05,143,143
2022 MAY 26 17:39:16,2022 MAY 26 17:44:16,148,148
2022 MAY 27 09:25:39,2022 MAY 27 09:30:39,156,156
2022 MAY 27 23:07:19,2022 MAY 27 23:12:19,163,163
2022 MAY 28 05:02:02,2022 MAY 28 05:07:02,166,166
2022 MAY 28 08:53:17,2022 MAY 28 08:58:17,168,168
2022 MAY 28 22:31:35,2022 MAY 28 22:36:35,175,175
2022 MAY 29 02:22:19,2022 MAY 29 02:27:19,177,177
2022 MAY 29 12:16:04,2022 MAY 29 12:21:04,182,182
2022 MAY 29 14:32:46,2022 MAY 29 14:37:46,183,183
2022 MAY 30 01:55:19,2022 MAY 30 02:00:19,189,189
2022 MAY 30 04:13:05,2022 MAY 30 04:18:05,190,190
2022 MAY 30 06:05:02,2022 MAY 30 06:10:02,191,191
2022 MAY 30 13:33:54,2022 MAY 30 13:38:54,195,195
2022 MAY 30 19:40:32,2022 MAY 30 19:45:32,198,198
2022 MAY 30 21:34:49,2022 MAY 30 21:39:49,199,199
2022 MAY 30 23:45:31,2022 MAY 30 23:50:31,200,200
2022 MAY 31 01:34:37,2022 MAY 31 01:39:37,201,201
2022 MAY 31 09:07:59,2022 MAY 31 09:12:59,205,205
2022 MAY 31 13:08:57,2022 MAY 31 13:13:57,207,207
2022 MAY 31 15:39:11,2022 MAY 31 15:44:11,208,208
2022 JUN 01 10:51:05,2022 JUN 01 10:56:05,218,218
2022 JUN 01 16:52:16,2022 JUN 01 16:57:16,221,221
2022 JUN 01 20:40:46,2022 JUN 01 20:45:46,223,223
2022 JUN 01 22:55:53,2022 JUN 01 23:00:53,224,224
2022 JUN 02 04:39:09,2022 JUN 02 04:44:09,227,227
2022 JUN 02 12:30:34,2022 JUN 02 12:35:34,231,231
2022 JUN 03 04:31:35,2022 JUN 03 04:35:13,239,239
2022 JUN 03 08:11:19,2022 JUN 03 08:16:19,241,241
2022 JUN 03 12:16:38,2022 JUN 03 12:21:38,243,243
2022 JUN 04 07:38:56,2022 JUN 04 07:43:56,253,253
2022 JUN 04 09:47:37,2022 JUN 04 09:52:37,254,254
2022 JUN 05 09:26:04,2022 JUN 05 09:31:04,266,266
2022 JUN 05 16:57:15,2022 JUN 05 17:02:15,270,270
2022 JUN 05 18:53:37,2022 JUN 05 18:58:37,271,271
2022 JUN 05 20:53:36,2022 JUN 05 20:58:36,272,272
2022 JUN 06 11:00:40,2022 JUN 06 11:05:40,279,279
2022 JUN 06 16:26:01,2022 JUN 06 16:31:01,282,282
2022 JUN 06 20:33:21,2022 JUN 06 20:38:21,284,284
2022 JUN 06 22:44:56,2022 JUN 06 22:49:56,285,285
2022 JUN 08 02:14:03,2022 JUN 08 02:19:03,299,299
2022 JUN 08 04:10:24,2022 JUN 08 04:11:57,300,300
2022 JUN 08 06:04:27,2022 JUN 08 06:09:27,301,301
2022 JUN 08 10:10:37,2022 JUN 08 10:15:37,303,303
2022 JUN 08 17:39:35,2022 JUN 08 17:44:35,307,307
2022 JUN 08 19:38:20,2022 JUN 08 19:43:20,308,308
2022 JUN 09 23:09:11,2022 JUN 09 23:14:11,322,322
2022 JUN 10 02:59:26,2022 JUN 10 03:04:26,324,324
2022 JUN 10 12:50:39,2022 JUN 10 12:55:39,329,329
2022 JUN 10 14:45:58,2022 JUN 10 14:50:58,330,330
