TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 JUN 12 20:24:00,3,3
2021 JUN 13 02:18:00,6,6
2021 JUN 13 20:00:00,15,15
2021 JUN 18 02:12:00,67,67
2021 JUN 18 08:06:00,70,70
2021 JUN 19 21:27:00,89,89
2021 JUN 20 03:21:00,92,92
2021 JUN 20 23:00:00,102,102
2021 JUN 21 16:42:00,111,111
2021 JUN 22 18:15:00,124,124
2021 JUN 23 00:09:00,127,127
2021 JUN 23 04:06:00,129,129
2021 JUN 24 13:30:00,146,146
2021 JUN 24 19:24:00,149,149
2021 JUN 24 23:21:00,151,151
2021 JUN 25 15:03:00,159,159
2021 JUN 25 20:57:00,162,162
2021 JUN 26 00:54:00,164,164
2021 JUN 26 06:48:00,167,167
2021 JUN 26 16:39:00,172,172
2021 JUN 27 08:21:00,180,180
2021 JUN 26 10:45:00,169,169
2021 JUN 27 14:15:00,183,183
2021 JUN 27 18:12:00,185,185
2021 JUN 28 00:06:00,188,188
2021 JUN 28 04:03:00,190,190
2021 JUN 29 01:39:00,201,201
2021 JUN 29 05:36:00,203,203
2021 JUN 29 11:30:00,206,206
2021 JUN 30 15:03:00,220,220
2021 JUN 30 19:00:00,222,222
2021 JUN 30 20:57:00,223,223
2021 JUL 01 00:54:00,225,225
2021 JUL 02 02:30:00,238,238
2021 JUL 02 04:27:00,239,239
2021 JUL 02 08:24:00,241,241
2021 JUL 02 12:21:00,243,243
2021 JUL 02 14:21:00,244,244
2021 JUL 03 14:00:00,256,256
2021 JUL 03 13:57:00,256,256
2021 JUL 03 15:54:00,257,257
2021 JUL 03 19:57:00,259,259
2021 JUL 03 19:54:00,259,259
2021 JUL 03 21:51:00,260,260
2021 JUL 03 23:48:00,261,261
2021 JUL 05 01:30:00,274,274
2021 JUL 05 03:24:00,275,275
2021 JUL 05 05:21:00,276,276
2021 JUL 05 07:27:00,277,277
2021 JUL 05 09:21:00,278,278
2021 JUL 06 09:00:00,290,290
2021 JUL 06 08:57:00,290,290
2021 JUL 06 10:54:00,291,291
2021 JUL 06 13:00:00,292,292
2021 JUL 06 14:54:00,293,293
2021 JUL 06 14:51:00,293,293
2021 JUL 06 16:48:00,294,294
2021 JUL 06 18:54:00,295,295
2021 JUL 07 20:24:00,308,308
2021 JUL 08 02:24:00,311,311
2021 JUL 08 02:21:00,311,311
2021 JUL 08 03:24:00,312,312
2021 JUL 09 10:51:00,328,328
2021 JUL 09 16:45:00,331,331
2021 JUL 09 22:42:00,334,334
2021 JUL 10 08:48:00,339,339
2021 JUL 10 08:39:00,339,339
