NOM_02, OCCIN, 149, 215
NOM_03, OCCEG, 61, 65, 68, 74, 77, 81, 92, 94, 100, 102, 103, 121, 131, 142, 144, 162, 166, 169, 171, 186, 187, 216, 218, 224
NOM_03, OCCIN, 57, 61, 68, 74, 81, 94, 96, 98, 105, 107, 109, 115, 121, 124, 131, 133, 139, 144, 154, 155, 157, 162, 164, 168, 171, 173, 175, 198, 200, 204, 206, 216, 221
NOM_03, OCCME, 3, 5, 7, 50, 52, 56
CO_001, OCCEG, 57, 66, 109, 206
CO_001, OCCIN, 111, 210
CO_002, OCCEG, 76, 98, 105, 115, 119, 127, 175, 184, 200, 223
CO_002, OCCIN, 77, 89, 117, 119, 182
CO2_01, OCCEG, 96, 113, 129, 148, 154, 160, 215
CO2_01, OCCIN, 70, 100, 160, 187, 212
CO2_02, OCCEG, 79, 87, 89, 107, 111, 125, 136, 164, 189, 194, 203, 221
CO2_02, OCCIN, 79, 83, 84, 87, 91, 92, 102, 138, 142, 148, 151, 169, 176, 178, 186, 194, 218, 223, 224
HCL_01, OCCEG, 63, 91, 138, 149, 151, 155, 191
HCL_01, OCCIN, 63, 66, 76, 129, 166, 191
FUL_01, OCCEG, 176, 180, 198, 210, 212
FUL_01, OCCIN, 65, 113, 189
