TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 SEP 04 19:00:00,14,14
2022 SEP 05 11:45:00,23,23
2022 SEP 06 02:27:00,30,30
2022 SEP 05 05:51:00,20,20
2022 SEP 06 19:12:00,39,39
2022 SEP 07 19:45:00,51,51
2022 SEP 08 04:36:00,56,56
2022 SEP 10 19:30:00,88,88
2022 SEP 15 13:30:00,146,146
2022 SEP 16 13:06:00,158,158
2022 SEP 17 20:33:00,174,174
2022 SEP 19 05:57:00,191,191
2022 SEP 20 13:24:00,207,207
2022 SEP 21 13:00:00,219,219
2022 SEP 24 05:51:00,252,252
2022 SEP 24 11:45:00,255,255
2022 SEP 28 17:57:00,307,307
