MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2022 SEP 03 09:33:00,61.7945,-121.8677,307.7389,14.1911,88.2989,3.4403e-14,88.2989,2022 SEP 03 09:36:00,60.555,-122.0848,428.5274,14.2253,87.3604,10.5688,97.9264
2022 SEP 03 11:24:00,58.0384,-148.0696,306.7017,14.2442,85.2759,2.0365e-14,85.2759,2022 SEP 03 11:33:00,59.161,-152.2918,428.3447,14.1086,85.7154,0.14455,85.6053
2022 SEP 04 19:12:00,58.4355,107.6373,307.4413,14.2308,85.3977,6.5569e-14,85.3977,2022 SEP 04 19:00:00,60.3864,105.762,426.4143,13.9111,85.9404,0.15497,85.8302
2022 SEP 05 11:09:00,-67.7432,52.4466,251.1803,2.0697,87.1947,3.8595e-14,87.1947,2022 SEP 05 11:45:00,-67.0409,49.5344,380.4103,2.4594,86.6391,0.36244,86.9874
2022 SEP 06 03:00:00,59.5417,3.2851,308.2033,14.2136,86.1091,2.7152e-14,86.1091,2022 SEP 06 02:27:00,61.5305,4.2724,428.2115,13.7442,86.2847,0.16352,86.1763
2022 SEP 06 05:51:00,-67.0122,139.9092,254.0836,2.0947,87.8625,3.1964e-14,87.8625,2022 SEP 05 05:51:00,-66.6122,135.3394,378.634,2.4394,87.0264,5.4734,92.4765
2022 SEP 06 18:57:00,-68.5865,-51.8898,252.2028,2.0539,86.6752,3.1163e-14,86.6752,2022 SEP 06 19:12:00,-68.0846,-51.618,379.6396,2.3153,86.3852,0.36277,86.7304
2022 SEP 06 19:51:00,62.6837,116.5612,309.4571,14.1594,88.5208,2.4482e-14,88.5208,2022 SEP 07 19:45:00,65.1909,121.1237,429.038,13.7172,89.3044,14.4519,103.3973
2022 SEP 08 04:36:00,-66.268,177.6579,253.8905,2.0969,88.7598,8.8627e-14,88.7598,2022 SEP 08 04:36:00,-67.0582,174.5888,380.3639,1.8922,88.6239,0.38713,88.9894
2022 SEP 10 20:12:00,-68.2975,-31.3805,251.4802,2.0419,87.5105,2.7727e-14,87.5105,2022 SEP 10 19:30:00,-69.2925,-26.459,380.2919,1.6889,87.4498,0.38157,87.8025
2022 SEP 15 14:18:00,-72.1808,101.1323,250.8204,1.8942,85.1316,1.0191e-14,85.1316,2022 SEP 15 13:30:00,-72.3703,105.325,379.0436,1.3953,85.8373,0.3716,86.1678
2022 SEP 16 12:45:00,-73.7066,132.7102,253.2998,1.8433,84.0165,8.5639e-15,84.0165,2022 SEP 16 13:06:00,-74.1898,127.9448,378.7443,1.8661,83.5478,0.34359,83.8534
2022 SEP 17 20:33:00,-75.6271,26.9229,252.7196,1.7328,82.6862,1.4597e-14,82.6862,2022 SEP 17 20:33:00,-74.6597,29.5201,380.0646,1.9058,83.2634,0.33937,83.5639
2022 SEP 19 06:12:00,-73.3166,-102.9421,251.9715,1.8172,84.8361,6.7937e-15,84.8361,2022 SEP 19 05:57:00,-74.206,-106.0932,380.6,1.3639,84.7394,0.36038,85.0532
2022 SEP 20 14:00:00,-75.058,152.1831,253.6341,1.7678,83.5739,2.1112e-14,83.5739,2022 SEP 20 13:24:00,-74.8041,155.1325,378.0515,1.3806,84.368,0.35563,84.6758
2022 SEP 21 12:27:00,-76.8105,-176.9621,252.4346,1.6694,82.2916,2.4348e-14,82.2916,2022 SEP 21 13:00:00,-75.7144,-179.3754,378.5613,2.0439,82.6813,0.32825,82.9695
2022 SEP 24 05:54:00,-76.341,-52.1439,252.1397,1.6767,83.1562,5.0289e-15,83.1562,2022 SEP 24 05:51:00,-75.7705,-52.6765,378.3942,1.5925,83.7932,0.34251,84.0886
2022 SEP 24 11:30:00,-74.7404,-132.9841,250.6082,1.7364,84.5487,5.7338e-15,84.5487,2022 SEP 24 11:45:00,-75.807,-136.9201,380.3689,1.7172,83.6199,0.33841,83.9131
2022 SEP 28 18:21:00,-74.536,166.0648,253.8406,1.7531,85.4354,1.3138e-14,85.4354,2022 SEP 28 17:57:00,-75.8748,169.5359,378.2274,1.5953,84.4625,0.34158,84.7567
