MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2022 DEC 24 21:27:04,2022 DEC 24 21:32:04,3,3
2022 DEC 25 01:13:11,2022 DEC 25 01:18:11,5,5
2022 DEC 25 10:59:35,2022 DEC 25 11:04:35,10,10
2022 DEC 25 19:04:27,2022 DEC 25 19:09:27,14,14
2022 DEC 27 18:11:46,2022 DEC 27 18:14:36,38,38
2022 DEC 27 22:03:54,2022 DEC 27 22:08:54,40,40
2022 DEC 27 23:59:30,2022 DEC 28 00:04:30,41,41
2022 DEC 28 09:56:15,2022 DEC 28 10:01:15,46,46
2022 DEC 28 15:50:06,2022 DEC 28 15:55:06,49,49
2022 DEC 29 01:37:15,2022 DEC 29 01:42:15,54,54
2022 DEC 29 05:27:47,2022 DEC 29 05:32:47,56,56
2022 DEC 29 07:31:12,2022 DEC 29 07:36:12,57,57
2022 DEC 29 11:19:30,2022 DEC 29 11:23:27,59,59
2022 DEC 29 19:15:32,2022 DEC 29 19:20:32,63,63
2022 DEC 29 23:05:59,2022 DEC 29 23:10:59,65,65
2022 DEC 30 03:11:46,2022 DEC 30 03:15:56,67,67
2022 DEC 30 06:52:06,2022 DEC 30 06:57:06,69,69
2022 DEC 31 10:35:50,2022 DEC 31 10:40:50,83,83
2023 JAN 01 04:09:23,2023 JAN 01 04:14:23,92,92
2023 JAN 02 05:44:41,2023 JAN 02 05:49:41,105,105
2023 JAN 03 11:09:39,2023 JAN 03 11:14:39,120,120
2023 JAN 03 17:02:51,2023 JAN 03 17:07:51,123,123
2023 JAN 04 08:38:05,2023 JAN 04 08:43:05,131,131
2023 JAN 04 10:44:09,2023 JAN 04 10:49:09,132,132
2023 JAN 04 20:28:00,2023 JAN 04 20:29:30,137,137
2023 JAN 05 10:16:46,2023 JAN 05 10:21:46,144,144
2023 JAN 05 14:12:24,2023 JAN 05 14:14:43,146,146
2023 JAN 05 18:13:10,2023 JAN 05 18:18:10,148,148
2023 JAN 06 05:50:43,2023 JAN 06 05:55:43,154,154
2023 JAN 06 07:59:06,2023 JAN 06 07:59:25,155,155
2023 JAN 06 15:48:46,2023 JAN 06 15:53:46,159,159
2023 JAN 06 23:45:24,2023 JAN 06 23:50:24,163,163
2023 JAN 07 17:18:36,2023 JAN 07 17:23:36,172,172
2023 JAN 08 09:02:03,2023 JAN 08 09:07:03,180,180
2023 JAN 08 13:04:37,2023 JAN 08 13:09:37,182,182
2023 JAN 08 20:56:06,2023 JAN 08 21:01:06,186,186
2023 JAN 09 06:47:42,2023 JAN 09 06:52:09,191,191
2023 JAN 09 22:27:08,2023 JAN 09 22:32:08,199,199
2023 JAN 10 02:10:44,2023 JAN 10 02:15:44,201,201
2023 JAN 11 05:45:41,2023 JAN 11 05:50:41,215,215
2023 JAN 11 23:18:32,2023 JAN 11 23:23:32,224,224
2023 JAN 12 03:20:26,2023 JAN 12 03:25:26,226,226
2023 JAN 12 13:14:29,2023 JAN 12 13:17:25,231,231
2023 JAN 12 15:15:37,2023 JAN 12 15:20:37,232,232
2023 JAN 12 17:06:14,2023 JAN 12 17:11:14,233,233
2023 JAN 13 06:49:54,2023 JAN 13 06:54:54,240,240
2023 JAN 13 08:48:44,2023 JAN 13 08:53:44,241,241
2023 JAN 13 10:59:00,2023 JAN 13 11:04:00,242,242
2023 JAN 13 20:35:47,2023 JAN 13 20:40:47,247,247
2023 JAN 13 22:42:32,2023 JAN 13 22:47:32,248,248
2023 JAN 14 22:30:27,2023 JAN 14 22:35:27,260,260
2023 JAN 15 08:19:21,2023 JAN 15 08:24:21,265,265
2023 JAN 15 22:06:56,2023 JAN 15 22:11:56,272,272
2023 JAN 16 00:07:06,2023 JAN 16 00:11:46,273,273
2023 JAN 16 09:53:15,2023 JAN 16 09:58:15,278,278
2023 JAN 16 19:44:46,2023 JAN 16 19:46:07,283,283
2023 JAN 16 21:41:08,2023 JAN 16 21:45:36,284,284
2023 JAN 16 23:36:14,2023 JAN 16 23:41:14,285,285
2023 JAN 17 11:25:16,2023 JAN 17 11:28:26,291,291
2023 JAN 18 05:02:14,2023 JAN 18 05:07:14,300,300
2023 JAN 18 09:06:06,2023 JAN 18 09:11:06,302,302
2023 JAN 18 11:05:09,2023 JAN 18 11:10:09,303,303
2023 JAN 18 18:52:24,2023 JAN 18 18:52:28,307,307
2023 JAN 18 20:52:30,2023 JAN 18 20:54:58,308,308
2023 JAN 19 02:47:49,2023 JAN 19 02:48:06,311,311
2023 JAN 19 06:31:25,2023 JAN 19 06:36:25,313,313
2023 JAN 19 16:33:24,2023 JAN 19 16:38:24,318,318
2023 JAN 19 18:31:42,2023 JAN 19 18:36:42,319,319
2023 JAN 20 02:21:04,2023 JAN 20 02:26:04,323,323
2023 JAN 20 11:55:14,2023 JAN 20 12:00:14,328,328
2023 JAN 21 03:50:09,2023 JAN 21 03:55:09,336,336
