Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2020 JUL 11 15:39:32	2020 JUL 11 15:43:02	2020 JUL 11 15:43:47	255.00	151.19	161.12	162.99	62.77	57.78	56.52	15.49	3	-	-	-		
N/A	1	Egress	2020 JUL 11 16:20:25	2020 JUL 11 16:21:12	2020 JUL 11 16:25:01	276.00	-121.69	-118.72	-102.35	-62.82	-63.88	-67.59	21.45	3	-	-	-		
NOMAD	2	Ingress	2020 JUL 11 17:37:27	2020 JUL 11 17:40:58	2020 JUL 11 17:41:43	256.00	122.65	132.64	134.51	62.70	57.64	56.37	15.50	1	6SUBD Nominal #3	Science: orders #167, #136, #169, #121, #190, #192, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	2	Egress	2020 JUL 11 18:18:16	2020 JUL 11 18:19:03	2020 JUL 11 18:22:53	277.00	-150.79	-147.84	-131.43	-62.65	-63.72	-67.52	21.42	1	HDO 01	Science: orders #168, #134, #124, #129, #190, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	3	Ingress	2020 JUL 11 19:35:24	2020 JUL 11 19:38:56	2020 JUL 11 19:39:41	257.00	94.17	104.20	106.06	62.61	57.47	56.19	15.52	3	-	-	-	&daysideMatch:MERIDIANI SULPHATES; 	
ACS	3	Egress	2020 JUL 11 20:16:08	2020 JUL 11 20:16:55	2020 JUL 11 20:20:45	277.00	180.00	-177.07	-160.74	-62.43	-63.52	-67.41	21.38	3	-	-	-	&daysideMatch:MERIDIANI SULPHATES; 	
NOMAD	4	Ingress	2020 JUL 11 21:33:23	2020 JUL 11 21:36:55	2020 JUL 11 21:37:41	258.00	65.57	75.63	77.54	62.56	57.38	56.06	15.53	1	6SUBD CO H2O #2	Science: orders #136, #169, #186, #187, #189, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	4	Egress	2020 JUL 11 22:14:02	2020 JUL 11 22:14:50	2020 JUL 11 22:18:41	279.00	150.79	153.76	170.11	-62.21	-63.34	-67.33	21.35	1	6SUBD Nom CO #3	Science: orders #136, #169, #186, #187, #189, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	5	Ingress	2020 JUL 11 23:31:22	2020 JUL 11 23:34:55	2020 JUL 11 23:35:41	259.00	36.89	47.04	48.95	62.53	57.30	55.96	15.53	14	-	-	-		
N/A	5	Egress	2020 JUL 12 00:11:56	2020 JUL 12 00:12:44	2020 JUL 12 00:16:37	281.00	121.63	124.57	141.01	-62.01	-63.16	-67.26	21.32	14	-	-	-		
ACS	6	Ingress	2020 JUL 12 01:29:18	2020 JUL 12 01:32:52	2020 JUL 12 01:33:38	260.00	8.15	18.40	20.32	62.54	57.25	55.91	15.54	14	-	-	-		
ACS	6	Egress	2020 JUL 12 02:09:49	2020 JUL 12 02:10:37	2020 JUL 12 02:14:31	282.00	92.48	95.40	111.84	-61.80	-62.97	-67.17	21.28	14	-	-	-		
NOMAD	7	Ingress	2020 JUL 12 03:27:11	2020 JUL 12 03:30:46	2020 JUL 12 03:31:32	261.00	-20.60	-10.24	-8.31	62.55	57.21	55.86	15.54	1	6SUBD CO2 CO #1	Science: orders #119, #149, #164, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7	&daysideMatch:OLYMPICA FOSSAE-JOVIS THOLUS; 	
NOMAD	7	Egress	2020 JUL 12 04:07:38	2020 JUL 12 04:08:27	2020 JUL 12 04:12:22	284.00	63.32	66.28	82.72	-61.58	-62.79	-67.08	21.25	1	6SUBD Nominal #3	Science: orders #167, #136, #169, #121, #190, #192, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7	&daysideMatch:OLYMPICA FOSSAE-JOVIS THOLUS; 	
NOMAD	8	Ingress	2020 JUL 12 05:25:03	2020 JUL 12 05:28:39	2020 JUL 12 05:29:26	263.00	-49.25	-38.81	-36.83	62.53	57.13	55.74	15.55	1	6SUBD CO2 #1	Science: orders #156, #116, #118, #140, #154, #158, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	8	Egress	2020 JUL 12 06:05:26	2020 JUL 12 06:06:15	2020 JUL 12 06:10:10	284.00	34.20	37.14	53.50	-61.37	-62.60	-66.97	21.22	1	6SUBD Nom CO2 #2	Science: orders #121, #149, #164, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	9	Ingress	2020 JUL 12 07:23:01	2020 JUL 12 07:26:38	2020 JUL 12 07:27:25	264.00	-77.67	-67.21	-65.24	62.41	56.93	55.53	15.57	14	-	-	-		
ACS	9	Egress	2020 JUL 12 08:03:19	2020 JUL 12 08:04:08	2020 JUL 12 08:08:04	285.00	5.08	8.00	24.38	-61.17	-62.41	-66.89	21.19	14	-	-	-		
NOMAD	10	Ingress	2020 JUL 12 09:21:01	2020 JUL 12 09:24:39	2020 JUL 12 09:25:26	265.00	-106.16	-95.66	-93.71	62.32	56.76	55.34	15.58	1	129 only #2	Science: orders #129, #129, #129, #129, #129, #129, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	10	Egress	2020 JUL 12 10:01:13	2020 JUL 12 10:02:02	2020 JUL 12 10:06:00	287.00	-24.10	-21.20	-4.76	-60.94	-62.20	-66.80	21.15	1	127 only #2	Science: orders #127, #127, #127, #127, #127, #127, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	11	Ingress	2020 JUL 12 11:19:00	2020 JUL 12 11:22:39	2020 JUL 12 11:23:26	266.00	-134.79	-124.22	-122.26	62.28	56.65	55.23	15.59	14	-	-	-		
ACS	11	Egress	2020 JUL 12 11:59:07	2020 JUL 12 11:59:56	2020 JUL 12 12:03:55	288.00	-53.35	-50.49	-34.12	-60.66	-61.94	-66.67	21.11	14	-	-	-		
NOMAD	12	Ingress	2020 JUL 12 13:16:55	2020 JUL 12 13:20:35	2020 JUL 12 13:21:23	268.00	-163.60	-152.91	-150.90	62.31	56.64	55.18	15.59	1	6SUBD CO2 #10	Science: orders #156, #116, #118, #169, #154, #158, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	12	Egress	2020 JUL 12 13:56:58	2020 JUL 12 13:57:48	2020 JUL 12 14:01:48	290.00	-82.58	-79.69	-63.37	-60.39	-61.72	-66.55	21.08	1	BgSubTest 04	Science: orders #168, #136, #189, #119, #166, #148, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	13	Ingress	2020 JUL 12 15:14:47	2020 JUL 12 15:18:29	2020 JUL 12 15:19:17	270.00	167.59	178.44	-179.54	62.35	56.60	55.13	15.60	3	-	-	-	&daysideMatch:NILI FOSSAE; 	
ACS	13	Egress	2020 JUL 12 15:54:48	2020 JUL 12 15:55:38	2020 JUL 12 15:59:40	292.00	-111.68	-108.81	-92.43	-60.17	-61.51	-66.46	21.05	3	-	-	-	&daysideMatch:NILI FOSSAE; 	
NOMAD	14	Ingress	2020 JUL 12 17:12:41	2020 JUL 12 17:16:24	2020 JUL 12 17:17:12	271.00	138.99	149.91	151.93	62.30	56.49	55.01	15.61	1	Nominal Science 1xCO2 LA06	Science: orders #190, #169, #148, #134, #121, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
