Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2020 JUL 11 15:32:11	2020 JUL 11 16:01:43	2020 JUL 11 16:31:15	3544.00	122.59	-113.92	-71.87	68.80	15.00	-68.79	143.35	21.46	3	-	-	-		
1	Dayside	2020 JUL 11 16:31:15	2020 JUL 11 17:00:39	2020 JUL 11 17:30:03	3527.79	-71.87	52.04	93.72	-68.79	-13.52	68.80	36.78	9.48	3	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0		
2	Nightside	2020 JUL 11 17:30:03	2020 JUL 11 17:59:36	2020 JUL 11 18:29:09	3546.13	93.72	-142.86	-100.62	68.80	14.97	-68.79	143.09	21.44	1	-	-	-		
2	Dayside	2020 JUL 11 18:29:09	2020 JUL 11 18:58:34	2020 JUL 11 19:27:59	3529.79	-100.62	23.09	65.00	-68.79	-13.48	68.78	37.05	9.46	1	-		COP row -1: UVIS off		
3	Nightside	2020 JUL 11 19:27:59	2020 JUL 11 19:57:32	2020 JUL 11 20:27:05	3546.45	65.00	-171.83	-129.48	68.78	14.90	-68.79	142.81	21.42	3	-	-	-		
3	Dayside	2020 JUL 11 20:27:05	2020 JUL 11 20:56:31	2020 JUL 11 21:25:57	3531.20	-129.48	-5.89	36.13	-68.79	-13.49	68.78	37.32	9.44	3	CH4 CO 2SUBD 01	Science: orders #136, #190, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0	&daysideMatch:MERIDIANI SULPHATES; 	
4	Nightside	2020 JUL 11 21:25:57	2020 JUL 11 21:55:29	2020 JUL 11 22:25:02	3545.36	36.13	159.20	-158.45	68.78	14.86	-68.79	142.53	21.40	1	-	-	-		
4	Dayside	2020 JUL 11 22:25:02	2020 JUL 11 22:54:28	2020 JUL 11 23:23:53	3531.35	-158.45	-34.87	7.10	-68.79	-13.48	68.79	37.59	9.42	1	-		COP row 79: NADIR: Full Frame (57:240;0:1047),Tint = 20000 ms,16 bit,Rhythm = 21964 ms, Binning=0		
5	Nightside	2020 JUL 11 23:23:53	2020 JUL 11 23:53:25	2020 JUL 12 00:22:57	3544.04	7.10	130.22	172.51	68.79	14.90	-68.80	142.26	21.38	14	-	-	-		
5	Dayside	2020 JUL 12 00:22:57	2020 JUL 12 00:52:22	2020 JUL 12 01:21:47	3530.18	172.51	-63.83	-22.03	-68.80	-13.48	68.81	37.86	9.40	14	-		COP row -1: UVIS off		
6	Nightside	2020 JUL 12 01:21:47	2020 JUL 12 01:51:19	2020 JUL 12 02:20:51	3543.24	-22.03	101.27	143.45	68.81	14.96	-68.81	142.02	21.36	14	-	-	-		
6	Dayside	2020 JUL 12 02:20:51	2020 JUL 12 02:50:15	2020 JUL 12 03:19:39	3528.71	143.45	-92.76	-51.09	-68.81	-13.49	68.82	38.10	9.38	14	-		COP row 72: NADIR: Full Frame (57:240;0:1047),Tint = 10000 ms,16 bit,Rhythm = 11964 ms, Binning=0		
7	Nightside	2020 JUL 12 03:19:39	2020 JUL 12 03:49:11	2020 JUL 12 04:18:42	3542.48	-51.09	72.35	114.43	68.82	14.99	-68.82	141.79	21.34	1	-	-	-		
7	Dayside	2020 JUL 12 04:18:42	2020 JUL 12 04:48:07	2020 JUL 12 05:17:31	3529.46	114.43	-121.69	-79.94	-68.82	-13.51	68.81	38.33	9.37	1	CH4 H2O 2SUBD 02	Science: orders #136, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0	&daysideMatch:OLYMPICA FOSSAE-JOVIS THOLUS; 	
8	Nightside	2020 JUL 12 05:17:31	2020 JUL 12 05:47:03	2020 JUL 12 06:16:34	3542.73	-79.94	43.42	85.62	68.81	14.93	-68.81	141.54	21.33	1	-	-	-		
8	Dayside	2020 JUL 12 06:16:34	2020 JUL 12 06:46:00	2020 JUL 12 07:15:26	3531.99	85.62	-150.63	-108.70	-68.81	-13.48	68.80	38.60	9.35	1	-		COP row -1: UVIS off		
9	Nightside	2020 JUL 12 07:15:26	2020 JUL 12 07:44:58	2020 JUL 12 08:14:31	3544.54	-108.70	14.45	56.86	68.80	14.89	-68.80	141.25	21.31	14	-	-	-		
9	Dayside	2020 JUL 12 08:14:31	2020 JUL 12 08:43:57	2020 JUL 12 09:13:22	3531.79	56.86	-179.61	-137.58	-68.80	-13.43	68.80	38.89	9.33	14	-		COP row -1: UVIS off		
10	Nightside	2020 JUL 12 09:13:22	2020 JUL 12 09:42:56	2020 JUL 12 10:12:29	3546.41	-137.58	-14.53	27.96	68.80	14.88	-68.80	140.98	21.29	1	-	-	-		
10	Dayside	2020 JUL 12 10:12:29	2020 JUL 12 10:41:54	2020 JUL 12 11:11:19	3530.09	27.96	151.41	-166.56	-68.80	-13.42	68.81	39.16	9.31	1	-		COP row -1: UVIS off		
11	Nightside	2020 JUL 12 11:11:19	2020 JUL 12 11:40:52	2020 JUL 12 12:10:26	3546.91	-166.56	-43.50	-1.13	68.81	14.88	-68.81	140.72	21.27	14	-	-	-		
11	Dayside	2020 JUL 12 12:10:26	2020 JUL 12 12:39:50	2020 JUL 12 13:09:14	3528.35	-1.13	122.44	164.37	-68.81	-13.47	68.81	39.41	9.29	14	-		COP row -1: UVIS off		
12	Nightside	2020 JUL 12 13:09:14	2020 JUL 12 13:38:47	2020 JUL 12 14:08:20	3545.58	164.37	-72.45	-30.27	68.81	14.90	-68.82	140.47	21.25	1	-	-	-		
12	Dayside	2020 JUL 12 14:08:20	2020 JUL 12 14:37:43	2020 JUL 12 15:07:07	3527.34	-30.27	93.49	135.27	-68.82	-13.52	68.82	39.65	9.27	1	-		COP row -1: UVIS off		
13	Nightside	2020 JUL 12 15:07:07	2020 JUL 12 15:36:39	2020 JUL 12 16:06:11	3543.84	135.27	-101.38	-59.30	68.82	14.94	-68.82	140.23	21.23	3	-	-	-		
13	Dayside	2020 JUL 12 16:06:11	2020 JUL 12 16:35:35	2020 JUL 12 17:04:58	3527.30	-59.30	64.58	106.28	-68.82	-13.51	68.82	39.89	9.25	3	Surface 3SUBD 02	Science: orders #191, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 64: NADIR: Full Frame (57:240;0:1047),Tint = 5000 ms,16 bit,Rhythm = 8427 ms, Binning=0	&daysideMatch:NILI FOSSAE; 	
14	Nightside	2020 JUL 12 17:04:58	2020 JUL 12 17:34:31	2020 JUL 12 18:04:03	3544.97	106.28	-130.31	-88.09	68.82	14.96	-68.82	139.98	21.22	1	-	-	-		
14	Dayside	2020 JUL 12 18:04:03	2020 JUL 12 18:33:28	2020 JUL 12 19:02:52	3528.68	-88.09	35.64	77.52	-68.82	-13.45	68.81	40.16	9.24	1	-		COP row -1: UVIS off		
