TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,LNO_OBSERVING (1=YES;0=NO),OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
1,1,3222,3222,0,2,ingress,2024 AUG 03 17:18:17,SO ON
1,1,3152,3152,0,4,ingress,2024 AUG 03 21:14:13,SO ON
1,1,3221,3221,0,6,ingress,2024 AUG 04 01:10:11,SO ON
1,1,3221,3221,0,7,ingress,2024 AUG 04 03:08:06,SO ON
1,1,761,761,0,9,ingress,2024 AUG 04 07:03:57,SO ON
1,1,3244,3244,0,11,ingress,2024 AUG 04 10:59:54,SO ON
1,1,37,37,0,13,ingress,2024 AUG 04 14:55:46,SO ON
1,1,3228,3228,0,16,ingress,2024 AUG 04 20:49:36,SO ON
1,1,905,905,0,18,ingress,2024 AUG 05 00:45:34,SO ON
1,1,3179,3179,0,20,ingress,2024 AUG 05 04:41:23,SO ON
1,1,3209,3209,0,21,ingress,2024 AUG 05 06:39:18,SO ON
1,1,3176,3176,0,24,ingress,2024 AUG 05 12:33:14,SO ON
1,1,3214,3214,0,27,ingress,2024 AUG 05 18:27:00,SO ON
1,1,3206,3206,0,28,ingress,2024 AUG 05 20:24:57,SO ON
1,1,773,773,0,30,ingress,2024 AUG 06 00:20:56,SO ON
1,1,755,755,0,33,ingress,2024 AUG 06 06:14:40,SO ON
1,1,3152,3152,0,34,ingress,2024 AUG 06 08:12:38,SO ON
1,1,3218,3218,0,38,ingress,2024 AUG 06 16:04:25,SO ON
1,1,3220,3220,0,40,ingress,2024 AUG 06 20:00:16,SO ON
1,1,3185,3185,0,42,ingress,2024 AUG 06 23:56:14,SO ON
1,1,3210,3210,0,44,ingress,2024 AUG 07 03:52:07,SO ON
1,1,53,53,0,46,ingress,2024 AUG 07 07:47:55,SO ON
1,1,3244,3244,0,48,ingress,2024 AUG 07 11:43:53,SO ON
1,1,749,749,0,51,ingress,2024 AUG 07 17:37:40,SO ON
1,1,3185,3185,0,52,ingress,2024 AUG 07 19:35:35,SO ON
1,1,3210,3210,0,54,ingress,2024 AUG 07 23:31:31,SO ON
1,1,3241,3241,0,57,ingress,2024 AUG 08 05:25:19,SO ON
1,1,3239,3239,0,58,ingress,2024 AUG 08 07:23:14,SO ON
1,1,3238,3238,0,60,ingress,2024 AUG 08 11:19:10,SO ON
1,1,1397,1397,0,63,ingress,2024 AUG 08 17:12:57,SO ON
