UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 MAY 16 23:22:04, 36.0, 14.3, #136 #189
2021 MAY 19 00:29:41, 30.4, 13.8, #167 #169
2021 MAY 22 01:11:53, 23.3, 13.2, #136 #189
2021 MAY 24 02:20:02, 18.4, 12.8, #136 #168
2021 MAY 26 03:27:46, 15.5, 12.3, #167 #169
2021 MAY 29 04:08:42, 20.8, 11.6, #136 #189
2021 MAY 31 05:18:03, 18.7, 11.3, #136 #168
2021 JUN 02 06:25:31, 23.7, 10.8, #167 #169
2021 JUN 07 08:16:08, 36.2, 9.8, #136 #189
2021 JUN 09 09:23:33, 42.6, 9.3, #136 #168
2021 JUN 11 10:32:12, 46.7, 8.9, #168 #189
