UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2021 MAY 16 23:19:34, 38.0, 14.1, #136 #189
2021 MAY 20 00:01:46, 31.5, 13.5, #164 #164
2021 MAY 22 01:09:23, 27.8, 13.0, #136 #189
2021 MAY 24 02:17:02, 25.1, 12.6, #136 #168
2021 MAY 27 02:58:55, 26.0, 11.9, #136 #168
2021 MAY 29 04:07:12, 25.4, 11.5, #136 #189
2021 MAY 31 05:15:03, 27.6, 11.1, #136 #168
2021 JUN 05 07:05:24, 38.0, 10.0, #136 #136
2021 JUN 07 08:12:38, 44.3, 9.6, #136 #189
2021 JUN 09 09:21:33, 46.9, 9.2, #136 #168
2021 JUN 12 10:03:20, 57.1, 8.5, #134 #168
