MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2023 JUN 11 06:27:00,57.5594,111.6047,306.7433,15.1069,46.9444,4.5981e-14,46.9444,2023 JUN 11 06:15:00,59.0161,112.465,426.9601,14.9697,46.6402,0.025252,46.6481
2023 JUN 14 09:09:00,38.3469,103.1641,292.5605,15.2553,43.3517,5.1506e-14,43.3517,2023 JUN 14 09:03:00,37.9746,104.5611,414.172,15.2511,43.2766,0.1574,43.4049
2023 JUN 15 22:27:00,18.9514,-80.159,278.9714,15.3406,46.5673,1.8271e-14,46.5673,2023 JUN 15 22:30:00,18.191,-80.5762,402.0013,15.3614,47.0695,2.6647,49.3403
2023 JUN 18 17:36:00,-13.8337,21.1528,261.2404,15.4564,63.6826,2.8625e-14,63.6826,2023 JUN 18 17:30:00,-14.9324,21.7542,384.5305,15.3992,63.702,0.37135,63.7453
2023 JUN 20 05:00:00,-39.0476,-134.1076,253.6408,15.5628,81.2557,3.2435e-14,81.2557,2023 JUN 20 05:00:00,-37.5922,-133.6691,380.5506,15.5919,80.5289,0.48071,80.5673
2023 JUN 20 06:54:00,-33.2499,-162.3226,254.7367,15.5311,77.0648,6.6716e-14,77.0648,2023 JUN 20 06:57:00,-34.8927,-163.4223,381.9861,15.5067,77.9478,0.47481,77.8805
2023 JUN 23 02:09:00,-47.8115,-62.8409,252.0421,15.6219,87.7341,2.3801e-14,87.7341,2023 JUN 23 01:51:00,-49.7237,-61.4493,380.4333,15.4228,87.6359,0.47968,87.5483
2023 JUN 23 10:30:00,61.2496,-2.8865,310.2164,3.7467,82.5603,9.7465e-15,82.5603,2023 JUN 23 10:45:00,59.9927,-3.7954,427.8237,3.9294,82.3243,0.57233,82.655
2023 JUN 26 11:24:00,66.8534,14.2097,313.2085,3.8444,78.4464,1.1577e-14,78.4464,2023 JUN 26 11:30:00,66.0843,13.7543,430.1997,3.9114,78.606,0.53032,78.9087
2023 JUN 28 00:48:00,67.2036,-171.6601,311.2434,3.8567,78.1381,6.472e-15,78.1381,2023 JUN 28 00:51:00,67.9123,-172.5101,432.2035,3.8486,77.7373,0.51538,78.0326
