TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 JUL 10 08:09:00,9,9
2022 JUL 10 14:03:00,12,12
2022 JUL 10 19:51:00,15,15
2022 JUL 13 06:54:00,45,45
2022 JUL 13 12:48:00,48,48
2022 JUL 13 16:39:00,50,50
2022 JUL 13 18:42:00,51,51
2022 JUL 16 21:24:00,89,89
2022 JUL 17 03:18:00,92,92
2022 JUL 16 21:24:00,89,89
2022 JUL 20 23:39:00,139,139
2022 JUL 21 05:33:00,142,142
2022 JUL 21 11:27:00,145,145
2022 JUL 21 17:21:00,148,148
2022 JUL 24 20:03:00,186,186
2022 JUL 25 17:39:00,197,197
2022 JUL 24 20:03:00,186,186
2022 JUL 28 00:42:00,225,225
2022 JUL 28 22:18:00,236,236
2022 JUL 29 04:12:00,239,239
2022 JUL 29 10:06:00,242,242
2022 JUL 29 16:00:00,245,245
2022 JUL 30 19:30:00,259,259
2022 AUG 01 12:48:00,280,280
2022 AUG 04 23:21:00,322,322
2022 AUG 05 05:15:00,325,325
2022 AUG 06 02:51:00,336,336
2022 AUG 06 08:45:00,339,339
