MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 JUL 23 05:41:35,2021 JUL 23 05:44:40,154,154
2021 JUL 26 00:25:39,2021 JUL 26 00:30:39,188,188
2021 JUL 27 19:46:25,2021 JUL 27 19:50:18,210,210
2021 JUL 28 15:17:56,2021 JUL 28 15:22:56,220,220
2021 JUL 29 09:03:09,2021 JUL 29 09:08:09,229,229
2021 AUG 01 01:48:34,2021 AUG 01 01:53:34,262,262
2021 AUG 01 23:23:11,2021 AUG 01 23:28:11,273,273
2021 AUG 04 00:33:16,2021 AUG 04 00:35:01,298,298
2021 AUG 04 16:17:51,2021 AUG 04 16:19:54,306,306
2021 AUG 06 05:41:38,2021 AUG 06 05:45:52,325,325
2021 AUG 06 15:30:54,2021 AUG 06 15:35:54,330,330
2021 AUG 06 21:20:30,2021 AUG 06 21:21:49,333,333
