MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 JUL 14 13:06:22,2021 JUL 14 13:07:50,48,48
2021 JUL 14 18:56:41,2021 JUL 14 19:01:41,51,51
2021 JUL 15 00:50:12,2021 JUL 15 00:51:42,54,54
2021 JUL 15 18:32:21,2021 JUL 15 18:37:21,63,63
2021 JUL 21 08:30:01,2021 JUL 21 08:35:01,131,131
2021 JUL 23 05:39:40,2021 JUL 23 05:44:40,154,154
2021 JUL 25 16:29:43,2021 JUL 25 16:31:13,184,184
2021 JUL 26 00:25:39,2021 JUL 26 00:30:39,188,188
2021 JUL 26 18:14:41,2021 JUL 26 18:19:41,197,197
2021 JUL 26 23:51:17,2021 JUL 26 23:56:17,200,200
2021 JUL 27 13:37:00,2021 JUL 27 13:41:01,207,207
2021 JUL 27 17:32:04,2021 JUL 27 17:37:04,209,209
2021 JUL 27 19:45:18,2021 JUL 27 19:50:18,210,210
2021 JUL 28 15:17:56,2021 JUL 28 15:22:56,220,220
2021 JUL 28 17:18:01,2021 JUL 28 17:23:01,221,221
2021 JUL 29 03:06:56,2021 JUL 29 03:11:56,226,226
2021 JUL 29 05:09:27,2021 JUL 29 05:11:48,227,227
2021 JUL 29 09:03:09,2021 JUL 29 09:08:09,229,229
2021 JUL 29 22:50:45,2021 JUL 29 22:55:45,236,236
2021 JUL 30 16:34:03,2021 JUL 30 16:39:03,245,245
2021 JUL 30 22:17:59,2021 JUL 30 22:22:59,248,248
2021 JUL 31 04:16:21,2021 JUL 31 04:21:21,251,251
2021 JUL 31 08:16:16,2021 JUL 31 08:21:16,253,253
2021 AUG 01 01:48:34,2021 AUG 01 01:53:34,262,262
2021 AUG 01 19:23:37,2021 AUG 01 19:28:37,271,271
2021 AUG 01 23:23:11,2021 AUG 01 23:28:11,273,273
2021 AUG 02 01:21:04,2021 AUG 02 01:26:04,274,274
2021 AUG 02 07:21:32,2021 AUG 02 07:26:32,277,277
2021 AUG 02 22:56:33,2021 AUG 02 23:01:33,285,285
2021 AUG 03 00:59:40,2021 AUG 03 01:04:40,286,286
2021 AUG 03 03:00:11,2021 AUG 03 03:05:11,287,287
2021 AUG 04 00:30:01,2021 AUG 04 00:35:01,298,298
2021 AUG 04 16:14:54,2021 AUG 04 16:19:54,306,306
2021 AUG 04 20:17:04,2021 AUG 04 20:22:04,308,308
2021 AUG 05 13:57:05,2021 AUG 05 14:02:05,317,317
2021 AUG 06 05:40:52,2021 AUG 06 05:45:52,325,325
2021 AUG 06 15:30:54,2021 AUG 06 15:35:54,330,330
2021 AUG 06 21:16:49,2021 AUG 06 21:21:49,333,333
2021 AUG 07 01:20:55,2021 AUG 07 01:25:24,335,335
