Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2023 SEP 30 15:07:34,2023 SEP 30 17:05:38,7084,2023 SEP 30 15:05:34,2023 SEP 30 16:04:03,3509,2023 SEP 30 16:04:04,2023 SEP 30 17:03:38,3574,55.3671,2023 SEP 30 16:33:49
1,1,2,2023 SEP 30 17:05:39,2023 SEP 30 19:03:43,7084,2023 SEP 30 17:03:39,2023 SEP 30 18:02:09,3510,2023 SEP 30 18:02:10,2023 SEP 30 19:01:43,3573,55.4255,2023 SEP 30 18:31:53
3,3,3,2023 SEP 30 19:03:44,2023 SEP 30 21:01:46,7082,2023 SEP 30 19:01:44,2023 SEP 30 20:00:14,3510,2023 SEP 30 20:00:15,2023 SEP 30 20:59:46,3571,55.5073,2023 SEP 30 20:29:57
1,1,4,2023 SEP 30 21:01:47,2023 SEP 30 22:59:46,7079,2023 SEP 30 20:59:47,2023 SEP 30 21:58:16,3509,2023 SEP 30 21:58:17,2023 SEP 30 22:57:46,3569,55.5989,2023 SEP 30 22:27:58
3,3,5,2023 SEP 30 22:59:47,2023 OCT 01 00:57:46,7079,2023 SEP 30 22:57:47,2023 SEP 30 23:56:14,3507,2023 SEP 30 23:56:15,2023 OCT 01 00:55:46,3571,55.6671,2023 OCT 01 00:25:58
1,1,6,2023 OCT 01 00:57:47,2023 OCT 01 02:55:47,7080,2023 OCT 01 00:55:47,2023 OCT 01 01:54:13,3506,2023 OCT 01 01:54:14,2023 OCT 01 02:53:47,3573,55.6657,2023 OCT 01 02:23:58
1,1,7,2023 OCT 01 02:55:48,2023 OCT 01 04:53:51,7083,2023 OCT 01 02:53:48,2023 OCT 01 03:52:18,3510,2023 OCT 01 03:52:19,2023 OCT 01 04:51:51,3572,55.6586,2023 OCT 01 04:22:03
3,3,8,2023 OCT 01 04:53:52,2023 OCT 01 06:51:56,7084,2023 OCT 01 04:51:52,2023 OCT 01 05:50:23,3511,2023 OCT 01 05:50:24,2023 OCT 01 06:49:56,3572,55.6996,2023 OCT 01 06:20:08
1,1,9,2023 OCT 01 06:51:57,2023 OCT 01 08:50:00,7083,2023 OCT 01 06:49:57,2023 OCT 01 07:48:27,3510,2023 OCT 01 07:48:28,2023 OCT 01 08:48:00,3572,55.784,2023 OCT 01 08:18:12
3,3,10,2023 OCT 01 08:50:01,2023 OCT 01 10:48:01,7080,2023 OCT 01 08:48:01,2023 OCT 01 09:46:29,3508,2023 OCT 01 09:46:30,2023 OCT 01 10:46:01,3571,55.8764,2023 OCT 01 10:16:14
1,1,11,2023 OCT 01 10:48:02,2023 OCT 01 12:45:59,7077,2023 OCT 01 10:46:02,2023 OCT 01 11:44:28,3506,2023 OCT 01 11:44:29,2023 OCT 01 12:43:59,3570,55.9273,2023 OCT 01 12:14:13
3,3,12,2023 OCT 01 12:46:00,2023 OCT 01 14:44:00,7080,2023 OCT 01 12:44:00,2023 OCT 01 13:42:27,3507,2023 OCT 01 13:42:28,2023 OCT 01 14:42:00,3572,55.9177,2023 OCT 01 14:12:14
3,3,13,2023 OCT 01 14:44:01,2023 OCT 01 16:42:04,7083,2023 OCT 01 14:42:01,2023 OCT 01 15:40:30,3509,2023 OCT 01 15:40:31,2023 OCT 01 16:40:04,3573,55.9123,2023 OCT 01 16:10:17
1,1,14,2023 OCT 01 16:42:05,2023 OCT 01 18:40:10,7085,2023 OCT 01 16:40:05,2023 OCT 01 17:38:34,3509,2023 OCT 01 17:38:35,2023 OCT 01 18:38:10,3575,55.9368,2023 OCT 01 18:08:21
1,1,15,2023 OCT 01 18:40:11,2023 OCT 01 20:38:14,7083,2023 OCT 01 18:38:11,2023 OCT 01 19:36:39,3508,2023 OCT 01 19:36:40,2023 OCT 01 20:36:14,3574,55.985,2023 OCT 01 20:06:25
3,3,16,2023 OCT 01 20:38:15,2023 OCT 01 22:36:15,7080,2023 OCT 01 20:36:15,2023 OCT 01 21:34:43,3508,2023 OCT 01 21:34:44,2023 OCT 01 22:34:15,3571,56.0581,2023 OCT 01 22:04:28
1,1,17,2023 OCT 01 22:36:16,2023 OCT 02 00:34:14,7078,2023 OCT 01 22:34:16,2023 OCT 01 23:32:43,3507,2023 OCT 01 23:32:44,2023 OCT 02 00:32:14,3570,56.1211,2023 OCT 02 00:02:28
3,3,18,2023 OCT 02 00:34:15,2023 OCT 02 02:32:14,7079,2023 OCT 02 00:32:15,2023 OCT 02 01:30:41,3506,2023 OCT 02 01:30:42,2023 OCT 02 02:30:14,3572,56.1267,2023 OCT 02 02:00:27
1,1,19,2023 OCT 02 02:32:15,2023 OCT 02 04:30:18,7083,2023 OCT 02 02:30:15,2023 OCT 02 03:28:44,3509,2023 OCT 02 03:28:45,2023 OCT 02 04:28:18,3573,56.0847,2023 OCT 02 03:58:31
3,3,20,2023 OCT 02 04:30:19,2023 OCT 02 06:28:23,7084,2023 OCT 02 04:28:19,2023 OCT 02 05:26:49,3510,2023 OCT 02 05:26:50,2023 OCT 02 06:26:23,3573,56.0818,2023 OCT 02 05:56:36
1,1,21,2023 OCT 02 06:28:24,2023 OCT 02 08:26:28,7084,2023 OCT 02 06:26:24,2023 OCT 02 07:24:54,3510,2023 OCT 02 07:24:55,2023 OCT 02 08:24:28,3573,56.1277,2023 OCT 02 07:54:41
1,1,22,2023 OCT 02 08:26:29,2023 OCT 02 10:24:30,7081,2023 OCT 02 08:24:29,2023 OCT 02 09:22:57,3508,2023 OCT 02 09:22:58,2023 OCT 02 10:22:30,3572,56.2009,2023 OCT 02 09:52:44
3,3,23,2023 OCT 02 10:24:31,2023 OCT 02 12:22:30,7079,2023 OCT 02 10:22:31,2023 OCT 02 11:20:58,3507,2023 OCT 02 11:20:59,2023 OCT 02 12:20:30,3571,56.2585,2023 OCT 02 11:50:45
1,1,24,2023 OCT 02 12:22:31,2023 OCT 02 14:20:28,7077,2023 OCT 02 12:20:31,2023 OCT 02 13:18:57,3506,2023 OCT 02 13:18:58,2023 OCT 02 14:18:28,3570,56.245,2023 OCT 02 13:48:44
3,3,25,2023 OCT 02 14:20:29,2023 OCT 02 16:18:32,7083,2023 OCT 02 14:18:29,2023 OCT 02 15:16:58,3509,2023 OCT 02 15:16:59,2023 OCT 02 16:16:32,3573,56.2047,2023 OCT 02 15:46:47
3,3,26,2023 OCT 02 16:18:33,2023 OCT 02 18:16:38,7085,2023 OCT 02 16:16:33,2023 OCT 02 17:15:02,3509,2023 OCT 02 17:15:03,2023 OCT 02 18:14:38,3575,56.1948,2023 OCT 02 17:44:51
1,1,27,2023 OCT 02 18:16:39,2023 OCT 02 20:14:43,7084,2023 OCT 02 18:14:39,2023 OCT 02 19:13:08,3509,2023 OCT 02 19:13:09,2023 OCT 02 20:12:43,3574,56.2154,2023 OCT 02 19:42:56
1,1,28,2023 OCT 02 20:14:44,2023 OCT 02 22:12:46,7082,2023 OCT 02 20:12:44,2023 OCT 02 21:11:13,3509,2023 OCT 02 21:11:14,2023 OCT 02 22:10:46,3572,56.2606,2023 OCT 02 21:40:59
3,3,29,2023 OCT 02 22:12:47,2023 OCT 03 00:10:46,7079,2023 OCT 02 22:10:47,2023 OCT 02 23:09:15,3508,2023 OCT 02 23:09:16,2023 OCT 03 00:08:46,3570,56.311,2023 OCT 02 23:39:01
1,1,30,2023 OCT 03 00:10:47,2023 OCT 03 02:08:46,7079,2023 OCT 03 00:08:47,2023 OCT 03 01:07:13,3506,2023 OCT 03 01:07:14,2023 OCT 03 02:06:46,3572,56.3307,2023 OCT 03 01:37:01
3,3,31,2023 OCT 03 02:08:47,2023 OCT 03 04:06:48,7081,2023 OCT 03 02:06:47,2023 OCT 03 03:05:13,3506,2023 OCT 03 03:05:14,2023 OCT 03 04:04:48,3574,56.2803,2023 OCT 03 03:35:02
3,3,32,2023 OCT 03 04:06:49,2023 OCT 03 06:04:52,7083,2023 OCT 03 04:04:49,2023 OCT 03 05:03:18,3509,2023 OCT 03 05:03:19,2023 OCT 03 06:02:52,3573,56.2354,2023 OCT 03 05:33:06
1,1,33,2023 OCT 03 06:04:53,2023 OCT 03 08:02:57,7084,2023 OCT 03 06:02:53,2023 OCT 03 07:01:23,3510,2023 OCT 03 07:01:24,2023 OCT 03 08:00:57,3573,56.2386,2023 OCT 03 07:31:12
1,1,34,2023 OCT 03 08:02:58,2023 OCT 03 10:01:01,7083,2023 OCT 03 08:00:58,2023 OCT 03 08:59:28,3510,2023 OCT 03 08:59:29,2023 OCT 03 09:59:01,3572,56.2829,2023 OCT 03 09:29:17
3,3,35,2023 OCT 03 10:01:02,2023 OCT 03 11:59:02,7080,2023 OCT 03 09:59:02,2023 OCT 03 10:57:29,3507,2023 OCT 03 10:57:30,2023 OCT 03 11:57:02,3572,56.3328,2023 OCT 03 11:27:18
1,1,36,2023 OCT 03 11:59:03,2023 OCT 03 13:57:00,7077,2023 OCT 03 11:57:03,2023 OCT 03 12:55:29,3506,2023 OCT 03 12:55:30,2023 OCT 03 13:55:00,3570,56.3325,2023 OCT 03 13:25:17
3,3,37,2023 OCT 03 13:57:01,2023 OCT 03 15:55:01,7080,2023 OCT 03 13:55:01,2023 OCT 03 14:53:29,3508,2023 OCT 03 14:53:30,2023 OCT 03 15:53:01,3571,56.2747,2023 OCT 03 15:23:18
3,3,38,2023 OCT 03 15:55:02,2023 OCT 03 17:53:06,7084,2023 OCT 03 15:53:02,2023 OCT 03 16:51:31,3509,2023 OCT 03 16:51:32,2023 OCT 03 17:51:06,3574,56.2294,2023 OCT 03 17:21:22
1,1,39,2023 OCT 03 17:53:07,2023 OCT 03 19:51:12,7085,2023 OCT 03 17:51:07,2023 OCT 03 18:49:36,3509,2023 OCT 03 18:49:37,2023 OCT 03 19:49:12,3575,56.2153,2023 OCT 03 19:19:26
3,3,40,2023 OCT 03 19:51:13,2023 OCT 03 21:49:16,7083,2023 OCT 03 19:49:13,2023 OCT 03 20:47:41,3508,2023 OCT 03 20:47:42,2023 OCT 03 21:47:16,3574,56.224,2023 OCT 03 21:17:30
1,1,41,2023 OCT 03 21:49:17,2023 OCT 03 23:47:17,7080,2023 OCT 03 21:47:17,2023 OCT 03 22:45:45,3508,2023 OCT 03 22:45:46,2023 OCT 03 23:45:17,3571,56.2549,2023 OCT 03 23:15:33
3,3,42,2023 OCT 03 23:47:18,2023 OCT 04 01:45:16,7078,2023 OCT 03 23:45:18,2023 OCT 04 00:43:45,3507,2023 OCT 04 00:43:46,2023 OCT 04 01:43:16,3570,56.2718,2023 OCT 04 01:13:33
1,1,43,2023 OCT 04 01:45:17,2023 OCT 04 03:43:17,7080,2023 OCT 04 01:43:17,2023 OCT 04 02:41:44,3507,2023 OCT 04 02:41:45,2023 OCT 04 03:41:17,3572,56.2279,2023 OCT 04 03:11:33
3,3,44,2023 OCT 04 03:43:18,2023 OCT 04 05:41:20,7082,2023 OCT 04 03:41:18,2023 OCT 04 04:39:47,3509,2023 OCT 04 04:39:48,2023 OCT 04 05:39:20,3572,56.1467,2023 OCT 04 05:09:36
1,1,45,2023 OCT 04 05:41:21,2023 OCT 04 07:39:26,7085,2023 OCT 04 05:39:21,2023 OCT 04 06:37:52,3511,2023 OCT 04 06:37:53,2023 OCT 04 07:37:26,3573,56.1065,2023 OCT 04 07:07:42
3,3,46,2023 OCT 04 07:39:27,2023 OCT 04 09:37:30,7083,2023 OCT 04 07:37:27,2023 OCT 04 08:35:57,3510,2023 OCT 04 08:35:58,2023 OCT 04 09:35:30,3572,56.1133,2023 OCT 04 09:05:47
1,1,47,2023 OCT 04 09:37:31,2023 OCT 04 11:35:33,7082,2023 OCT 04 09:35:31,2023 OCT 04 10:34:00,3509,2023 OCT 04 10:34:01,2023 OCT 04 11:33:33,3572,56.1437,2023 OCT 04 11:03:50
3,3,48,2023 OCT 04 11:35:34,2023 OCT 04 13:33:32,7078,2023 OCT 04 11:33:34,2023 OCT 04 12:32:01,3507,2023 OCT 04 12:32:02,2023 OCT 04 13:31:32,3570,56.1545,2023 OCT 04 13:01:50
3,3,49,2023 OCT 04 13:33:33,2023 OCT 04 15:31:31,7078,2023 OCT 04 13:31:33,2023 OCT 04 14:30:00,3507,2023 OCT 04 14:30:01,2023 OCT 04 15:29:31,3570,56.092,2023 OCT 04 14:59:50
1,1,50,2023 OCT 04 15:31:32,2023 OCT 04 17:29:35,7083,2023 OCT 04 15:29:32,2023 OCT 04 16:28:01,3509,2023 OCT 04 16:28:02,2023 OCT 04 17:27:35,3573,56.0121,2023 OCT 04 16:57:52
1,1,51,2023 OCT 04 17:29:36,2023 OCT 04 19:27:40,7084,2023 OCT 04 17:27:36,2023 OCT 04 18:26:05,3509,2023 OCT 04 18:26:06,2023 OCT 04 19:25:40,3574,55.9631,2023 OCT 04 18:55:57
3,3,52,2023 OCT 04 19:27:41,2023 OCT 04 21:25:45,7084,2023 OCT 04 19:25:41,2023 OCT 04 20:24:10,3509,2023 OCT 04 20:24:11,2023 OCT 04 21:23:45,3574,55.9442,2023 OCT 04 20:54:01
1,1,53,2023 OCT 04 21:25:46,2023 OCT 04 23:23:48,7082,2023 OCT 04 21:23:46,2023 OCT 04 22:22:15,3509,2023 OCT 04 22:22:16,2023 OCT 04 23:21:48,3572,55.9498,2023 OCT 04 22:52:05
