Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	Ingress	2019 NOV 30 15:18:53	2019 NOV 30 15:21:43	2019 NOV 30 15:22:18	205.00	-118.77	-122.24	-122.96	52.97	50.90	50.43	20.11	3	-	-	-		
N/A	1	Egress	2019 NOV 30 16:02:56	2019 NOV 30 16:03:33	2019 NOV 30 16:06:38	222.00	68.45	67.20	61.66	-61.69	-61.33	-59.54	9.42	3	-	-	-		
NOMAD	2	Ingress	2019 NOV 30 17:16:47	2019 NOV 30 17:19:36	2019 NOV 30 17:20:12	205.00	-147.67	-151.13	-151.88	52.84	50.74	50.25	20.10	1	Nominal Science 1xCO2 LA04	Science: orders #168, #136, #189, #119, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	2	Egress	2019 NOV 30 18:00:49	2019 NOV 30 18:01:26	2019 NOV 30 18:04:32	223.00	39.67	38.40	32.80	-61.67	-61.30	-59.47	9.41	1	-	-	-		
N/A	3	Ingress	2019 NOV 30 19:14:43	2019 NOV 30 19:17:32	2019 NOV 30 19:18:08	205.00	-176.63	179.89	179.15	52.66	50.53	50.03	20.08	17	-	-	-		
ACS	3	Egress	2019 NOV 30 19:58:44	2019 NOV 30 19:59:21	2019 NOV 30 20:02:26	222.00	10.88	9.61	3.98	-61.65	-61.27	-59.43	9.41	17	-	-	-		
NOMAD	4	Ingress	2019 NOV 30 21:12:41	2019 NOV 30 21:15:31	2019 NOV 30 21:16:07	206.00	154.41	150.90	150.15	52.48	50.31	49.80	20.06	1	6SUBD Nom CH4 #2	Science: orders #134, #136, #164, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	4	Egress	2019 NOV 30 21:56:42	2019 NOV 30 21:57:19	2019 NOV 30 22:00:24	222.00	-17.86	-19.15	-24.83	-61.64	-61.27	-59.39	9.40	1	-	-	-		
N/A	5	Ingress	2019 NOV 30 23:10:40	2019 NOV 30 23:13:30	2019 NOV 30 23:14:06	206.00	125.45	121.93	121.18	52.31	50.11	49.59	20.04	14	-	-	-		
ACS	5	Egress	2019 NOV 30 23:54:39	2019 NOV 30 23:55:16	2019 NOV 30 23:58:21	222.00	-46.58	-47.89	-53.63	-61.65	-61.26	-59.36	9.40	14	-	-	-		
N/A	6	Ingress	2019 DEC 01 01:08:39	2019 DEC 01 01:11:29	2019 DEC 01 01:12:05	206.00	96.54	93.00	92.24	52.17	49.93	49.41	20.03	3	-	-	-		
N/A	6	Egress	2019 DEC 01 01:52:36	2019 DEC 01 01:53:13	2019 DEC 01 01:56:19	223.00	-75.29	-76.61	-82.44	-61.65	-61.26	-59.32	9.40	3	-	-	-		
NOMAD	7	Ingress	2019 DEC 01 03:06:35	2019 DEC 01 03:09:26	2019 DEC 01 03:10:02	207.00	67.69	64.11	63.34	52.07	49.77	49.24	20.02	1	Nominal Science 1xCO2 LA04	Science: orders #168, #136, #189, #119, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	7	Egress	2019 DEC 01 03:50:31	2019 DEC 01 03:51:09	2019 DEC 01 03:54:15	224.00	-103.95	-105.32	-111.22	-61.67	-61.27	-59.30	9.40	1	-	-	-		
N/A	8	Ingress	2019 DEC 01 05:04:28	2019 DEC 01 05:07:19	2019 DEC 01 05:07:55	207.00	38.82	35.22	34.45	51.94	49.61	49.07	20.00	1	-	-	-		
NOMAD	8	Egress	2019 DEC 01 05:48:23	2019 DEC 01 05:49:01	2019 DEC 01 05:52:07	224.00	-132.62	-134.00	-139.96	-61.69	-61.27	-59.28	9.40	1	6SUBD Nominal #1	Science: orders #121, #134, #149, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	9	Ingress	2019 DEC 01 07:02:22	2019 DEC 01 07:05:14	2019 DEC 01 07:05:50	208.00	9.89	6.26	5.50	51.77	49.40	48.85	19.98	14	-	-	-		
N/A	9	Egress	2019 DEC 01 07:46:17	2019 DEC 01 07:46:55	2019 DEC 01 07:50:01	224.00	-161.42	-162.81	-168.81	-61.66	-61.24	-59.22	9.39	14	-	-	-		
N/A	10	Ingress	2019 DEC 01 09:00:22	2019 DEC 01 09:03:13	2019 DEC 01 09:03:49	207.00	-19.13	-22.74	-23.50	51.55	49.15	48.60	19.96	1	-	-	-		
NOMAD	10	Egress	2019 DEC 01 09:44:15	2019 DEC 01 09:44:53	2019 DEC 01 09:47:59	224.00	169.73	168.33	162.29	-61.62	-61.20	-59.14	9.38	1	Dust H2O 01	Science: orders #119, #130, #145, #171, #191, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	11	Ingress	2019 DEC 01 10:58:23	2019 DEC 01 11:01:14	2019 DEC 01 11:01:50	207.00	-48.09	-51.72	-52.48	51.36	48.93	48.37	19.95	3	-	-	-	&daysideMatch:AEOLIS MENSAE MFF; 	
N/A	11	Egress	2019 DEC 01 11:42:15	2019 DEC 01 11:42:53	2019 DEC 01 11:46:00	225.00	140.98	139.55	133.43	-61.61	-61.18	-59.09	9.37	3	-	-	-	&daysideMatch:AEOLIS MENSAE MFF; 	
N/A	12	Ingress	2019 DEC 01 12:56:21	2019 DEC 01 12:59:13	2019 DEC 01 12:59:49	208.00	-77.00	-80.65	-81.43	51.22	48.74	48.17	19.93	1	-	-	-		
NOMAD	12	Egress	2019 DEC 01 13:40:12	2019 DEC 01 13:40:50	2019 DEC 01 13:43:57	225.00	112.34	110.90	104.70	-61.64	-61.21	-59.09	9.38	1	6SUBD Nominal #1	Science: orders #121, #134, #149, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	13	Ingress	2019 DEC 01 14:54:16	2019 DEC 01 14:57:09	2019 DEC 01 14:57:45	209.00	-105.85	-109.55	-110.32	51.10	48.57	47.99	19.92	14	-	-	-		
N/A	13	Egress	2019 DEC 01 15:38:07	2019 DEC 01 15:38:45	2019 DEC 01 15:41:53	226.00	83.72	82.26	75.96	-61.67	-61.24	-59.08	9.38	14	-	-	-		
N/A	14	Ingress	2019 DEC 01 16:52:10	2019 DEC 01 16:55:03	2019 DEC 01 16:55:39	209.00	-134.72	-138.43	-139.21	50.97	48.40	47.82	19.91	1	-	-	-		
NOMAD	14	Egress	2019 DEC 01 17:35:59	2019 DEC 01 17:36:37	2019 DEC 01 17:39:46	227.00	54.98	53.50	47.13	-61.66	-61.22	-59.02	9.38	1	6SUBD Nom CH4 #2	Science: orders #134, #136, #164, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
NOMAD	15	Ingress	2019 DEC 01 18:50:05	2019 DEC 01 18:52:58	2019 DEC 01 18:53:34	209.00	-163.65	-167.37	-168.15	50.80	48.20	47.60	19.89	1	6SUBD Nominal #2	Science: orders #119, #136, #149, #169, #186, #189, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	15	Egress	2019 DEC 01 19:33:53	2019 DEC 01 19:34:31	2019 DEC 01 19:37:39	226.00	26.16	24.68	18.30	-61.63	-61.18	-58.97	9.37	1	-	-	-		
N/A	16	Ingress	2019 DEC 01 20:48:03	2019 DEC 01 20:50:56	2019 DEC 01 20:51:32	209.00	167.38	163.66	162.88	50.59	47.96	47.36	19.87	28	-	-	-	&trueLimb	
N/A	16	Egress	2019 DEC 01 21:31:50	2019 DEC 01 21:32:28	2019 DEC 01 21:35:36	226.00	-2.60	-4.09	-10.52	-61.62	-61.16	-58.92	9.36	28	-	-	-	&trueLimb	
N/A	17	Ingress	2019 DEC 01 22:46:01	2019 DEC 01 22:48:55	2019 DEC 01 22:49:31	210.00	138.45	134.70	133.92	50.41	47.73	47.12	19.86	14	-	-	-		
N/A	17	Egress	2019 DEC 01 23:29:47	2019 DEC 01 23:30:25	2019 DEC 01 23:33:33	226.00	-31.33	-32.84	-39.33	-61.62	-61.16	-58.89	9.36	14	-	-	-		
N/A	18	Ingress	2019 DEC 02 00:44:01	2019 DEC 02 00:46:55	2019 DEC 02 00:47:31	210.00	109.52	105.76	104.98	50.25	47.53	46.91	19.84	8	-	-	-		
ACS	18	Egress	2019 DEC 02 01:27:45	2019 DEC 02 01:28:23	2019 DEC 02 01:31:32	227.00	-60.06	-61.58	-68.16	-61.62	-61.15	-58.84	9.36	8	-	-	-		
NOMAD	19	Ingress	2019 DEC 02 02:41:58	2019 DEC 02 02:44:53	2019 DEC 02 02:45:29	211.00	80.66	76.86	76.08	50.13	47.35	46.73	19.83	1	Nominal Science 1xCO2 LA04	Science: orders #168, #136, #189, #119, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	19	Egress	2019 DEC 02 03:25:41	2019 DEC 02 03:26:19	2019 DEC 02 03:29:29	228.00	-88.75	-90.29	-96.96	-61.63	-61.16	-58.80	9.36	1	-	-	-		
N/A	20	Ingress	2019 DEC 02 04:39:53	2019 DEC 02 04:42:47	2019 DEC 02 04:43:24	211.00	51.81	48.01	47.20	50.00	47.21	46.56	19.82	14	-	-	-		
ACS	20	Egress	2019 DEC 02 05:23:34	2019 DEC 02 05:24:12	2019 DEC 02 05:27:22	228.00	-117.41	-118.96	-125.70	-61.65	-61.17	-58.79	9.36	14	-	-	-		
NOMAD	21	Ingress	2019 DEC 02 06:37:45	2019 DEC 02 06:40:40	2019 DEC 02 06:41:17	212.00	22.93	19.10	18.29	49.84	47.00	46.34	19.80	1	6SUBD Nom CO2 #1	Science: orders #121, #134, #149, #164, #165, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 395: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	21	Egress	2019 DEC 02 07:21:26	2019 DEC 02 07:22:04	2019 DEC 02 07:25:14	228.00	-146.15	-147.71	-154.49	-61.64	-61.15	-58.75	9.35	1	-	-	-		
N/A	22	Ingress	2019 DEC 02 08:35:43	2019 DEC 02 08:38:38	2019 DEC 02 08:39:15	212.00	-6.05	-9.88	-10.69	49.62	46.74	46.08	19.78	14	-	-	-		
ACS	22	Egress	2019 DEC 02 09:19:23	2019 DEC 02 09:20:01	2019 DEC 02 09:23:11	228.00	-175.01	-176.59	176.61	-61.59	-61.10	-58.66	9.34	14	-	-	-		
NOMAD	23	Ingress	2019 DEC 02 10:33:44	2019 DEC 02 10:36:39	2019 DEC 02 10:37:16	212.00	-35.03	-38.85	-39.67	49.40	46.49	45.82	19.77	1	Nominal Science 1xCO2 HA04	Science: orders #168, #136, #189, #119, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
N/A	23	Egress	2019 DEC 02 11:17:22	2019 DEC 02 11:18:00	2019 DEC 02 11:21:11	229.00	156.17	154.59	147.70	-61.56	-61.07	-58.59	9.33	1	-	-	-		
N/A	24	Ingress	2019 DEC 02 12:31:45	2019 DEC 02 12:34:40	2019 DEC 02 12:35:17	212.00	-63.97	-67.80	-68.61	49.22	46.27	45.59	19.75	1	-	-	-		
NOMAD	24	Egress	2019 DEC 02 13:15:21	2019 DEC 02 13:16:00	2019 DEC 02 13:19:11	230.00	127.48	125.84	118.90	-61.58	-61.07	-58.55	9.33	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 394: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1057 ms, Binning=7		
ACS	25	Ingress	2019 DEC 02 14:29:42	2019 DEC 02 14:32:38	2019 DEC 02 14:33:15	213.00	-92.84	-96.71	-97.52	49.08	46.08	45.39	19.74	14	-	-	-		
N/A	25	Egress	2019 DEC 02 15:13:18	2019 DEC 02 15:13:57	2019 DEC 02 15:17:08	230.00	98.85	97.19	90.18	-61.61	-61.09	-58.55	9.33	14	-	-	-		
