Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2025 FEB 15 14:52:57,2025 FEB 15 16:50:50,7073,2025 FEB 15 14:50:58,2025 FEB 15 15:49:44,3526,2025 FEB 15 15:49:45,2025 FEB 15 16:48:50,3545,1.1548,2025 FEB 15 16:19:34
3,3,2,2025 FEB 15 16:50:51,2025 FEB 15 18:48:42,7071,2025 FEB 15 16:48:51,2025 FEB 15 17:47:37,3526,2025 FEB 15 17:47:38,2025 FEB 15 18:46:42,3544,1.357,2025 FEB 15 18:17:26
3,3,3,2025 FEB 15 18:48:43,2025 FEB 15 20:46:36,7073,2025 FEB 15 18:46:43,2025 FEB 15 19:45:30,3527,2025 FEB 15 19:45:31,2025 FEB 15 20:44:36,3545,1.5957,2025 FEB 15 20:15:19
1,1,4,2025 FEB 15 20:46:37,2025 FEB 15 22:44:33,7076,2025 FEB 15 20:44:37,2025 FEB 15 21:43:25,3528,2025 FEB 15 21:43:26,2025 FEB 15 22:42:33,3547,1.84,2025 FEB 15 22:13:16
3,3,5,2025 FEB 15 22:44:34,2025 FEB 16 00:42:32,7078,2025 FEB 15 22:42:34,2025 FEB 15 23:41:22,3528,2025 FEB 15 23:41:23,2025 FEB 16 00:40:32,3549,2.0725,2025 FEB 16 00:11:14
1,1,6,2025 FEB 16 00:42:33,2025 FEB 16 02:40:29,7076,2025 FEB 16 00:40:33,2025 FEB 16 01:39:20,3527,2025 FEB 16 01:39:21,2025 FEB 16 02:38:29,3548,2.2955,2025 FEB 16 02:09:11
3,3,7,2025 FEB 16 02:40:30,2025 FEB 16 04:38:22,7072,2025 FEB 16 02:38:30,2025 FEB 16 03:37:15,3525,2025 FEB 16 03:37:16,2025 FEB 16 04:36:22,3546,2.5045,2025 FEB 16 04:07:05
1,1,8,2025 FEB 16 04:38:23,2025 FEB 16 06:36:14,7071,2025 FEB 16 04:36:23,2025 FEB 16 05:35:08,3525,2025 FEB 16 05:35:09,2025 FEB 16 06:34:14,3545,2.7087,2025 FEB 16 06:04:58
1,1,9,2025 FEB 16 06:36:15,2025 FEB 16 08:34:08,7073,2025 FEB 16 06:34:15,2025 FEB 16 07:33:00,3525,2025 FEB 16 07:33:01,2025 FEB 16 08:32:08,3547,2.9344,2025 FEB 16 08:02:51
3,3,10,2025 FEB 16 08:34:09,2025 FEB 16 10:32:05,7076,2025 FEB 16 08:32:09,2025 FEB 16 09:30:56,3527,2025 FEB 16 09:30:57,2025 FEB 16 10:30:05,3548,3.1839,2025 FEB 16 10:00:47
