TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2020 OCT 03 17:21:00,1,1
2020 OCT 04 02:18:00,6,6
2020 OCT 04 18:54:00,14,14
2020 OCT 05 06:48:00,20,20
2020 OCT 05 08:45:00,21,21
2020 OCT 06 06:21:00,32,32
2020 OCT 06 20:12:00,39,39
2020 OCT 06 22:09:00,40,40
2020 OCT 07 02:06:00,42,42
2020 OCT 07 19:45:00,51,51
2020 OCT 08 13:30:00,60,60
2020 OCT 15 01:51:00,140,140
2020 OCT 17 10:51:00,169,169
2020 OCT 19 00:12:00,188,188
2020 OCT 22 08:48:00,229,229
2020 OCT 27 08:42:00,290,290
