S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2020 AUG 15 07:27:00,-58.8855,-94.3588,248.9667,15.5808,50.6558,2.2949e-14,50.6558
TGO,2020 AUG 15 07:42:00,-59.1367,-96.3648,379.5215,15.6903,51.5296,0.5227,51.5895

MRO,2020 AUG 15 09:21:00,-52.7671,-123.0477,250.7118,15.5167,48.3842,2.0116e-14,48.3842
TGO,2020 AUG 15 09:39:00,-56.7765,-127.9136,381.0307,15.4839,49.2549,2.0655,50.5747

MRO,2020 AUG 15 11:09:00,-66.2272,-146.7935,251.5862,15.6844,53.8808,2.6082e-14,53.8808
TGO,2020 AUG 15 11:39:00,-62.1936,-150.6978,382.4268,15.9106,53.9339,1.6502,54.8769

MRO,2020 AUG 17 00:33:00,-63.9443,26.6331,252.2451,15.6278,52.6234,2.7773e-14,52.6234
TGO,2020 AUG 17 01:00:00,-63.9541,22.44,380.9933,15.7861,53.593,0.55071,53.08

MRO,2020 AUG 19 10:30:00,-64.0913,-99.1328,249.2904,15.6153,52.496,2.0178e-14,52.496
TGO,2020 AUG 19 10:00:00,-65.7233,-94.4682,379.3866,15.44,52.1407,0.27099,52.0561

MRO,2020 AUG 19 14:12:00,-71.478,-150.8163,251.3017,15.7689,56.1674,1.3587e-14,56.1674
TGO,2020 AUG 19 13:57:00,-68.2869,-146.3628,382.1506,15.8228,55.1869,0.23358,55.1874

MRO,2020 AUG 19 16:06:00,-65.6852,179.2535,250.5107,15.6219,53.128,1.7994e-14,53.128
TGO,2020 AUG 19 15:54:00,-66.2233,179.6844,381.2639,15.4561,52.4347,0.4827,52.4281

MRO,2020 AUG 19 21:42:00,-67.4626,98.3389,250.5049,15.675,54.099,3.4339e-14,54.099
TGO,2020 AUG 19 21:48:00,-67.0707,94.64,379.629,15.5258,53.158,0.1976,52.9606

MRO,2020 AUG 21 05:30:00,-63.5431,-7.1891,252.6387,15.5739,51.9722,5.449e-14,51.9722
TGO,2020 AUG 21 05:15:00,-68.0536,-6.9232,381.2042,15.3483,52.6556,2.2647,53.3599

MRO,2020 AUG 21 09:12:00,-71.2278,-58.5256,250.1029,15.7506,55.9148,3.5166e-14,55.9148
TGO,2020 AUG 21 09:12:00,-70.5261,-56.7375,379.4994,15.8697,56.1718,0.44936,56.2096

MRO,2020 AUG 21 11:06:00,-65.1691,-88.3323,249.0778,15.6117,52.8045,7.1147e-15,52.8045
TGO,2020 AUG 21 11:09:00,-68.7632,-91.2328,379.3418,15.4669,53.5498,0.45937,53.5505

MRO,2020 AUG 21 14:48:00,-72.4111,-139.6707,251.3507,15.7883,56.5521,3.1325e-14,56.5521
TGO,2020 AUG 21 15:06:00,-71.007,-141.5144,381.9276,15.9575,56.7365,0.99469,56.9977

MRO,2020 AUG 24 11:57:00,-75.437,-67.11,249.3701,15.8925,58.0976,1.6392e-14,58.0976
TGO,2020 AUG 24 11:54:00,-72.9958,-64.2419,379.2361,16.035,57.6879,0.42693,57.7472

MRO,2020 AUG 24 13:51:00,-69.3507,-98.1037,249.1522,15.6744,54.6969,2.6622e-14,54.6969
TGO,2020 AUG 24 13:51:00,-71.4344,-100.6617,381.0449,15.5039,54.8549,1.4519,54.7389

MRO,2020 AUG 24 17:33:00,-76.6823,-148.0608,251.0587,15.9433,58.7698,9.2728e-15,58.7698
TGO,2020 AUG 24 17:48:00,-73.2161,-149.0345,381.7082,16.1217,58.1069,0.42601,58.1737

MRO,2020 AUG 24 23:09:00,-78.5955,132.3864,250.6048,16.0872,59.9506,1.4575e-14,59.9506
TGO,2020 AUG 24 23:42:00,-73.6489,127.5446,379.6272,16.2994,58.9507,0.011902,58.9474

MRO,2020 AUG 27 11:00:00,-72.5643,-26.3385,252.1469,15.7256,56.2032,1.6603e-14,56.2032
TGO,2020 AUG 27 10:39:00,-73.2167,-23.8122,379.9481,15.5536,55.8298,1.2739,56.2053

MRO,2020 AUG 27 16:36:00,-73.8523,-106.9888,250.0036,15.7964,57.0207,3.2784e-15,57.0207
TGO,2020 AUG 27 16:33:00,-73.6966,-107.5511,382.1402,15.7103,56.6322,0.97077,56.7717

MRO,2020 AUG 27 22:12:00,-75.4587,171.9149,250.2471,15.8375,57.8443,1.91e-14,57.8443
TGO,2020 AUG 27 22:27:00,-74.0242,167.9572,379.2342,15.8167,57.1647,1.2921,57.2939

MRO,2020 AUG 30 19:21:00,-77.6677,-115.104,249.6044,15.9694,59.1487,1.3611e-14,59.1487
TGO,2020 AUG 30 19:15:00,-74.6045,-111.2617,381.7686,16.1283,58.5044,0.951,58.5278

MRO,2020 AUG 31 00:57:00,-79.4602,164.8204,249.7345,16.0786,60.1695,3.5006e-14,60.1695
TGO,2020 AUG 31 01:09:00,-74.7019,165.3178,378.8251,16.3064,59.1941,0.81622,59.2241

MRO,2020 SEP 03 00:00:00,-75.5252,-156.3276,250.6144,15.7839,57.6505,7.1119e-15,57.6505
TGO,2020 SEP 02 23:54:00,-74.5897,-154.0865,379.5546,15.8361,57.4284,0.47466,57.5262

MRO,2020 SEP 03 05:36:00,-77.2605,123.7394,250.5369,15.9025,58.7747,1.7565e-14,58.7747
TGO,2020 SEP 03 05:48:00,-74.506,123.4672,380.7232,16.0792,58.2794,0.83828,58.215

MRO,2020 SEP 03 11:12:00,-78.3032,42.9802,250.2849,15.9661,59.3965,8.1089e-15,59.3965
TGO,2020 SEP 03 11:42:00,-74.3824,38.3112,380.2816,16.1414,58.4687,0.35156,58.6469

MRO,2020 SEP 05 23:03:00,-71.7762,-115.5439,249.2169,15.6183,55.3905,1.7128e-14,55.3905
TGO,2020 SEP 05 22:39:00,-74.4248,-112.0718,381.904,15.4608,56.0586,0.38745,56.1191

