UTC Time,Longitude,Latitude,Local Solar Time,Emission Angle,Phase Angle,Solar Angle,Distance (km)
2016 NOV 26 20:31:47,173.5,-28.0,05:59:53,54.8,133.2,78.4,18681.8
2016 NOV 26 20:31:57,174.5,-28.3,06:04:19,55.9,133.3,77.4,18664.8
2016 NOV 26 20:32:07,175.6,-28.6,06:08:54,57.1,133.4,76.3,18647.7
2016 NOV 26 20:32:17,176.8,-28.9,06:13:40,58.3,133.5,75.3,18630.6
2016 NOV 26 20:32:27,178.0,-29.2,06:18:38,59.5,133.6,74.1,18613.5
2016 NOV 26 20:32:37,179.3,-29.5,06:23:49,60.7,133.7,73.0,18596.4
2016 NOV 26 20:32:47,-179.4,-29.9,06:29:15,62.1,133.8,71.7,18579.3
2016 NOV 26 20:32:57,-178.0,-30.2,06:34:59,63.4,133.9,70.5,18562.2
2016 NOV 26 20:33:07,-176.6,-30.5,06:41:03,64.9,134.0,69.1,18545.1
2016 NOV 26 20:33:17,-175.0,-30.8,06:47:30,66.4,134.1,67.7,18528.0
2016 NOV 26 20:33:27,-173.3,-31.2,06:54:26,68.0,134.2,66.2,18510.8
2016 NOV 26 20:33:37,-171.5,-31.5,07:01:58,69.8,134.3,64.6,18493.7
2016 NOV 26 20:33:47,-169.4,-31.9,07:10:15,71.7,134.4,62.8,18476.5
2016 NOV 26 20:33:57,-167.1,-32.2,07:19:32,73.8,134.5,60.8,18459.4
2016 NOV 26 20:34:07,-164.5,-32.6,07:30:18,76.1,134.6,58.5,18442.2
2016 NOV 26 20:34:17,-161.2,-32.9,07:43:29,79.0,134.7,55.7,18425.0
2016 NOV 26 20:34:27,-156.7,-33.3,08:01:53,83.0,134.8,51.8,18407.8
2016 NOV 26 20:46:57,-155.0,-28.1,08:20:58,85.4,133.5,48.6,17096.1
2016 NOV 26 20:47:07,-158.9,-27.7,08:05:23,81.9,133.4,52.0,17078.2
2016 NOV 26 20:47:17,-161.5,-27.4,07:55:00,79.5,133.3,54.3,17060.4
2016 NOV 26 20:47:27,-163.6,-27.1,07:46:45,77.5,133.2,56.2,17042.6
2016 NOV 26 20:47:37,-165.4,-26.8,07:39:43,75.8,133.1,57.8,17024.8
2016 NOV 26 20:47:47,-167.0,-26.5,07:33:33,74.3,133.0,59.2,17006.9
2016 NOV 26 20:47:57,-168.4,-26.2,07:27:59,73.0,132.9,60.4,16989.1
2016 NOV 26 20:48:07,-169.7,-25.9,07:22:55,71.7,132.8,61.6,16971.2
2016 NOV 26 20:48:17,-171.0,-25.7,07:18:14,70.5,132.7,62.7,16953.3
2016 NOV 26 20:48:27,-172.1,-25.4,07:13:52,69.4,132.6,63.7,16935.5
2016 NOV 26 20:48:37,-173.1,-25.1,07:09:47,68.4,132.5,64.7,16917.6
2016 NOV 26 20:48:47,-174.2,-24.8,07:05:56,67.4,132.4,65.6,16899.7
2016 NOV 26 20:48:57,-175.1,-24.5,07:02:18,66.4,132.3,66.5,16881.8
2016 NOV 26 20:49:07,-176.0,-24.2,06:58:50,65.5,132.2,67.3,16863.9
2016 NOV 26 20:49:17,-176.9,-24.0,06:55:32,64.6,132.1,68.1,16845.9
