TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 JUL 11 05:06:00,7,7
2021 JUL 11 14:00:00,12,12
2021 JUL 12 19:30:00,27,27
2021 JUL 13 03:21:00,31,31
2021 JUL 14 08:51:00,46,46
2021 JUL 14 14:45:00,49,49
2021 JUL 15 22:12:00,65,65
2021 JUL 16 04:06:00,68,68
2021 JUL 17 05:39:00,81,81
2021 JUL 17 11:33:00,84,84
2021 JUL 17 17:27:00,87,87
2021 JUL 19 04:51:00,105,105
2021 JUL 19 06:48:00,106,106
2021 JUL 20 18:12:00,124,124
2021 JUL 20 20:09:00,125,125
2021 JUL 21 00:06:00,127,127
2021 JUL 22 15:24:00,147,147
2021 JUL 24 10:39:00,169,169
2021 JUL 30 06:12:00,240,240
2021 JUL 30 12:06:00,243,243
2021 AUG 02 22:39:00,285,285
