TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 FEB 19 23:09:00,4,4
2022 FEB 21 10:33:00,22,22
2022 FEB 21 12:33:00,23,23
2022 FEB 22 23:57:00,41,41
2022 FEB 23 01:57:00,42,42
2022 FEB 24 13:24:00,60,60
2022 FEB 25 20:54:00,76,76
2022 FEB 27 08:27:00,94,94
2022 FEB 27 08:24:00,94,94
2022 FEB 27 10:24:00,95,95
2022 FEB 28 21:54:00,113,113
2022 MAR 02 05:24:00,129,129
2022 MAR 03 16:48:00,147,147
2022 MAR 03 18:45:00,148,148
2022 MAR 05 08:09:00,167,167
2022 MAR 06 19:33:00,185,185
2022 MAR 08 08:54:00,204,204
2022 MAR 13 10:48:00,266,266
