MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2024 AUG 31 10:30:00,-72.9628,-147.0818,251.2612,1.7703,89.7005,3.9341e-14,89.7005,2024 AUG 31 10:33:00,-74.0705,-150.6884,381.1199,1.5786,89.0306,0.68673,89.6969
2024 SEP 02 11:09:00,-75.877,-139.3891,251.4697,1.6281,87.7058,3.6019e-14,87.7058,2024 SEP 02 11:42:00,-75.4446,-140.1681,380.8581,2.1114,87.2843,0.32617,87.5728
2024 SEP 04 23:00:00,-74.5487,67.7759,251.227,1.6844,89.3112,3.5878e-14,89.3112,2024 SEP 04 22:39:00,-75.3191,70.0891,379.7935,1.4981,88.8882,0.34748,89.1889
2024 SEP 05 15:51:00,-77.5389,179.7877,253.1047,1.5503,86.9271,8.996e-15,86.9271,2024 SEP 05 16:21:00,-75.8467,179.1689,378.5591,1.9956,87.778,0.32761,88.065
2024 SEP 08 03:42:00,-76.2638,26.8651,253.2619,1.6017,88.5208,4.6507e-14,88.5208,2024 SEP 08 03:18:00,-75.7128,28.1772,380.0231,1.3,89.4158,0.35117,89.7155
2024 SEP 11 14:00:00,-75.8035,-94.261,252.2553,1.6228,89.6022,2.7071e-14,89.6022,2024 SEP 11 13:51:00,-75.8381,-95.7155,381.4949,1.3797,89.8982,0.34781,90.1955
2024 SEP 13 00:36:00,75.4912,-58.91,314.7403,13.6533,89.8683,1.4312e-14,89.8683,2024 SEP 13 00:15:00,75.5925,-54.1136,433.9174,13.6322,89.9316,0.17313,89.9327
2024 SEP 14 14:57:00,-76.3026,-79.6474,252.8272,1.5944,89.8113,8.3015e-15,89.8113,2024 SEP 13 15:00:00,-75.0916,-83.3212,381.3328,2.0406,89.9475,0.32993,90.2401
2024 SEP 16 16:30:00,73.7965,98.9082,314.2271,13.7228,87.7054,4.7874e-15,87.7054,2024 SEP 16 16:42:00,74.4383,96.2352,433.2939,13.7392,88.3064,1.106,89.3694
2024 SEP 18 00:18:00,74.3541,-5.4538,314.9798,13.7147,87.9169,2.3277e-14,87.9169,2024 SEP 18 00:09:00,73.9721,-1.3518,432.3299,13.8422,87.8055,0.15771,87.7958
2024 SEP 18 09:39:00,74.0157,-142.0594,313.6456,13.7078,87.5207,8.5639e-15,87.5207,2024 SEP 19 09:33:00,74.6012,-138.2025,433.3107,13.2258,87.142,0.18585,87.1276
2024 SEP 26 00:54:00,65.3902,66.1505,309.5832,13.9417,78.8709,4.8366e-14,78.8709,2024 SEP 26 00:48:00,65.8287,68.7812,430.4958,14.0197,79.4871,0.13031,79.4193
2024 SEP 26 06:30:00,63.3687,-14.806,309.6436,13.995,77.2498,3.0268e-14,77.2498,2024 SEP 26 06:42:00,64.5406,-17.8322,430.4658,13.9881,78.2313,5.3772,83.2327
2024 SEP 26 15:51:00,63.2232,-151.3917,309.6175,13.9897,77.0262,2.642e-14,77.0262,2024 SEP 26 16:33:00,61.2219,-156.2731,428.5715,14.3456,76.6924,0.093137,76.6259
2024 SEP 27 14:18:00,64.2413,-119.4794,309.897,13.9678,77.6352,1.3114e-14,77.6352,2024 SEP 27 14:09:00,63.9156,-118.0244,428.9041,13.9189,77.1984,0.13694,77.1153
2024 SEP 27 16:09:00,60.4903,-145.5563,308.5809,14.03,74.6257,3.3053e-14,74.6257,2024 SEP 27 16:09:00,58.3865,-140.6465,426.5552,14.3572,74.2626,0.11072,74.1693
2024 SEP 27 21:45:00,58.076,133.1743,308.807,14.0625,72.6629,3.1964e-14,72.6629,2024 SEP 27 22:03:00,57.7028,132.9402,426.3706,14.3389,73.5787,0.11271,73.4821
2024 SEP 27 23:39:00,63.6076,104.2853,310.2318,13.9858,77.0679,9.3069e-15,77.0679,2024 SEP 28 23:33:00,64.9813,108.3033,429.9697,13.5158,76.7204,0.16313,76.6322
2024 SEP 28 18:21:00,63.1479,-168.5412,311.5501,13.9983,76.5532,6.3611e-15,76.5532,2024 SEP 28 17:39:00,65.499,-165.4666,430.6013,13.5219,77.2599,0.16238,77.1755
