S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2025 MAR 15 20:15:00,69.8742,173.981,313.2931,3.635,81.2814,4.6337e-14,81.2814
TGO,2025 MAR 15 20:00:00,70.6865,177.7018,432.6725,3.6397,80.7511,0.49063,81.0345

MRO,2025 MAR 17 09:39:00,69.8108,-12.0565,316.4019,3.6389,81.1451,1.9149e-14,81.1451
TGO,2025 MAR 17 09:21:00,69.0125,-7.5566,430.867,3.6469,81.6198,0.50547,81.9131

MRO,2025 MAR 20 23:42:00,63.5516,169.8921,310.564,3.5325,85.3188,1.6392e-14,85.3188
TGO,2025 MAR 20 23:51:00,64.1132,168.4261,430.2692,3.5808,84.7119,0.54433,85.0355

MRO,2025 MAR 22 07:30:00,61.2387,65.3378,308.9415,3.5172,86.8091,2.6228e-14,86.8091
TGO,2025 MAR 22 07:18:00,63.1905,66.8428,429.3881,3.4228,85.9744,0.54993,86.3099

MRO,2025 MAR 22 16:51:00,61.4894,-71.1683,309.6247,3.5183,86.6,2.0178e-14,86.6
TGO,2025 MAR 22 17:09:00,59.308,-73.5687,428.4725,3.6503,87.3036,0.57565,87.6454

MRO,2025 MAR 24 01:36:00,-55.461,-10.4023,252.2458,15.4492,89.0628,3.8986e-14,89.0628
TGO,2025 MAR 24 01:36:00,-54.1817,-6.759,380.1204,15.6919,89.7711,0.4837,89.7117

MRO,2025 MAR 27 04:27:00,-44.7294,-24.3013,252.999,15.3831,81.503,2.9836e-14,81.503
TGO,2025 MAR 27 04:21:00,-41.1987,-19.7556,381.3564,15.5886,80.7992,0.49485,80.7278

MRO,2025 MAR 27 10:03:00,-46.4819,-105.7983,250.6301,15.4011,82.8634,1.7992e-14,82.8634
TGO,2025 MAR 27 10:12:00,-49.1033,-109.9851,378.8102,15.2681,83.7425,0.47916,83.6522

MRO,2025 MAR 28 23:30:00,-36.4989,66.6262,252.4771,15.3506,75.7263,3.556e-14,75.7263
TGO,2025 MAR 28 23:36:00,-38.2201,64.7779,378.891,15.3247,76.6809,0.48121,76.6024

MRO,2025 MAR 29 03:15:00,-34.5306,11.6848,254.9747,15.3381,74.2876,2.7035e-14,74.2876
TGO,2025 MAR 29 03:33:00,-34.6261,7.9847,380.9766,15.3833,74.7658,0.4753,74.7012

MRO,2025 MAR 30 07:18:00,-34.5281,-37.8095,254.8225,15.3428,74.4086,4.498e-14,74.4086
TGO,2025 MAR 30 07:03:00,-36.8418,-37.8312,381.5898,15.0981,73.8929,0.47023,73.8076

MRO,2025 MAR 30 09:12:00,-28.6977,-65.9058,254.8573,15.3192,70.2688,6.6259e-14,70.2688
TGO,2025 MAR 30 09:03:00,-30.725,-65.0027,381.6965,15.2333,70.8096,0.45733,70.7547

MRO,2025 MAR 30 12:57:00,-26.4374,-120.7568,255.8745,15.3128,68.7176,5.9757e-14,68.7176
TGO,2025 MAR 30 13:00:00,-27.0434,-121.8887,381.8462,15.2858,68.8488,0.44338,68.815

MRO,2025 MAR 30 16:42:00,-24.4231,-175.6761,257.0715,15.3017,67.2939,2.3601e-14,67.2939
TGO,2025 MAR 30 16:57:00,-23.5076,-178.7806,383.7553,15.3381,67.0827,1.8326,65.3534

MRO,2025 MAR 30 18:36:00,-18.7247,156.2815,258.8744,15.2817,63.4313,2.249e-14,63.4313
TGO,2025 MAR 30 18:57:00,-17.4343,153.3847,384.5149,15.4292,64.3035,0.84624,63.4573

MRO,2025 MAR 31 18:54:00,-20.1899,161.6059,258.3184,15.2906,64.51,2.9495e-14,64.51
TGO,2025 MAR 31 18:30:00,-22.8638,164.6497,383.1884,15.1042,64.283,2.91,66.5899

MRO,2025 MAR 31 20:48:00,-14.4973,133.6012,260.522,15.2731,60.7781,2.2935e-14,60.7781
TGO,2025 MAR 31 20:30:00,-16.7318,136.5918,383.9332,15.1806,61.1035,6.2912,66.591

